,通算スコア,,平均スコア,,平均順位,,トップ率,,ラス率,,アガリ率,,放銃率,,平均アガリ点,,平均放銃点,,ふっとび率,,ふっとばし率,,リーチ率,,副露率,,リーチ成功率,,副露成功率,,ツモ率,,最大点数,
相関,,,,,0.1143,,0.2999,,-0.0755,,-0.2502,,-0.3424,,0.8157,,-0.9928,,-0.6366,,0.1143,,-0.0179,,0.2626,,0.4296,,-0.4773,,0.7106,,0.2976,
1位,だいち,+403.4,だいち,+16.81,だいち,1.63 位,だいち,54.2%,だいち,16.7%,だいち,35.8%,だいち,14.2%,だいち,11148,てんちゃん,-10335,てんちゃん,4.2%,だいち,29.2%,だいち,39.2%,りょうすけ,30.1%,りょうすけ,63.3%,てんちゃん,47.6%,りょうすけ,45.5%,だいち,110000
2位,てんちゃん,+66.9,てんちゃん,+2.79,てんちゃん,2.00 位,全体,33.3%,てんちゃん,29.2%,てんちゃん,33.0%,てんちゃん,14.8%,全体,10533,全体,-10963,だいち,12.5%,てんちゃん,16.7%,てんちゃん,30.7%,全体,25.6%,全体,60.1%,だいち,45.0%,だいち,39.7%,全体,110000
3位,全体,-0.0,全体,-0.00,全体,2.00 位,てんちゃん,29.2%,全体,33.3%,全体,29.2%,全体,17.2%,りょうすけ,10345,りょうすけ,-11118,全体,16.7%,全体,16.7%,全体,29.0%,てんちゃん,23.9%,だいち,59.4%,全体,36.3%,全体,39.6%,てんちゃん,90200
4位,りょうすけ,-470.3,りょうすけ,-19.60,りょうすけ,2.38 位,りょうすけ,16.7%,りょうすけ,54.2%,りょうすけ,18.8%,りょうすけ,22.7%,てんちゃん,9972,だいち,-11368,りょうすけ,33.3%,りょうすけ,4.2%,りょうすけ,17.0%,だいち,22.7%,てんちゃん,59.3%,りょうすけ,20.8%,てんちゃん,36.2%,りょうすけ,80200
