 ,対戦数,,通算スコア,,平均スコア,,バランス,,平均順位,,トップ率,,ラス率,,アガリ率,,放銃率,,平均アガリ点,,平均放銃点,,ふっとび率,,リーチ率,,副露率,,リーチ成功率,,副露成功率,,ツモ率,,最高点,
相関,―,,,,,,0.7595,,0.9781,,0.6030,,0.8757,,-0.9781,,0.6816,,0.7666,,0.9666,,0.9512,,-0.3683,,-0.8684,,0.1724,,-0.1287,,-0.8604,,0.6013,
1位,パパ,39 回,パパ,+220.1,パパ,+5.64,だいち,+1.05,パパ,1.79 位,パパ,48.7%,だいち,23.1%,あやめ,30.3%,だいち,9.7%,パパ,8376,パパ,-6169,パパ,7.7%,あやめ,34.1%,あやめ,23.4%,だいち,68.8%,だいち,44.7%,あやめ,53.6%,だいち,66300
2位,だいち,39 回,だいち,+61.7,だいち,+1.58,パパ,+0.18,だいち,2.00 位,全体,33.3%,パパ,28.2%,だいち,30.0%,パパ,15.0%,全体,7085,だいち,-6239,だいち,7.7%,パパ,31.6%,全体,18.2%,全体,58.0%,全体,41.7%,全体,49.7%,全体,66300
3位,あやめ,39 回,全体,-0.0,全体,-0.00,全体,±0,全体,2.00 位,あやめ,28.2%,全体,33.3%,全体,30.0%,全体,15.1%,だいち,6491,全体,-6705,全体,11.1%,全体,28.5%,パパ,16.6%,あやめ,55.0%,あやめ,41.3%,パパ,48.4%,パパ,58400
4位,全体,39 回,あやめ,-281.8,あやめ,-7.23,あやめ,-1.20,あやめ,2.21 位,だいち,23.1%,あやめ,48.7%,パパ,29.7%,あやめ,20.6%,あやめ,6410,あやめ,-7314,あやめ,17.9%,だいち,20.0%,だいち,14.7%,パパ,54.5%,パパ,39.6%,だいち,46.9%,あやめ,52600
