名前,全体,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,117 回,,,03,ドラ,249 回,86.46%,2 位,,0,±0,,東1局,-18,114 回,-2000
総局数,960 回,,,52,赤ドラ,218 回,75.69%,3 位,,1,-38.9,,東2局,±0,114 回,0
通算スコア,-0.0,,,01,立直,159 回,55.21%,3 位,,2,-5.0,,東3局,±0,108 回,0
平均スコア,-0.00,,,10,役牌,141 回,48.96%,3 位,,3,±0,,南1局,+10,102 回,1000
平均順位,2.00 位,,,06,ツモ,110 回,38.19%,3 位,,4,+27.9,,南2局,-11,93 回,-1000
1位,39 回,33.3%,,04,裏ドラ,74 回,25.69%,3 位,,5,-16.9,,南3局,+26,78 回,2000
2位,39 回,33.3%,,28,混一色,48 回,16.67%,2 位,,6,±0,,,,,
3位,39 回,33.3%,,07,平和,44 回,15.28%,2 位,,7,+16.6,,起家,スコア,回数,合計
1位スコア,+26.51,+1033.90,,02,一発,41 回,14.24%,2 位,,8,+18.7,,東家,-2.99,39 回,-116.8
2位スコア,+2.07,+80.90,,08,一盃口,28 回,9.72%,2 位,,9,+0.0,,南家,+5.49,39 回,214.1
3位スコア,-28.58,-1114.80,,25,七対子,17 回,5.90%,3 位,,10,+5.5,,西家,-2.49,39 回,-97.3
バランス,±0,,,09,タンヤオ,12 回,4.17%,3 位,,11,+27.6,,,,,
ふっとび,13 回,11.1%,,22,対々和,12 回,4.17%,2 位,,12,+0.0,,相手,スコア,回数,合計
リーチ,274 回,28.5%,,30,清一色,8 回,2.78%,3 位,,13,-40.4,,あやめ,+10.84,78 回,845.4
副露,175 回,18.2%,,17,チャンタ,5 回,1.74%,3 位,,14,-37.6,,だいち,-2.37,78 回,-185.1
リーチ成功,159 回,58.0%,,20,三暗刻,5 回,1.74%,3 位,,15,+0.0,,パパ,-8.47,78 回,-660.3
副露成功,73 回,41.7%,,16,一気通貫,4 回,1.39%,2 位,,16,+25.0,,,,,
アガリ,288 回,30.0%,,24,混老頭,3 回,1.04%,3 位,,17,+39.0,,,,,
放銃,145 回,15.1%,,11,海底摸月,2 回,0.69%,3 位,,18,+0.0,,,,,
ツモ,143 回,49.7%,,29,流し満貫,2 回,0.69%,3 位,,19,-18.3,,,,,
ロン,145 回,50.3%,,31,国士無双,2 回,0.69%,2 位,,20,-2.3,,,,,
リーチアガリ,159 回,55.2%,,13,嶺上開花,1 回,0.35%,2 位,,21,+0.0,,,,,
副露アガリ,73 回,25.3%,,23,小三元,1 回,0.35%,2 位,,22,+43.4,,,,,
ダマアガリ,56 回,19.4%,,12,河底撈魚,0 回,0.00%,1 位,,23,+35.9,,,,,
平均アガリ点,7085,2040600,,14,槍槓,0 回,0.00%,1 位,,24,+0.0,,,,,
門前アガリ点,7329,1575800,,15,ダブル立直,0 回,0.00%,1 位,,25,-21.0,,,,,
副露アガリ点,6367,464800,,19,三色同刻,0 回,0.00%,1 位,,26,-21.9,,,,,
平均放銃点,-6705,-972200,,21,三槓子,0 回,0.00%,1 位,,27,+0.0,,,,,
連続アガリ,5 回,1 回,,26,二盃口,0 回,0.00%,1 位,,28,-19.6,,,,,
連続無放銃,35 回,2 回,,27,純チャン,0 回,0.00%,1 位,,29,-18.9,,,,,
最大ドラ数,7 個,,,32,四暗刻,0 回,0.00%,1 位,,30,+0.0,,,,,
最高点,66300,,,33,字一色,0 回,0.00%,1 位,,31,+42.9,,,,,
