名前,ただ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,65,+274.5,1548,,,,,
,,,,,,,,,,66,+287.1,1550,,,,,
,,,,,,,,,,67,+315.8,1555,,,,,
,,,,,,,,,,68,+350.3,1561,,,,,
,,,,,,,,,,69,+384.1,1567,,,,,
,,,,,,,,,,70,+390.6,1568,,,,,
,,,,,,,,,,71,+387.5,1567,,,,,
,,,,,,,,,,72,+361.4,1562,,,,,
,,,,,,,,,,73,+380.8,1566,,,,,
,,,,,,,,,,74,+327.4,1556,,,,,
,,,,,,,,,,75,+336.8,1557,,,,,
,,,,,,,,,,76,+344.1,1558,,,,,
,,,,,,,,,,77,+375.6,1563,,,,,
,,,,,,,,,,78,+377.2,1564,,,,,
,,,,,,,,,,79,+390.5,1566,,,,,
,,,,,,,,,,80,+369.2,1562,,,,,
,,,,,,,,,,81,+374.3,1562,,,,,
,,,,,,,,,,82,+344.7,1557,,,,,
,,,,,,,,,,83,+328.8,1554,,,,,
,,,,,,,,,,84,+283.6,1545,,,,,
,,,,,,,,,,85,+321.0,1552,,,,,
,,,,,,,,,,86,+317.5,1551,,,,,
,,,,,,,,,,87,+369.4,1560,,,,,
,,,,,,,,,,88,+352.3,1557,,,,,
,,,,,,,,,,89,+356.5,1558,,,,,
,,,,,,,,,,90,+326.2,1552,,,,,
,,,,,,,,,,91,+316.6,1550,,,,,
,,,,,,,,,,92,+267.8,1541,,,,,
,,,,,,,,,,93,+234.1,1535,,,,,
,,,,,,,,,,94,+101.2,1511,,,,,
,,,,,,,,,,95,+71.8,1506,,,,,
,,,,,,,,,,96,+72.3,1507,,,,,
,,,,,,,,,,97,+49.9,1503,,,,,
,,,,,,,,,,98,+36.4,1500,,,,,
,,,,,,,,,,99,+43.0,1502,,,,,
,,,,,,,,,,100,+13.4,1497,,,,,
,,,,,,,,,,101,-34.4,1488,,,,,
,,,,,,,,,,102,-56.5,1485,,,,,
,,,,,,,,,,103,-31.5,1489,,,,,
,,,,,,,,,,104,-49.9,1486,,,,,
,,,,,,,,,,105,-48.8,1487,,,,,
,,,,,,,,,,106,-48.9,1487,,,,,
,,,,,,,,,,107,-18.5,1492,,,,,
,,,,,,,,,,108,-28.2,1491,,,,,
,,,,,,,,,,109,+31.8,1502,,,,,
,,,,,,,,,,110,+87.0,1512,,,,,
,,,,,,,,,,111,+86.0,1511,,,,,
,,,,,,,,,,112,+85.3,1511,,,,,
,,,,,,,,,,113,+104.7,1515,,,,,
,,,,,,,,,,114,+110.0,1516,,,,,
,,,,,,,,,,115,+138.9,1521,,,,,
,,,,,,,,,,116,+141.5,1522,,,,,
,,,,,,,,,,117,+94.5,1514,,,,,
,,,,,,,,,,118,+93.9,1514,,,,,
,,,,,,,,,,119,+141.3,1522,,,,,
,,,,,,,,,,120,+130.6,1521,,,,,
,,,,,,,,,,121,+125.1,1520,,,,,
,,,,,,,,,,122,+127.7,1521,,,,,
,,,,,,,,,,123,+154.5,1526,,,,,
,,,,,,,,,,124,+172.6,1529,,,,,
,,,,,,,,,,125,+120.0,1520,,,,,
,,,,,,,,,,126,+78.0,1512,,,,,
,,,,,,,,,,127,+83.2,1514,,,,,
,,,,,,,,,,128,+31.7,1504,,,,,
,,,,,,,,,,129,+24.7,1503,,,,,
,,,,,,,,,,130,+11.8,1501,,,,,
,,,,,,,,,,131,+33.5,1505,,,,,
,,,,,,,,,,132,+90.4,1515,,,,,
,,,,,,,,,,133,+91.3,1515,,,,,
,,,,,,,,,,134,+55.7,1508,,,,,
,,,,,,,,,,135,+47.6,1507,,,,,
,,,,,,,,,,136,+22.8,1503,,,,,
,,,,,,,,,,137,+59.0,1510,,,,,
,,,,,,,,,,138,+61.1,1510,,,,,
,,,,,,,,,,139,+32.1,1505,,,,,
,,,,,,,,,,140,+11.9,1502,,,,,
,,,,,,,,,,141,-18.1,1497,,,,,
,,,,,,,,,,142,+30.7,1506,,,,,
,,,,,,,,,,143,+61.4,1511,,,,,
,,,,,,,,,,144,+21.8,1504,,,,,
,,,,,,,,,,145,+56.2,1510,,,,,
,,,,,,,,,,146,+21.8,1504,,,,,
,,,,,,,,,,147,-1.6,1501,,,,,
,,,,,,,,,,148,+59.0,1512,,,,,
,,,,,,,,,,149,+20.5,1506,,,,,
,,,,,,,,,,150,-14.5,1500,,,,,
,,,,,,,,,,151,-9.1,1501,,,,,
,,,,,,,,,,152,-44.1,1495,,,,,
,,,,,,,,,,153,-43.8,1496,,,,,
,,,,,,,,,,154,-31.8,1498,,,,,
,,,,,,,,,,155,+7.9,1505,,,,,
,,,,,,,,,,156,-12.1,1502,,,,,
,,,,,,,,,,157,+8.9,1506,,,,,
,,,,,,,,,,158,+47.1,1513,,,,,
,,,,,,,,,,159,+18.4,1508,,,,,
,,,,,,,,,,160,-25.6,1500,,,,,
,,,,,,,,,,161,-44.5,1497,,,,,
,,,,,,,,,,162,-22.2,1501,,,,,
,,,,,,,,,,163,+25.1,1510,,,,,
,,,,,,,,,,164,-9.4,1504,,,,,
,,,,,,,,,,165,-48.1,1498,,,,,
,,,,,,,,,,166,-22.9,1502,,,,,
,,,,,,,,,,167,-2.8,1506,,,,,
,,,,,,,,,,168,+21.4,1510,,,,,
,,,,,,,,,,169,+20.8,1510,,,,,
,,,,,,,,,,170,-3.0,1506,,,,,
,,,,,,,,,,171,-27.4,1502,,,,,
,,,,,,,,,,172,-60.5,1496,,,,,
,,,,,,,,,,173,-71.4,1495,,,,,
,,,,,,,,,,174,-41.1,1501,,,,,
,,,,,,,,,,175,-68.6,1496,,,,,
,,,,,,,,,,176,-6.0,1507,,,,,
,,,,,,,,,,177,-11.0,1507,,,,,
,,,,,,,,,,178,-47.0,1501,,,,,
,,,,,,,,,,179,-101.7,1492,,,,,
,,,,,,,,,,180,-80.8,1496,,,,,
,,,,,,,,,,181,-90.6,1495,,,,,
,,,,,,,,,,182,-97.5,1494,,,,,
,,,,,,,,,,183,-92.3,1496,,,,,
,,,,,,,,,,184,-27.2,1507,,,,,
,,,,,,,,,,185,-18.5,1509,,,,,
,,,,,,,,,,186,-29.0,1508,,,,,
,,,,,,,,,,187,-28.6,1508,,,,,
,,,,,,,,,,188,-45.7,1505,,,,,
,,,,,,,,,,189,-89.1,1498,,,,,
,,,,,,,,,,190,-72.2,1501,,,,,
,,,,,,,,,,191,-39.8,1507,,,,,
,,,,,,,,,,192,-59.5,1504,,,,,
,,,,,,,,,,193,-34.6,1509,,,,,
,,,,,,,,,,194,+6.0,1516,,,,,
,,,,,,,,,,195,+45.1,1524,,,,,
,,,,,,,,,,196,+87.6,1532,,,,,
,,,,,,,,,,197,+87.9,1532,,,,,
,,,,,,,,,,198,+104.8,1535,,,,,
,,,,,,,,,,199,+70.3,1529,,,,,
,,,,,,,,,,200,+44.7,1524,,,,,
,,,,,,,,,,201,+29.3,1522,,,,,
,,,,,,,,,,202,+21.9,1521,,,,,
