名前,れんたろう,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,65,+333.0,1559,,,,,
,,,,,,,,,,66,+368.8,1565,,,,,
,,,,,,,,,,67,+360.9,1564,,,,,
,,,,,,,,,,68,+458.0,1581,,,,,
,,,,,,,,,,69,+455.2,1580,,,,,
,,,,,,,,,,70,+422.9,1573,,,,,
,,,,,,,,,,71,+435.7,1575,,,,,
,,,,,,,,,,72,+466.4,1580,,,,,
,,,,,,,,,,73,+406.1,1569,,,,,
,,,,,,,,,,74,+360.5,1560,,,,,
,,,,,,,,,,75,+332.6,1555,,,,,
,,,,,,,,,,76,+325.7,1554,,,,,
,,,,,,,,,,77,+368.0,1561,,,,,
,,,,,,,,,,78,+312.5,1552,,,,,
,,,,,,,,,,79,+263.8,1543,,,,,
,,,,,,,,,,80,+245.5,1540,,,,,
,,,,,,,,,,81,+200.3,1532,,,,,
,,,,,,,,,,82,+229.1,1537,,,,,
,,,,,,,,,,83,+230.7,1537,,,,,
,,,,,,,,,,84,+201.1,1532,,,,,
,,,,,,,,,,85,+200.2,1531,,,,,
,,,,,,,,,,86,+211.7,1533,,,,,
,,,,,,,,,,87,+186.3,1528,,,,,
,,,,,,,,,,88,+163.6,1524,,,,,
,,,,,,,,,,89,+188.6,1528,,,,,
,,,,,,,,,,90,+236.1,1537,,,,,
,,,,,,,,,,91,+240.3,1538,,,,,
,,,,,,,,,,92,+286.5,1546,,,,,
,,,,,,,,,,93,+263.3,1541,,,,,
,,,,,,,,,,94,+299.6,1548,,,,,
,,,,,,,,,,95,+335.3,1554,,,,,
,,,,,,,,,,96,+335.4,1554,,,,,
,,,,,,,,,,97,+334.7,1553,,,,,
,,,,,,,,,,98,+349.0,1556,,,,,
,,,,,,,,,,99,+386.7,1562,,,,,
,,,,,,,,,,100,+350.3,1556,,,,,
,,,,,,,,,,101,+344.9,1555,,,,,
,,,,,,,,,,102,+359.5,1558,,,,,
,,,,,,,,,,103,+402.3,1565,,,,,
