名前,のり,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,64,-704.9,1397,,,,,
,,,,,,,,,,65,-668.9,1404,,,,,
,,,,,,,,,,66,-672.4,1404,,,,,
,,,,,,,,,,67,-655.4,1408,,,,,
,,,,,,,,,,68,-656.1,1409,,,,,
,,,,,,,,,,69,-691.9,1402,,,,,
,,,,,,,,,,70,-739.5,1395,,,,,
,,,,,,,,,,71,-786.2,1387,,,,,
,,,,,,,,,,72,-848.4,1376,,,,,
,,,,,,,,,,73,-864.6,1375,,,,,
,,,,,,,,,,74,-854.5,1377,,,,,
,,,,,,,,,,75,-859.4,1377,,,,,
,,,,,,,,,,76,-867.2,1376,,,,,
,,,,,,,,,,77,-938.1,1364,,,,,
,,,,,,,,,,78,-905.1,1370,,,,,
,,,,,,,,,,79,-896.8,1373,,,,,
