名前,全体,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,485,-41.9,1532,,,,,
,,,,,,,,,,486,-0.0,1540,,,,,
,,,,,,,,,,487,-30.3,1535,,,,,
,,,,,,,,,,488,+16.5,1544,,,,,
,,,,,,,,,,489,-0.0,1541,,,,,
,,,,,,,,,,490,-36.6,1535,,,,,
,,,,,,,,,,491,-49.0,1534,,,,,
,,,,,,,,,,492,-0.0,1543,,,,,
,,,,,,,,,,493,-48.6,1534,,,,,
,,,,,,,,,,494,-44.4,1536,,,,,
,,,,,,,,,,495,-0.0,1544,,,,,
,,,,,,,,,,496,-9.6,1542,,,,,
,,,,,,,,,,497,+40.2,1552,,,,,
,,,,,,,,,,498,-0.0,1545,,,,,
,,,,,,,,,,499,-48.8,1537,,,,,
,,,,,,,,,,500,-50.0,1537,,,,,
,,,,,,,,,,501,-0.0,1546,,,,,
,,,,,,,,,,502,-11.4,1544,,,,,
,,,,,,,,,,503,+33.7,1552,,,,,
,,,,,,,,,,504,-0.0,1546,,,,,
,,,,,,,,,,505,+124.1,1569,,,,,
,,,,,,,,,,506,+132.9,1570,,,,,
,,,,,,,,,,507,-0.0,1547,,,,,
,,,,,,,,,,508,+22.4,1551,,,,,
,,,,,,,,,,509,+29.4,1553,,,,,
,,,,,,,,,,510,-0.0,1548,,,,,
,,,,,,,,,,511,+13.6,1551,,,,,
,,,,,,,,,,512,-0.5,1549,,,,,
,,,,,,,,,,513,-0.0,1549,,,,,
,,,,,,,,,,514,-48.2,1541,,,,,
,,,,,,,,,,515,-70.6,1537,,,,,
,,,,,,,,,,516,-0.0,1550,,,,,
,,,,,,,,,,517,+44.5,1558,,,,,
,,,,,,,,,,518,+31.0,1556,,,,,
,,,,,,,,,,519,-0.0,1550,,,,,
,,,,,,,,,,520,+17.0,1554,,,,,
,,,,,,,,,,521,-6.6,1550,,,,,
,,,,,,,,,,522,-0.0,1552,,,,,
,,,,,,,,,,523,+3.2,1553,,,,,
,,,,,,,,,,524,-26.4,1548,,,,,
,,,,,,,,,,525,-0.0,1553,,,,,
,,,,,,,,,,526,-52.3,1543,,,,,
,,,,,,,,,,527,-11.5,1551,,,,,
,,,,,,,,,,528,-0.0,1553,,,,,
,,,,,,,,,,529,-22.8,1549,,,,,
,,,,,,,,,,530,-70.6,1540,,,,,
,,,,,,,,,,531,-0.0,1553,,,,,
,,,,,,,,,,532,+5.8,1554,,,,,
,,,,,,,,,,533,-16.3,1551,,,,,
,,,,,,,,,,534,-0.0,1554,,,,,
,,,,,,,,,,535,-41.1,1546,,,,,
,,,,,,,,,,536,+5.8,1555,,,,,
,,,,,,,,,,537,-0.0,1554,,,,,
,,,,,,,,,,538,-56.4,1545,,,,,
,,,,,,,,,,539,-7.4,1554,,,,,
,,,,,,,,,,540,-0.0,1556,,,,,
,,,,,,,,,,541,+36.2,1562,,,,,
,,,,,,,,,,542,+43.3,1563,,,,,
,,,,,,,,,,543,-0.0,1555,,,,,
,,,,,,,,,,544,-26.4,1550,,,,,
,,,,,,,,,,545,-25.0,1550,,,,,
,,,,,,,,,,546,-0.0,1555,,,,,
,,,,,,,,,,547,-13.1,1552,,,,,
,,,,,,,,,,548,+36.1,1560,,,,,
,,,,,,,,,,549,-0.0,1553,,,,,
,,,,,,,,,,550,-3.9,1553,,,,,
,,,,,,,,,,551,-19.2,1550,,,,,
,,,,,,,,,,552,-0.0,1553,,,,,
,,,,,,,,,,553,-49.0,1544,,,,,
,,,,,,,,,,554,+13.0,1555,,,,,
,,,,,,,,,,555,-0.0,1552,,,,,
,,,,,,,,,,556,-19.5,1549,,,,,
,,,,,,,,,,557,-16.8,1550,,,,,
,,,,,,,,,,558,-0.0,1554,,,,,
,,,,,,,,,,559,+37.8,1561,,,,,
,,,,,,,,,,560,-7.7,1554,,,,,
,,,,,,,,,,561,-0.0,1556,,,,,
,,,,,,,,,,562,-18.4,1553,,,,,
,,,,,,,,,,563,-59.2,1546,,,,,
,,,,,,,,,,564,-0.0,1557,,,,,
,,,,,,,,,,565,+1.1,1558,,,,,
,,,,,,,,,,566,+44.8,1566,,,,,
,,,,,,,,,,567,-0.0,1558,,,,,
,,,,,,,,,,568,+1.1,1558,,,,,
,,,,,,,,,,569,+25.1,1562,,,,,
,,,,,,,,,,570,-0.0,1558,,,,,
,,,,,,,,,,571,-0.1,1557,,,,,
,,,,,,,,,,572,-35.8,1550,,,,,
,,,,,,,,,,573,-0.0,1556,,,,,
,,,,,,,,,,574,-22.5,1552,,,,,
,,,,,,,,,,575,-30.4,1550,,,,,
,,,,,,,,,,576,-0.0,1555,,,,,
,,,,,,,,,,577,-87.4,1539,,,,,
,,,,,,,,,,578,+9.7,1556,,,,,
,,,,,,,,,,579,-0.0,1554,,,,,
,,,,,,,,,,580,+25.9,1558,,,,,
,,,,,,,,,,581,+2.8,1554,,,,,
,,,,,,,,,,582,-0.0,1553,,,,,
,,,,,,,,,,583,-12.9,1550,,,,,
,,,,,,,,,,584,+32.3,1558,,,,,
,,,,,,,,,,585,-0.0,1552,,,,,
,,,,,,,,,,586,+36.0,1558,,,,,
,,,,,,,,,,587,-12.8,1549,,,,,
,,,,,,,,,,588,-0.0,1551,,,,,
,,,,,,,,,,589,+20.4,1554,,,,,
,,,,,,,,,,590,-30.7,1544,,,,,
,,,,,,,,,,591,-0.0,1550,,,,,
,,,,,,,,,,592,-60.3,1538,,,,,
,,,,,,,,,,593,-0.3,1549,,,,,
,,,,,,,,,,594,-0.0,1549,,,,,
,,,,,,,,,,595,-45.6,1540,,,,,
,,,,,,,,,,596,+9.6,1550,,,,,
,,,,,,,,,,597,-0.0,1548,,,,,
,,,,,,,,,,598,+28.9,1553,,,,,
,,,,,,,,,,599,+27.9,1552,,,,,
,,,,,,,,,,600,-0.0,1547,,,,,
,,,,,,,,,,601,-31.5,1541,,,,,
,,,,,,,,,,602,-38.4,1540,,,,,
,,,,,,,,,,603,-0.0,1548,,,,,
,,,,,,,,,,604,+33.5,1554,,,,,
,,,,,,,,,,605,+0.7,1548,,,,,
,,,,,,,,,,606,-0.0,1548,,,,,
,,,,,,,,,,607,+12.0,1551,,,,,
,,,,,,,,,,608,+38.3,1556,,,,,
,,,,,,,,,,609,-0.0,1549,,,,,
,,,,,,,,,,610,+7.4,1550,,,,,
,,,,,,,,,,611,+26.8,1553,,,,,
,,,,,,,,,,612,-0.0,1548,,,,,
,,,,,,,,,,613,-26.8,1543,,,,,
,,,,,,,,,,614,-5.3,1548,,,,,
,,,,,,,,,,615,-0.0,1549,,,,,
,,,,,,,,,,616,-20.2,1546,,,,,
,,,,,,,,,,617,-28.9,1545,,,,,
,,,,,,,,,,618,-0.0,1551,,,,,
,,,,,,,,,,619,-22.6,1547,,,,,
,,,,,,,,,,620,-20.0,1547,,,,,
,,,,,,,,,,621,-0.0,1551,,,,,
,,,,,,,,,,622,+42.3,1559,,,,,
,,,,,,,,,,623,+47.0,1561,,,,,
,,,,,,,,,,624,-0.0,1553,,,,,
,,,,,,,,,,625,-21.6,1549,,,,,
,,,,,,,,,,626,+0.6,1553,,,,,
,,,,,,,,,,627,-0.0,1553,,,,,
,,,,,,,,,,628,+1.1,1554,,,,,
,,,,,,,,,,629,-47.4,1545,,,,,
,,,,,,,,,,630,-0.0,1554,,,,,
,,,,,,,,,,631,-55.5,1545,,,,,
,,,,,,,,,,632,-66.2,1543,,,,,
,,,,,,,,,,633,-0.0,1556,,,,,
,,,,,,,,,,634,+54.2,1566,,,,,
,,,,,,,,,,635,+48.7,1566,,,,,
,,,,,,,,,,636,-0.0,1557,,,,,
,,,,,,,,,,637,+15.7,1561,,,,,
,,,,,,,,,,638,+18.3,1562,,,,,
,,,,,,,,,,639,-0.0,1559,,,,,
,,,,,,,,,,640,+26.8,1564,,,,,
,,,,,,,,,,641,-14.9,1557,,,,,
,,,,,,,,,,642,-0.0,1560,,,,,
,,,,,,,,,,643,+57.8,1571,,,,,
,,,,,,,,,,644,+45.2,1569,,,,,
,,,,,,,,,,645,-0.0,1561,,,,,
,,,,,,,,,,646,-4.5,1561,,,,,
,,,,,,,,,,647,-28.8,1557,,,,,
,,,,,,,,,,648,-0.0,1563,,,,,
,,,,,,,,,,649,-19.7,1559,,,,,
,,,,,,,,,,650,-1.6,1561,,,,,
,,,,,,,,,,651,-0.0,1561,,,,,
,,,,,,,,,,652,-46.8,1553,,,,,
,,,,,,,,,,653,+29.6,1566,,,,,
,,,,,,,,,,654,-0.0,1560,,,,,
,,,,,,,,,,655,+36.8,1566,,,,,
,,,,,,,,,,656,+0.9,1559,,,,,
,,,,,,,,,,657,-0.0,1559,,,,,
,,,,,,,,,,658,+0.6,1559,,,,,
,,,,,,,,,,659,+18.7,1563,,,,,
,,,,,,,,,,660,-0.0,1559,,,,,
,,,,,,,,,,661,-18.5,1556,,,,,
,,,,,,,,,,662,-63.6,1548,,,,,
,,,,,,,,,,663,-0.0,1559,,,,,
,,,,,,,,,,664,+35.2,1565,,,,,
,,,,,,,,,,665,-11.5,1555,,,,,
,,,,,,,,,,666,-0.0,1557,,,,,
,,,,,,,,,,667,+28.9,1561,,,,,
,,,,,,,,,,668,+25.4,1560,,,,,
,,,,,,,,,,669,-0.0,1555,,,,,
,,,,,,,,,,670,+3.3,1555,,,,,
,,,,,,,,,,671,+22.7,1557,,,,,
,,,,,,,,,,672,-0.0,1553,,,,,
,,,,,,,,,,673,+9.0,1554,,,,,
,,,,,,,,,,674,-43.6,1545,,,,,
,,,,,,,,,,675,-0.0,1553,,,,,
,,,,,,,,,,676,+27.4,1558,,,,,
,,,,,,,,,,677,+42.0,1561,,,,,
,,,,,,,,,,678,-0.0,1554,,,,,
,,,,,,,,,,679,-22.3,1550,,,,,
,,,,,,,,,,680,-17.1,1551,,,,,
,,,,,,,,,,681,-0.0,1555,,,,,
,,,,,,,,,,682,-5.0,1554,,,,,
,,,,,,,,,,683,+20.0,1559,,,,,
,,,,,,,,,,684,-0.0,1556,,,,,
,,,,,,,,,,685,+47.5,1565,,,,,
,,,,,,,,,,686,+45.5,1565,,,,,
,,,,,,,,,,687,-0.0,1557,,,,,
,,,,,,,,,,688,+4.2,1558,,,,,
,,,,,,,,,,689,+26.2,1563,,,,,
,,,,,,,,,,690,-0.0,1559,,,,,
,,,,,,,,,,691,+46.2,1567,,,,,
,,,,,,,,,,692,-5.3,1557,,,,,
,,,,,,,,,,693,-0.0,1557,,,,,
,,,,,,,,,,694,+5.6,1558,,,,,
,,,,,,,,,,695,+23.2,1561,,,,,
,,,,,,,,,,696,-0.0,1556,,,,,
,,,,,,,,,,697,+3.9,1557,,,,,
,,,,,,,,,,698,-36.3,1550,,,,,
,,,,,,,,,,699,-0.0,1557,,,,,
,,,,,,,,,,700,-7.0,1555,,,,,
,,,,,,,,,,701,-35.7,1549,,,,,
,,,,,,,,,,702,-0.0,1555,,,,,
,,,,,,,,,,703,-7.1,1553,,,,,
,,,,,,,,,,704,+17.6,1557,,,,,
,,,,,,,,,,705,-0.0,1553,,,,,
,,,,,,,,,,706,+33.0,1559,,,,,
,,,,,,,,,,707,+33.1,1558,,,,,
,,,,,,,,,,708,-0.0,1552,,,,,
,,,,,,,,,,709,-12.1,1550,,,,,
,,,,,,,,,,710,-12.8,1549,,,,,
,,,,,,,,,,711,-0.0,1551,,,,,
,,,,,,,,,,712,-13.8,1549,,,,,
,,,,,,,,,,713,+0.5,1551,,,,,
,,,,,,,,,,714,-0.0,1550,,,,,
,,,,,,,,,,715,-2.8,1550,,,,,
,,,,,,,,,,716,-15.7,1548,,,,,
,,,,,,,,,,717,-0.0,1551,,,,,
,,,,,,,,,,718,+10.2,1552,,,,,
,,,,,,,,,,719,-37.7,1544,,,,,
,,,,,,,,,,720,-0.0,1550,,,,,
,,,,,,,,,,721,-30.9,1545,,,,,
,,,,,,,,,,722,-9.2,1549,,,,,
,,,,,,,,,,723,-0.0,1551,,,,,
,,,,,,,,,,724,-49.5,1541,,,,,
,,,,,,,,,,725,-56.9,1539,,,,,
,,,,,,,,,,726,-0.0,1549,,,,,
,,,,,,,,,,727,-36.4,1543,,,,,
,,,,,,,,,,728,-32.7,1545,,,,,
,,,,,,,,,,729,-0.0,1551,,,,,
,,,,,,,,,,730,+35.0,1557,,,,,
,,,,,,,,,,731,-1.3,1550,,,,,
,,,,,,,,,,732,-0.0,1549,,,,,
,,,,,,,,,,733,-16.6,1546,,,,,
,,,,,,,,,,734,-14.6,1547,,,,,
,,,,,,,,,,735,-0.0,1549,,,,,
,,,,,,,,,,736,+45.9,1557,,,,,
,,,,,,,,,,737,+10.5,1550,,,,,
,,,,,,,,,,738,-0.0,1547,,,,,
,,,,,,,,,,739,+45.6,1555,,,,,
,,,,,,,,,,740,+57.2,1556,,,,,
,,,,,,,,,,741,-0.0,1545,,,,,
,,,,,,,,,,742,+11.4,1547,,,,,
,,,,,,,,,,743,+49.5,1554,,,,,
,,,,,,,,,,744,-0.0,1545,,,,,
,,,,,,,,,,745,-3.8,1544,,,,,
,,,,,,,,,,746,-28.3,1538,,,,,
,,,,,,,,,,747,-0.0,1543,,,,,
,,,,,,,,,,748,+42.5,1551,,,,,
,,,,,,,,,,749,-3.9,1543,,,,,
,,,,,,,,,,750,-0.0,1543,,,,,
,,,,,,,,,,751,-25.2,1539,,,,,
,,,,,,,,,,752,+1.8,1543,,,,,
,,,,,,,,,,753,-0.0,1542,,,,,
,,,,,,,,,,754,+44.4,1550,,,,,
,,,,,,,,,,755,+3.0,1542,,,,,
,,,,,,,,,,756,-0.0,1541,,,,,
,,,,,,,,,,757,+26.2,1546,,,,,
,,,,,,,,,,758,-15.4,1537,,,,,
,,,,,,,,,,759,-0.0,1540,,,,,
,,,,,,,,,,760,+0.9,1539,,,,,
,,,,,,,,,,761,+41.8,1546,,,,,
,,,,,,,,,,762,-0.0,1538,,,,,
,,,,,,,,,,763,+34.5,1545,,,,,
,,,,,,,,,,764,+29.1,1545,,,,,
,,,,,,,,,,765,-0.0,1540,,,,,
,,,,,,,,,,766,+2.4,1541,,,,,
,,,,,,,,,,767,+17.0,1545,,,,,
,,,,,,,,,,768,-0.0,1542,,,,,
,,,,,,,,,,769,-7.2,1541,,,,,
,,,,,,,,,,770,-42.8,1535,,,,,
,,,,,,,,,,771,-0.0,1542,,,,,
,,,,,,,,,,772,-26.7,1538,,,,,
,,,,,,,,,,773,-34.8,1537,,,,,
,,,,,,,,,,774,-0.0,1544,,,,,
,,,,,,,,,,775,-19.0,1540,,,,,
,,,,,,,,,,776,-0.0,1542,,,,,
,,,,,,,,,,777,-0.0,1541,,,,,
,,,,,,,,,,778,+6.6,1542,,,,,
,,,,,,,,,,779,-18.2,1538,,,,,
,,,,,,,,,,780,-0.0,1541,,,,,
,,,,,,,,,,781,-36.6,1534,,,,,
,,,,,,,,,,782,+1.8,1541,,,,,
,,,,,,,,,,783,-0.0,1541,,,,,
,,,,,,,,,,784,+23.5,1545,,,,,
,,,,,,,,,,785,+29.9,1546,,,,,
,,,,,,,,,,786,-0.0,1541,,,,,
,,,,,,,,,,787,+36.2,1548,,,,,
,,,,,,,,,,788,+9.9,1543,,,,,
,,,,,,,,,,789,-0.0,1542,,,,,
,,,,,,,,,,790,-32.5,1535,,,,,
,,,,,,,,,,791,-30.4,1535,,,,,
,,,,,,,,,,792,-0.0,1540,,,,,
,,,,,,,,,,793,+42.4,1548,,,,,
,,,,,,,,,,794,+34.1,1546,,,,,
,,,,,,,,,,795,-0.0,1539,,,,,
,,,,,,,,,,796,+32.9,1545,,,,,
,,,,,,,,,,797,+37.1,1546,,,,,
,,,,,,,,,,798,-0.0,1539,,,,,
,,,,,,,,,,799,-31.9,1532,,,,,
,,,,,,,,,,800,-36.7,1531,,,,,
,,,,,,,,,,801,-0.0,1537,,,,,
,,,,,,,,,,802,+50.1,1546,,,,,
,,,,,,,,,,803,+39.6,1544,,,,,
,,,,,,,,,,804,-0.0,1537,,,,,
,,,,,,,,,,805,+6.4,1538,,,,,
,,,,,,,,,,806,-23.5,1533,,,,,
,,,,,,,,,,807,-0.0,1537,,,,,
,,,,,,,,,,808,-3.6,1537,,,,,
,,,,,,,,,,809,+18.0,1541,,,,,
,,,,,,,,,,810,-0.0,1538,,,,,
,,,,,,,,,,811,+9.4,1539,,,,,
,,,,,,,,,,812,+47.3,1546,,,,,
,,,,,,,,,,813,-0.0,1537,,,,,
,,,,,,,,,,814,-13.2,1534,,,,,
,,,,,,,,,,815,-13.5,1534,,,,,
,,,,,,,,,,816,-0.0,1536,,,,,
,,,,,,,,,,817,-29.0,1531,,,,,
,,,,,,,,,,818,+49.3,1545,,,,,
,,,,,,,,,,819,-0.0,1536,,,,,
,,,,,,,,,,820,+15.6,1540,,,,,
,,,,,,,,,,821,+52.5,1547,,,,,
,,,,,,,,,,822,-0.0,1538,,,,,
,,,,,,,,,,823,-1.5,1539,,,,,
,,,,,,,,,,824,+20.2,1543,,,,,
,,,,,,,,,,825,-0.0,1541,,,,,
,,,,,,,,,,826,-30.0,1536,,,,,
,,,,,,,,,,827,+1.0,1542,,,,,
,,,,,,,,,,828,-0.0,1543,,,,,
,,,,,,,,,,829,-56.0,1533,,,,,
,,,,,,,,,,830,-46.5,1535,,,,,
,,,,,,,,,,831,-0.0,1544,,,,,
,,,,,,,,,,832,-22.3,1541,,,,,
,,,,,,,,,,833,-19.1,1542,,,,,
,,,,,,,,,,834,-0.0,1546,,,,,
,,,,,,,,,,835,-48.6,1537,,,,,
,,,,,,,,,,836,-48.8,1536,,,,,
,,,,,,,,,,837,-0.0,1544,,,,,
,,,,,,,,,,838,-29.2,1538,,,,,
,,,,,,,,,,839,-30.7,1538,,,,,
,,,,,,,,,,840,-0.0,1543,,,,,
,,,,,,,,,,841,-20.6,1539,,,,,
,,,,,,,,,,842,+39.6,1550,,,,,
,,,,,,,,,,843,-0.0,1542,,,,,
,,,,,,,,,,844,+34.4,1549,,,,,
,,,,,,,,,,845,+22.9,1547,,,,,
,,,,,,,,,,846,-0.0,1544,,,,,
,,,,,,,,,,847,+4.2,1545,,,,,
,,,,,,,,,,848,+34.4,1551,,,,,
,,,,,,,,,,849,-0.0,1545,,,,,
,,,,,,,,,,850,-28.8,1539,,,,,
,,,,,,,,,,851,-87.1,1528,,,,,
,,,,,,,,,,852,-0.0,1543,,,,,
,,,,,,,,,,853,+2.8,1543,,,,,
,,,,,,,,,,854,+33.3,1548,,,,,
,,,,,,,,,,855,-0.0,1542,,,,,
,,,,,,,,,,856,-12.0,1539,,,,,
,,,,,,,,,,857,-62.4,1530,,,,,
,,,,,,,,,,858,-0.0,1541,,,,,
,,,,,,,,,,859,+22.1,1545,,,,,
,,,,,,,,,,860,+23.4,1546,,,,,
,,,,,,,,,,861,-0.0,1543,,,,,
,,,,,,,,,,862,+60.6,1554,,,,,
,,,,,,,,,,863,+46.2,1552,,,,,
,,,,,,,,,,864,-0.0,1545,,,,,
,,,,,,,,,,865,-38.5,1539,,,,,
,,,,,,,,,,866,-26.3,1541,,,,,
,,,,,,,,,,867,-0.0,1547,,,,,
,,,,,,,,,,868,+39.8,1555,,,,,
,,,,,,,,,,869,-10.7,1546,,,,,
,,,,,,,,,,870,-0.0,1549,,,,,
,,,,,,,,,,871,-32.0,1543,,,,,
,,,,,,,,,,872,+1.9,1550,,,,,
,,,,,,,,,,873,-0.0,1549,,,,,
,,,,,,,,,,874,-42.3,1542,,,,,
,,,,,,,,,,875,-60.8,1539,,,,,
,,,,,,,,,,876,-0.0,1550,,,,,
,,,,,,,,,,877,+33.0,1556,,,,,
,,,,,,,,,,878,-2.0,1550,,,,,
,,,,,,,,,,879,-0.0,1551,,,,,
,,,,,,,,,,880,+26.8,1556,,,,,
,,,,,,,,,,881,+32.2,1558,,,,,
,,,,,,,,,,882,-0.0,1552,,,,,
,,,,,,,,,,883,+45.2,1561,,,,,
,,,,,,,,,,884,+10.2,1555,,,,,
,,,,,,,,,,885,-0.0,1553,,,,,
,,,,,,,,,,886,-12.5,1552,,,,,
,,,,,,,,,,887,-12.2,1552,,,,,
,,,,,,,,,,888,-0.0,1555,,,,,
,,,,,,,,,,889,-65.5,1543,,,,,
,,,,,,,,,,890,-12.0,1552,,,,,
,,,,,,,,,,891,-0.0,1554,,,,,
,,,,,,,,,,892,-9.2,1553,,,,,
,,,,,,,,,,893,-39.7,1547,,,,,
,,,,,,,,,,894,-0.0,1554,,,,,
,,,,,,,,,,895,-36.3,1547,,,,,
,,,,,,,,,,896,-56.3,1544,,,,,
,,,,,,,,,,897,-0.0,1554,,,,,
,,,,,,,,,,898,-37.2,1547,,,,,
,,,,,,,,,,899,-8.4,1553,,,,,
,,,,,,,,,,900,-0.0,1555,,,,,
,,,,,,,,,,901,-27.4,1550,,,,,
,,,,,,,,,,902,-35.7,1549,,,,,
,,,,,,,,,,903,-0.0,1556,,,,,
,,,,,,,,,,904,-3.4,1555,,,,,
,,,,,,,,,,905,+17.6,1559,,,,,
,,,,,,,,,,906,-0.0,1555,,,,,
,,,,,,,,,,907,-11.0,1554,,,,,
,,,,,,,,,,908,+27.2,1561,,,,,
,,,,,,,,,,909,-0.0,1556,,,,,
,,,,,,,,,,910,-28.7,1551,,,,,
,,,,,,,,,,911,-27.9,1552,,,,,
,,,,,,,,,,912,-0.0,1557,,,,,
,,,,,,,,,,913,-44.0,1550,,,,,
,,,,,,,,,,914,+0.8,1558,,,,,
,,,,,,,,,,915,-0.0,1558,,,,,
,,,,,,,,,,916,-18.9,1554,,,,,
,,,,,,,,,,917,-56.4,1547,,,,,
,,,,,,,,,,918,-0.0,1557,,,,,
,,,,,,,,,,919,+12.2,1558,,,,,
,,,,,,,,,,920,+34.5,1562,,,,,
,,,,,,,,,,921,-0.0,1555,,,,,
,,,,,,,,,,922,-47.0,1547,,,,,
,,,,,,,,,,923,-47.3,1548,,,,,
,,,,,,,,,,924,-0.0,1557,,,,,
,,,,,,,,,,925,-34.5,1551,,,,,
,,,,,,,,,,926,-47.5,1550,,,,,
,,,,,,,,,,927,-0.0,1559,,,,,
,,,,,,,,,,928,-22.0,1555,,,,,
,,,,,,,,,,929,-60.7,1549,,,,,
,,,,,,,,,,930,-0.0,1561,,,,,
,,,,,,,,,,931,+31.2,1567,,,,,
,,,,,,,,,,932,+6.7,1563,,,,,
,,,,,,,,,,933,-0.0,1562,,,,,
,,,,,,,,,,934,-45.3,1554,,,,,
,,,,,,,,,,935,-4.5,1562,,,,,
,,,,,,,,,,936,-0.0,1563,,,,,
,,,,,,,,,,937,-31.7,1557,,,,,
,,,,,,,,,,938,-25.2,1557,,,,,
,,,,,,,,,,939,-0.0,1561,,,,,
,,,,,,,,,,940,-61.3,1551,,,,,
,,,,,,,,,,941,-20.1,1558,,,,,
,,,,,,,,,,942,-0.0,1562,,,,,
,,,,,,,,,,943,-25.7,1558,,,,,
,,,,,,,,,,944,+7.7,1564,,,,,
,,,,,,,,,,945,-0.0,1563,,,,,
,,,,,,,,,,946,-31.8,1557,,,,,
,,,,,,,,,,947,-24.2,1558,,,,,
,,,,,,,,,,948,-0.0,1562,,,,,
,,,,,,,,,,949,-0.6,1561,,,,,
,,,,,,,,,,950,-25.2,1557,,,,,
,,,,,,,,,,951,-0.0,1561,,,,,
,,,,,,,,,,952,+31.7,1567,,,,,
,,,,,,,,,,953,+23.8,1566,,,,,
,,,,,,,,,,954,-0.0,1562,,,,,
,,,,,,,,,,955,-7.8,1561,,,,,
,,,,,,,,,,956,-32.2,1556,,,,,
,,,,,,,,,,957,-0.0,1562,,,,,
,,,,,,,,,,958,-2.9,1562,,,,,
,,,,,,,,,,959,+33.1,1568,,,,,
,,,,,,,,,,960,-0.0,1563,,,,,
,,,,,,,,,,961,+32.0,1569,,,,,
,,,,,,,,,,962,+38.0,1571,,,,,
,,,,,,,,,,963,-0.0,1564,,,,,
,,,,,,,,,,964,-53.0,1555,,,,,
,,,,,,,,,,965,-11.5,1564,,,,,
,,,,,,,,,,966,-0.0,1566,,,,,
,,,,,,,,,,967,-53.2,1557,,,,,
,,,,,,,,,,968,-16.6,1565,,,,,
,,,,,,,,,,969,-0.0,1568,,,,,
,,,,,,,,,,970,-23.2,1565,,,,,
,,,,,,,,,,971,-31.9,1564,,,,,
,,,,,,,,,,972,-0.0,1570,,,,,
,,,,,,,,,,973,-47.4,1562,,,,,
,,,,,,,,,,974,-41.5,1564,,,,,
,,,,,,,,,,975,-0.0,1572,,,,,
,,,,,,,,,,976,-10.9,1570,,,,,
,,,,,,,,,,977,-49.6,1564,,,,,
,,,,,,,,,,978,-0.0,1573,,,,,
,,,,,,,,,,979,+9.2,1575,,,,,
,,,,,,,,,,980,+45.5,1582,,,,,
,,,,,,,,,,981,-0.0,1573,,,,,
,,,,,,,,,,982,+30.3,1579,,,,,
,,,,,,,,,,983,+46.5,1583,,,,,
,,,,,,,,,,984,-0.0,1574,,,,,
,,,,,,,,,,985,+30.4,1580,,,,,
,,,,,,,,,,986,+45.5,1582,,,,,
,,,,,,,,,,987,-0.0,1574,,,,,
,,,,,,,,,,988,+34.6,1580,,,,,
,,,,,,,,,,989,-11.5,1571,,,,,
,,,,,,,,,,990,-0.0,1573,,,,,
,,,,,,,,,,991,+1.3,1573,,,,,
,,,,,,,,,,992,-15.8,1570,,,,,
,,,,,,,,,,993,-0.0,1573,,,,,
,,,,,,,,,,994,+74.1,1586,,,,,
,,,,,,,,,,995,+27.5,1577,,,,,
,,,,,,,,,,996,-0.0,1572,,,,,
,,,,,,,,,,997,+62.6,1583,,,,,
,,,,,,,,,,998,+9.5,1573,,,,,
,,,,,,,,,,999,-0.0,1571,,,,,
,,,,,,,,,,1000,-52.0,1561,,,,,
,,,,,,,,,,1001,-55.5,1559,,,,,
,,,,,,,,,,1002,-0.0,1569,,,,,
,,,,,,,,,,1003,-45.2,1560,,,,,
,,,,,,,,,,1004,-28.2,1563,,,,,
,,,,,,,,,,1005,-0.0,1567,,,,,
,,,,,,,,,,1006,+24.1,1572,,,,,
,,,,,,,,,,1007,+24.9,1572,,,,,
,,,,,,,,,,1008,-0.0,1568,,,,,
,,,,,,,,,,1009,+22.4,1572,,,,,
,,,,,,,,,,1010,+17.4,1571,,,,,
,,,,,,,,,,1011,-0.0,1568,,,,,
,,,,,,,,,,1012,-36.0,1562,,,,,
,,,,,,,,,,1013,+4.7,1570,,,,,
,,,,,,,,,,1014,-0.0,1570,,,,,
,,,,,,,,,,1015,-13.3,1567,,,,,
,,,,,,,,,,1016,-14.0,1567,,,,,
,,,,,,,,,,1017,-0.0,1569,,,,,
,,,,,,,,,,1018,+6.8,1570,,,,,
,,,,,,,,,,1019,+35.8,1574,,,,,
,,,,,,,,,,1020,-0.0,1566,,,,,
,,,,,,,,,,1021,-47.6,1557,,,,,
,,,,,,,,,,1022,+19.3,1569,,,,,
,,,,,,,,,,1023,-0.0,1566,,,,,
,,,,,,,,,,1024,+16.7,1568,,,,,
,,,,,,,,,,1025,+46.7,1573,,,,,
,,,,,,,,,,1026,-0.0,1564,,,,,
,,,,,,,,,,1027,-62.2,1553,,,,,
,,,,,,,,,,1028,-3.2,1564,,,,,
,,,,,,,,,,1029,-0.0,1565,,,,,
,,,,,,,,,,1030,+16.5,1568,,,,,
,,,,,,,,,,1031,+16.2,1568,,,,,
,,,,,,,,,,1032,-0.0,1566,,,,,
,,,,,,,,,,1033,-54.7,1557,,,,,
,,,,,,,,,,1034,-14.8,1565,,,,,
,,,,,,,,,,1035,-0.0,1568,,,,,
,,,,,,,,,,1036,+20.9,1572,,,,,
,,,,,,,,,,1037,+2.2,1570,,,,,
,,,,,,,,,,1038,-0.0,1570,,,,,
,,,,,,,,,,1039,+60.9,1581,,,,,
,,,,,,,,,,1040,+51.1,1580,,,,,
