名前,まっつん,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,64,+323.6,1509,,,,,
,,,,,,,,,,65,+328.6,1509,,,,,
,,,,,,,,,,66,+307.0,1506,,,,,
,,,,,,,,,,67,+274.1,1500,,,,,
,,,,,,,,,,68,+285.4,1501,,,,,
,,,,,,,,,,69,+330.4,1510,,,,,
,,,,,,,,,,70,+382.5,1520,,,,,
,,,,,,,,,,71,+350.4,1514,,,,,
,,,,,,,,,,72,+304.6,1505,,,,,
,,,,,,,,,,73,+275.0,1500,,,,,
,,,,,,,,,,74,+242.1,1494,,,,,
,,,,,,,,,,75,+255.8,1497,,,,,
,,,,,,,,,,76,+198.3,1487,,,,,
,,,,,,,,,,77,+201.7,1487,,,,,
,,,,,,,,,,78,+193.4,1485,,,,,
,,,,,,,,,,79,+151.6,1478,,,,,
,,,,,,,,,,80,+154.2,1478,,,,,
,,,,,,,,,,81,+216.2,1489,,,,,
,,,,,,,,,,82,+225.8,1492,,,,,
,,,,,,,,,,83,+167.5,1481,,,,,
,,,,,,,,,,84,+131.7,1474,,,,,
,,,,,,,,,,85,+103.2,1469,,,,,
,,,,,,,,,,86,+69.9,1464,,,,,
,,,,,,,,,,87,+18.7,1455,,,,,
,,,,,,,,,,88,-51.8,1443,,,,,
,,,,,,,,,,89,-75.5,1439,,,,,
,,,,,,,,,,90,-66.5,1440,,,,,
,,,,,,,,,,91,-39.6,1445,,,,,
,,,,,,,,,,92,-0.7,1453,,,,,
,,,,,,,,,,93,+29.6,1459,,,,,
,,,,,,,,,,94,+57.3,1464,,,,,
,,,,,,,,,,95,+47.3,1463,,,,,
,,,,,,,,,,96,+48.9,1463,,,,,
,,,,,,,,,,97,+19.8,1458,,,,,
,,,,,,,,,,98,+87.1,1471,,,,,
,,,,,,,,,,99,+119.3,1476,,,,,
,,,,,,,,,,100,+115.6,1476,,,,,
,,,,,,,,,,101,+111.6,1475,,,,,
,,,,,,,,,,102,+112.5,1476,,,,,
,,,,,,,,,,103,+67.7,1468,,,,,
,,,,,,,,,,104,+56.9,1467,,,,,
,,,,,,,,,,105,-9.6,1456,,,,,
,,,,,,,,,,106,+1.5,1459,,,,,
,,,,,,,,,,107,+1.3,1459,,,,,
,,,,,,,,,,108,-5.7,1459,,,,,
,,,,,,,,,,109,-6.1,1459,,,,,
,,,,,,,,,,110,-43.8,1453,,,,,
,,,,,,,,,,111,-3.6,1461,,,,,
,,,,,,,,,,112,-65.2,1451,,,,,
,,,,,,,,,,113,-109.1,1443,,,,,
,,,,,,,,,,114,-98.4,1445,,,,,
,,,,,,,,,,115,-62.7,1452,,,,,
,,,,,,,,,,116,-35.5,1457,,,,,
,,,,,,,,,,117,-19.7,1459,,,,,
,,,,,,,,,,118,-48.5,1454,,,,,
,,,,,,,,,,119,+12.7,1465,,,,,
,,,,,,,,,,120,+15.9,1466,,,,,
,,,,,,,,,,121,+57.4,1473,,,,,
