名前,れんたろう,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,65,+131.6,1513,,,,,
,,,,,,,,,,66,+86.1,1504,,,,,
,,,,,,,,,,67,+154.1,1517,,,,,
,,,,,,,,,,68,+152.3,1516,,,,,
,,,,,,,,,,69,+106.2,1508,,,,,
,,,,,,,,,,70,+146.8,1515,,,,,
,,,,,,,,,,71,+88.8,1504,,,,,
,,,,,,,,,,72,+98.3,1506,,,,,
,,,,,,,,,,73,+156.3,1517,,,,,
,,,,,,,,,,74,+99.3,1507,,,,,
,,,,,,,,,,75,+145.3,1516,,,,,
,,,,,,,,,,76,+163.3,1520,,,,,
,,,,,,,,,,77,+89.6,1507,,,,,
,,,,,,,,,,78,+94.3,1508,,,,,
,,,,,,,,,,79,+118.5,1512,,,,,
,,,,,,,,,,80,+109.7,1511,,,,,
,,,,,,,,,,81,+173.1,1522,,,,,
,,,,,,,,,,82,+214.1,1530,,,,,
,,,,,,,,,,83,+210.9,1530,,,,,
,,,,,,,,,,84,+275.1,1541,,,,,
,,,,,,,,,,85,+213.1,1530,,,,,
,,,,,,,,,,86,+158.5,1520,,,,,
,,,,,,,,,,87,+102.5,1510,,,,,
,,,,,,,,,,88,+46.3,1499,,,,,
,,,,,,,,,,89,+32.0,1497,,,,,
,,,,,,,,,,90,+1.7,1491,,,,,
,,,,,,,,,,91,-9.2,1489,,,,,
,,,,,,,,,,92,-69.2,1479,,,,,
,,,,,,,,,,93,-125.8,1469,,,,,
,,,,,,,,,,94,-44.8,1484,,,,,
,,,,,,,,,,95,-1.9,1491,,,,,
,,,,,,,,,,96,-48.6,1483,,,,,
,,,,,,,,,,97,-49.4,1482,,,,,
,,,,,,,,,,98,+22.6,1495,,,,,
,,,,,,,,,,99,-10.1,1489,,,,,
,,,,,,,,,,100,-46.7,1482,,,,,
,,,,,,,,,,101,-17.1,1488,,,,,
,,,,,,,,,,102,+27.4,1497,,,,,
,,,,,,,,,,103,+34.4,1499,,,,,
,,,,,,,,,,104,+29.8,1498,,,,,
,,,,,,,,,,105,+105.0,1513,,,,,
,,,,,,,,,,106,+140.5,1520,,,,,
,,,,,,,,,,107,+198.1,1531,,,,,
,,,,,,,,,,108,+181.0,1528,,,,,
,,,,,,,,,,109,+167.1,1526,,,,,
,,,,,,,,,,110,+136.3,1520,,,,,
