名前,ただ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,64,-1056.1,1379,,,,,
,,,,,,,,,,65,-1083.1,1375,,,,,
,,,,,,,,,,66,-1123.0,1368,,,,,
,,,,,,,,,,67,-1123.8,1369,,,,,
,,,,,,,,,,68,-1066.6,1381,,,,,
,,,,,,,,,,69,-1115.3,1372,,,,,
,,,,,,,,,,70,-1171.0,1363,,,,,
,,,,,,,,,,71,-1130.4,1370,,,,,
,,,,,,,,,,72,-1129.7,1372,,,,,
,,,,,,,,,,73,-1091.6,1380,,,,,
,,,,,,,,,,74,-1149.6,1371,,,,,
,,,,,,,,,,75,-1147.9,1372,,,,,
,,,,,,,,,,76,-1184.0,1367,,,,,
,,,,,,,,,,77,-1136.0,1376,,,,,
,,,,,,,,,,78,-1169.9,1371,,,,,
,,,,,,,,,,79,-1226.6,1362,,,,,
,,,,,,,,,,80,-1201.0,1368,,,,,
,,,,,,,,,,81,-1265.7,1356,,,,,
,,,,,,,,,,82,-1267.2,1357,,,,,
,,,,,,,,,,83,-1270.6,1358,,,,,
,,,,,,,,,,84,-1264.8,1360,,,,,
,,,,,,,,,,85,-1322.1,1351,,,,,
,,,,,,,,,,86,-1272.1,1360,,,,,
,,,,,,,,,,87,-1283.8,1359,,,,,
,,,,,,,,,,88,-1241.1,1368,,,,,
,,,,,,,,,,89,-1288.1,1360,,,,,
,,,,,,,,,,90,-1324.2,1354,,,,,
,,,,,,,,,,91,-1253.1,1368,,,,,
,,,,,,,,,,92,-1291.9,1363,,,,,
,,,,,,,,,,93,-1348.9,1353,,,,,
,,,,,,,,,,94,-1306.3,1362,,,,,
,,,,,,,,,,95,-1362.6,1352,,,,,
,,,,,,,,,,96,-1335.8,1357,,,,,
,,,,,,,,,,97,-1299.4,1364,,,,,
,,,,,,,,,,98,-1305.7,1364,,,,,
,,,,,,,,,,99,-1267.5,1372,,,,,
,,,,,,,,,,100,-1255.3,1375,,,,,
,,,,,,,,,,101,-1246.3,1377,,,,,
,,,,,,,,,,102,-1206.5,1385,,,,,
,,,,,,,,,,103,-1144.9,1396,,,,,
,,,,,,,,,,104,-1134.8,1399,,,,,
,,,,,,,,,,105,-1138.7,1398,,,,,
,,,,,,,,,,106,-1119.7,1402,,,,,
,,,,,,,,,,107,-1085.0,1408,,,,,
,,,,,,,,,,108,-1048.6,1415,,,,,
,,,,,,,,,,109,-982.6,1427,,,,,
,,,,,,,,,,110,-940.0,1435,,,,,
,,,,,,,,,,111,-890.8,1444,,,,,
,,,,,,,,,,112,-971.2,1430,,,,,
,,,,,,,,,,113,-921.2,1439,,,,,
,,,,,,,,,,114,-924.7,1439,,,,,
,,,,,,,,,,115,-919.7,1441,,,,,
,,,,,,,,,,116,-880.8,1449,,,,,
,,,,,,,,,,117,-932.8,1440,,,,,
,,,,,,,,,,118,-988.7,1431,,,,,
,,,,,,,,,,119,-950.4,1439,,,,,
,,,,,,,,,,120,-902.5,1448,,,,,
,,,,,,,,,,121,-911.6,1447,,,,,
,,,,,,,,,,122,-881.6,1452,,,,,
,,,,,,,,,,123,-881.0,1452,,,,,
,,,,,,,,,,124,-849.5,1458,,,,,
,,,,,,,,,,125,-877.9,1452,,,,,
,,,,,,,,,,126,-883.0,1452,,,,,
,,,,,,,,,,127,-881.5,1453,,,,,
,,,,,,,,,,128,-908.4,1449,,,,,
,,,,,,,,,,129,-970.4,1437,,,,,
,,,,,,,,,,130,-939.3,1443,,,,,
,,,,,,,,,,131,-938.5,1443,,,,,
,,,,,,,,,,132,-967.9,1439,,,,,
,,,,,,,,,,133,-1016.2,1431,,,,,
,,,,,,,,,,134,-1019.5,1431,,,,,
,,,,,,,,,,135,-991.3,1437,,,,,
,,,,,,,,,,136,-995.5,1437,,,,,
,,,,,,,,,,137,-998.4,1438,,,,,
,,,,,,,,,,138,-1041.2,1431,,,,,
,,,,,,,,,,139,-1031.4,1433,,,,,
,,,,,,,,,,140,-1031.1,1434,,,,,
,,,,,,,,,,141,-1065.2,1429,,,,,
,,,,,,,,,,142,-1102.6,1423,,,,,
,,,,,,,,,,143,-1103.4,1424,,,,,
,,,,,,,,,,144,-1159.5,1415,,,,,
,,,,,,,,,,145,-1121.9,1422,,,,,
,,,,,,,,,,146,-1181.5,1413,,,,,
,,,,,,,,,,147,-1213.9,1408,,,,,
,,,,,,,,,,148,-1255.3,1401,,,,,
,,,,,,,,,,149,-1227.8,1407,,,,,
