名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,63,+1654.1,1930,,,,,
,,,,,,,,,,64,+1629.3,1924,,,,,
,,,,,,,,,,65,+1626.5,1921,,,,,
,,,,,,,,,,66,+1565.4,1908,,,,,
,,,,,,,,,,67,+1610.8,1915,,,,,
,,,,,,,,,,68,+1572.8,1906,,,,,
,,,,,,,,,,69,+1572.3,1904,,,,,
,,,,,,,,,,70,+1598.9,1907,,,,,
,,,,,,,,,,71,+1644.6,1913,,,,,
,,,,,,,,,,72,+1587.8,1901,,,,,
,,,,,,,,,,73,+1588.9,1900,,,,,
,,,,,,,,,,74,+1553.8,1892,,,,,
,,,,,,,,,,75,+1496.5,1880,,,,,
,,,,,,,,,,76,+1535.1,1885,,,,,
,,,,,,,,,,77,+1496.5,1876,,,,,
,,,,,,,,,,78,+1534.7,1881,,,,,
,,,,,,,,,,79,+1485.0,1871,,,,,
,,,,,,,,,,80,+1482.0,1868,,,,,
,,,,,,,,,,81,+1523.8,1874,,,,,
,,,,,,,,,,82,+1552.2,1878,,,,,
,,,,,,,,,,83,+1511.9,1869,,,,,
,,,,,,,,,,84,+1510.6,1867,,,,,
,,,,,,,,,,85,+1566.5,1875,,,,,
,,,,,,,,,,86,+1610.2,1881,,,,,
,,,,,,,,,,87,+1662.8,1889,,,,,
,,,,,,,,,,88,+1664.2,1888,,,,,
,,,,,,,,,,89,+1656.9,1885,,,,,
,,,,,,,,,,90,+1620.9,1876,,,,,
,,,,,,,,,,91,+1680.8,1885,,,,,
,,,,,,,,,,92,+1634.7,1875,,,,,
,,,,,,,,,,93,+1677.6,1882,,,,,
,,,,,,,,,,94,+1672.4,1879,,,,,
,,,,,,,,,,95,+1681.2,1879,,,,,
,,,,,,,,,,96,+1680.9,1877,,,,,
,,,,,,,,,,97,+1734.4,1885,,,,,
,,,,,,,,,,98,+1737.4,1884,,,,,
,,,,,,,,,,99,+1678.5,1871,,,,,
,,,,,,,,,,100,+1622.2,1860,,,,,
,,,,,,,,,,101,+1564.8,1848,,,,,
,,,,,,,,,,102,+1634.4,1858,,,,,
,,,,,,,,,,103,+1615.7,1853,,,,,
,,,,,,,,,,104,+1653.1,1858,,,,,
,,,,,,,,,,105,+1593.1,1846,,,,,
,,,,,,,,,,106,+1583.2,1843,,,,,
,,,,,,,,,,107,+1517.3,1829,,,,,
,,,,,,,,,,108,+1569.1,1837,,,,,
,,,,,,,,,,109,+1512.2,1825,,,,,
,,,,,,,,,,110,+1513.7,1824,,,,,
,,,,,,,,,,111,+1461.9,1813,,,,,
,,,,,,,,,,112,+1405.8,1801,,,,,
,,,,,,,,,,113,+1346.8,1790,,,,,
,,,,,,,,,,114,+1351.1,1789,,,,,
,,,,,,,,,,115,+1435.5,1803,,,,,
,,,,,,,,,,116,+1471.9,1808,,,,,
,,,,,,,,,,117,+1492.6,1810,,,,,
,,,,,,,,,,118,+1530.0,1816,,,,,
,,,,,,,,,,119,+1530.0,1814,,,,,
,,,,,,,,,,120,+1527.0,1812,,,,,
,,,,,,,,,,121,+1556.6,1816,,,,,
,,,,,,,,,,122,+1590.1,1821,,,,,
,,,,,,,,,,123,+1598.2,1821,,,,,
,,,,,,,,,,124,+1628.6,1825,,,,,
,,,,,,,,,,125,+1565.6,1812,,,,,
,,,,,,,,,,126,+1666.5,1829,,,,,
,,,,,,,,,,127,+1643.1,1823,,,,,
,,,,,,,,,,128,+1573.6,1809,,,,,
,,,,,,,,,,129,+1603.0,1813,,,,,
,,,,,,,,,,130,+1682.6,1826,,,,,
,,,,,,,,,,131,+1632.1,1815,,,,,
,,,,,,,,,,132,+1590.4,1806,,,,,
,,,,,,,,,,133,+1555.5,1799,,,,,
,,,,,,,,,,134,+1549.3,1796,,,,,
,,,,,,,,,,135,+1609.6,1806,,,,,
,,,,,,,,,,136,+1638.4,1809,,,,,
,,,,,,,,,,137,+1631.8,1806,,,,,
,,,,,,,,,,138,+1633.8,1805,,,,,
,,,,,,,,,,139,+1701.6,1816,,,,,
,,,,,,,,,,140,+1700.4,1814,,,,,
,,,,,,,,,,141,+1724.1,1817,,,,,
,,,,,,,,,,142,+1751.8,1820,,,,,
,,,,,,,,,,143,+1797.1,1826,,,,,
,,,,,,,,,,144,+1806.1,1826,,,,,
,,,,,,,,,,145,+1774.3,1819,,,,,
,,,,,,,,,,146,+1767.0,1816,,,,,
,,,,,,,,,,147,+1763.5,1814,,,,,
,,,,,,,,,,148,+1727.1,1806,,,,,
,,,,,,,,,,149,+1744.7,1808,,,,,
,,,,,,,,,,150,+1788.5,1814,,,,,
,,,,,,,,,,151,+1847.5,1824,,,,,
,,,,,,,,,,152,+1812.8,1816,,,,,
,,,,,,,,,,153,+1805.4,1813,,,,,
,,,,,,,,,,154,+1855.1,1821,,,,,
,,,,,,,,,,155,+1940.5,1834,,,,,
,,,,,,,,,,156,+2009.8,1845,,,,,
,,,,,,,,,,157,+2024.8,1847,,,,,
,,,,,,,,,,158,+1973.9,1836,,,,,
,,,,,,,,,,159,+1932.7,1827,,,,,
,,,,,,,,,,160,+1899.8,1819,,,,,
,,,,,,,,,,161,+1913.3,1820,,,,,
,,,,,,,,,,162,+1955.5,1827,,,,,
,,,,,,,,,,163,+1950.5,1824,,,,,
,,,,,,,,,,164,+1985.5,1829,,,,,
,,,,,,,,,,165,+1995.0,1829,,,,,
,,,,,,,,,,166,+1939.7,1818,,,,,
,,,,,,,,,,167,+1970.7,1822,,,,,
,,,,,,,,,,168,+1935.4,1814,,,,,
,,,,,,,,,,169,+1976.5,1820,,,,,
,,,,,,,,,,170,+2031.1,1828,,,,,
,,,,,,,,,,171,+2031.0,1827,,,,,
,,,,,,,,,,172,+2043.9,1827,,,,,
,,,,,,,,,,173,+2066.5,1830,,,,,
,,,,,,,,,,174,+2121.1,1838,,,,,
,,,,,,,,,,175,+2087.3,1831,,,,,
,,,,,,,,,,176,+2055.5,1824,,,,,
,,,,,,,,,,177,+2093.1,1829,,,,,
,,,,,,,,,,178,+2146.3,1837,,,,,
,,,,,,,,,,179,+2182.4,1842,,,,,
,,,,,,,,,,180,+2156.0,1835,,,,,
,,,,,,,,,,181,+2217.0,1845,,,,,
,,,,,,,,,,182,+2252.4,1850,,,,,
,,,,,,,,,,183,+2307.9,1858,,,,,
,,,,,,,,,,184,+2341.2,1862,,,,,
,,,,,,,,,,185,+2314.4,1856,,,,,
,,,,,,,,,,186,+2307.7,1853,,,,,
,,,,,,,,,,187,+2348.1,1858,,,,,
,,,,,,,,,,188,+2290.1,1846,,,,,
,,,,,,,,,,189,+2337.6,1853,,,,,
,,,,,,,,,,190,+2335.7,1851,,,,,
,,,,,,,,,,191,+2390.1,1859,,,,,
,,,,,,,,,,192,+2392.9,1858,,,,,
,,,,,,,,,,193,+2389.8,1856,,,,,
,,,,,,,,,,194,+2355.3,1848,,,,,
,,,,,,,,,,195,+2406.4,1856,,,,,
,,,,,,,,,,196,+2442.9,1861,,,,,
,,,,,,,,,,197,+2485.4,1867,,,,,
,,,,,,,,,,198,+2519.9,1871,,,,,
,,,,,,,,,,199,+2503.3,1866,,,,,
,,,,,,,,,,200,+2466.9,1858,,,,,
,,,,,,,,,,201,+2528.5,1868,,,,,
,,,,,,,,,,202,+2521.3,1865,,,,,
,,,,,,,,,,203,+2568.6,1871,,,,,
,,,,,,,,,,204,+2629.6,1880,,,,,
,,,,,,,,,,205,+2674.5,1887,,,,,
,,,,,,,,,,206,+2726.5,1894,,,,,
,,,,,,,,,,207,+2661.5,1880,,,,,
,,,,,,,,,,208,+2614.7,1870,,,,,
,,,,,,,,,,209,+2661.7,1877,,,,,
,,,,,,,,,,210,+2614.7,1867,,,,,
,,,,,,,,,,211,+2588.4,1860,,,,,
,,,,,,,,,,212,+2645.9,1869,,,,,
,,,,,,,,,,213,+2670.7,1872,,,,,
,,,,,,,,,,214,+2623.6,1862,,,,,
,,,,,,,,,,215,+2676.6,1870,,,,,
,,,,,,,,,,216,+2671.2,1867,,,,,
,,,,,,,,,,217,+2672.1,1865,,,,,
,,,,,,,,,,218,+2684.2,1866,,,,,
,,,,,,,,,,219,+2746.9,1876,,,,,
