名前,たかの,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,65,+38.2,1460,,,,,
,,,,,,,,,,66,-5.4,1452,,,,,
,,,,,,,,,,67,+1.9,1454,,,,,
,,,,,,,,,,68,-39.5,1447,,,,,
,,,,,,,,,,69,-7.6,1453,,,,,
,,,,,,,,,,70,-32.0,1450,,,,,
,,,,,,,,,,71,-76.6,1442,,,,,
,,,,,,,,,,72,-68.4,1443,,,,,
,,,,,,,,,,73,-129.3,1433,,,,,
,,,,,,,,,,74,-61.5,1445,,,,,
,,,,,,,,,,75,-76.4,1443,,,,,
,,,,,,,,,,76,-36.3,1451,,,,,
,,,,,,,,,,77,-37.3,1452,,,,,
,,,,,,,,,,78,-38.6,1452,,,,,
,,,,,,,,,,79,-67.0,1448,,,,,
,,,,,,,,,,80,-114.7,1440,,,,,
,,,,,,,,,,81,-115.9,1441,,,,,
,,,,,,,,,,82,-110.6,1442,,,,,
,,,,,,,,,,83,-101.2,1443,,,,,
,,,,,,,,,,84,-162.9,1433,,,,,
,,,,,,,,,,85,-121.3,1440,,,,,
,,,,,,,,,,86,-133.3,1439,,,,,
,,,,,,,,,,87,-118.6,1441,,,,,
,,,,,,,,,,88,-163.2,1434,,,,,
,,,,,,,,,,89,-123.9,1441,,,,,
,,,,,,,,,,90,-122.8,1442,,,,,
,,,,,,,,,,91,-121.5,1443,,,,,
,,,,,,,,,,92,-120.5,1443,,,,,
,,,,,,,,,,93,-155.1,1437,,,,,
,,,,,,,,,,94,-184.6,1431,,,,,
,,,,,,,,,,95,-161.5,1436,,,,,
,,,,,,,,,,96,-202.0,1428,,,,,
,,,,,,,,,,97,-200.5,1429,,,,,
,,,,,,,,,,98,-164.7,1435,,,,,
,,,,,,,,,,99,-172.9,1435,,,,,
,,,,,,,,,,100,-177.8,1435,,,,,
,,,,,,,,,,101,-212.4,1429,,,,,
,,,,,,,,,,102,-200.8,1432,,,,,
,,,,,,,,,,103,-259.4,1423,,,,,
,,,,,,,,,,104,-234.2,1427,,,,,
,,,,,,,,,,105,-243.5,1426,,,,,
