名前,いちかわ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,51 回,,,03,ドラ,88 回,66.67%,10 位,,0,±0,1489,,東1局,-912,50 回,-45600
総局数,430 回,,,10,役牌,78 回,59.09%,7 位,,1,+55.6,1500,,東2局,+1166,50 回,58300
通算スコア,+178.2,,,01,立直,59 回,44.70%,5 位,,2,+24.9,1495,,東3局,+2228,50 回,111400
平均スコア,+3.49,,,52,赤ドラ,44 回,33.33%,11 位,,3,-20.6,1487,,南1局,-383,47 回,-18000
レーティング,1541,,,04,裏ドラ,37 回,28.03%,5 位,,4,-25.0,1487,,南2局,+257,42 回,10800
平均順位,1.92 位,,,06,ツモ,32 回,24.24%,12 位,,5,-53.0,1481,,南3局,+1710,39 回,66700
1位,19 回,37.3%,,28,混一色,26 回,19.70%,4 位,,6,-32.8,1485,,,,,
2位,17 回,33.3%,,07,平和,20 回,15.15%,4 位,,7,-22.2,1488,,起家,スコア,回数,合計
3位,15 回,29.4%,,02,一発,11 回,8.33%,8 位,,8,+0.3,1492,,東家,+3.78,16 回,60.5
1位スコア,+33.87,+643.50,,09,タンヤオ,10 回,7.58%,6 位,,9,+20.5,1495,,南家,-0.78,17 回,-13.3
2位スコア,-1.98,-33.70,,25,七対子,10 回,7.58%,3 位,,10,+6.9,1494,,西家,+7.28,18 回,131
3位スコア,-28.77,-431.60,,22,対々和,7 回,5.30%,6 位,,11,-18.8,1490,,,,,
バランス,+1.04,,,08,一盃口,5 回,3.79%,9 位,,12,+32.1,1500,,相手,スコア,回数,合計
ふっとび,2 回,3.9%,,16,一気通貫,5 回,3.79%,3 位,,13,+65.8,1506,,ただ,+26.46,8 回,211.7
リーチ,98 回,22.8%,,20,三暗刻,5 回,3.79%,6 位,,14,+99.3,1512,,わさび,+16.20,1 回,16.2
副露,97 回,22.6%,,30,清一色,5 回,3.79%,1 位,,15,+75.2,1509,,れんたろう,+9.06,22 回,199.4
リーチ成功,58 回,59.2%,,11,海底摸月,2 回,1.52%,2 位,,16,+83.0,1511,,たか,+8.42,14 回,117.9
副露成功,44 回,45.4%,,13,嶺上開花,1 回,0.76%,2 位,,17,+81.6,1511,,のり,+7.13,4 回,28.5
アガリ,132 回,30.7%,,17,チャンタ,1 回,0.76%,6 位,,18,+83.2,1512,,だいち,+3.04,31 回,94.3
放銃,59 回,13.7%,,32,四暗刻,1 回,0.76%,2 位,,19,+126.8,1521,,りくと,-3.08,4 回,-12.3
ツモ,53 回,40.2%,,12,河底撈魚,0 回,0.00%,1 位,,20,+163.0,1528,,まっつん,-6.56,9 回,-59
ロン,79 回,59.8%,,14,槍槓,0 回,0.00%,1 位,,21,+116.7,1520,,たかの,-6.90,9 回,-62.1
リーチアガリ,58 回,43.9%,,15,ダブル立直,0 回,0.00%,5 位,,22,+137.2,1524,,,,,
副露アガリ,44 回,33.3%,,19,三色同刻,0 回,0.00%,3 位,,23,+139.2,1525,,,,,
ダマアガリ,30 回,22.7%,,21,三槓子,0 回,0.00%,1 位,,24,+108.8,1520,,,,,
平均アガリ点,7930,1046700,,23,小三元,0 回,0.00%,3 位,,25,+90.4,1517,,,,,
門前アガリ点,8414,740400,,24,混老頭,0 回,0.00%,5 位,,26,+123.1,1523,,,,,
副露アガリ点,6961,306300,,26,二盃口,0 回,0.00%,1 位,,27,+124.8,1523,,,,,
平均放銃点,-6961,-410700,,27,純チャン,0 回,0.00%,6 位,,28,+106.4,1520,,,,,
連続アガリ,5 回,0 回,,29,流し満貫,0 回,0.00%,5 位,,29,+127.9,1525,,,,,
連続無放銃,30 回,3 回,,31,国士無双,0 回,0.00%,5 位,,30,+164.4,1532,,,,,
最大ドラ数,6 個,,,33,字一色,0 回,0.00%,1 位,,31,+119.8,1525,,,,,
最高点,93600,,,34,大三元,0 回,0.00%,1 位,,32,+101.0,1522,,,,,
