名前,ただ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,65 回,,,03,ドラ,117 回,82.98%,2 位,,0,±0,1606,,東1局,-1635,63 回,-103000
総局数,521 回,,,01,立直,67 回,47.52%,6 位,,1,+3.6,1607,,東2局,-1452,62 回,-90000
通算スコア,-429.8,,,10,役牌,65 回,46.10%,3 位,,2,-14.5,1604,,東3局,-1522,59 回,-89800
平均スコア,-6.61,,,52,赤ドラ,63 回,44.68%,2 位,,3,-60.5,1596,,南1局,-693,55 回,-38100
レーティング,1547,,,06,ツモ,48 回,34.04%,5 位,,4,-7.9,1606,,南2局,+2053,47 回,96500
平均順位,2.12 位,,,04,裏ドラ,31 回,21.99%,6 位,,5,-20.7,1604,,南3局,-970,40 回,-38800
1位,14 回,21.5%,,08,一盃口,19 回,13.48%,2 位,,6,+7.6,1610,,,,,
2位,29 回,44.6%,,28,混一色,19 回,13.48%,3 位,,7,+36.5,1615,,起家,スコア,回数,合計
3位,22 回,33.8%,,07,平和,16 回,11.35%,6 位,,8,+35.9,1615,,東家,-9.61,18 回,-172.9
1位スコア,+42.37,+593.20,,02,一発,15 回,10.64%,5 位,,9,-3.3,1607,,南家,-11.32,18 回,-203.8
2位スコア,-3.06,-88.70,,09,タンヤオ,9 回,6.38%,4 位,,10,-0.9,1608,,西家,-1.83,29 回,-53.1
3位スコア,-42.47,-934.30,,22,対々和,8 回,5.67%,1 位,,11,-3.4,1607,,,,,
バランス,-1.05,,,25,七対子,8 回,5.67%,6 位,,12,-12.7,1605,,相手,スコア,回数,合計
ふっとび,8 回,12.3%,,20,三暗刻,7 回,4.96%,1 位,,13,-58.7,1597,,りくと,+9.25,10 回,92.5
リーチ,127 回,24.4%,,16,一気通貫,5 回,3.55%,2 位,,14,-32.7,1601,,ぱぱ,-2.50,22 回,-55.1
副露,96 回,18.4%,,11,海底摸月,2 回,1.42%,1 位,,15,+10.7,1609,,れんたろう,-9.59,42 回,-402.7
リーチ成功,67 回,52.8%,,12,河底撈魚,2 回,1.42%,1 位,,16,-22.0,1603,,だいち,-16.50,56 回,-924.1
副露成功,34 回,35.4%,,17,チャンタ,2 回,1.42%,2 位,,17,-44.8,1599,,,,,
アガリ,141 回,27.1%,,30,清一色,2 回,1.42%,5 位,,18,-41.6,1600,,,,,
放銃,82 回,15.7%,,29,流し満貫,1 回,0.71%,2 位,,19,-91.2,1592,,,,,
ツモ,61 回,43.3%,,51,オープン立直,1 回,0.71%,6 位,,20,-149.3,1582,,,,,
ロン,80 回,56.7%,,13,嶺上開花,0 回,0.00%,3 位,,21,-180.3,1577,,,,,
リーチアガリ,67 回,47.5%,,14,槍槓,0 回,0.00%,1 位,,22,-180.3,1577,,,,,
副露アガリ,34 回,24.1%,,15,ダブル立直,0 回,0.00%,3 位,,23,-202.5,1574,,,,,
ダマアガリ,40 回,28.4%,,19,三色同刻,0 回,0.00%,1 位,,24,-239.5,1567,,,,,
平均アガリ点,8321,1173200,,21,三槓子,0 回,0.00%,1 位,,25,-242.5,1567,,,,,
門前アガリ点,8554,915300,,23,小三元,0 回,0.00%,3 位,,26,-278.5,1561,,,,,
副露アガリ点,7585,257900,,24,混老頭,0 回,0.00%,3 位,,27,-202.0,1574,,,,,
平均放銃点,-8530,-699500,,26,二盃口,0 回,0.00%,4 位,,28,-208.1,1573,,,,,
連続アガリ,6 回,1 回,,27,純チャン,0 回,0.00%,3 位,,29,-256.8,1565,,,,,
連続無放銃,27 回,9 回,,31,国士無双,0 回,0.00%,4 位,,30,-312.9,1555,,,,,
最大ドラ数,7 個,,,32,四暗刻,0 回,0.00%,5 位,,31,-284.6,1560,,,,,
最高点,96200,,,33,字一色,0 回,0.00%,3 位,,32,-296.6,1558,,,,,
チョンボ,0 回,0.0%,,34,大三元,0 回,0.00%,1 位,,33,-331.2,1552,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,34,-250.0,1566,,,,,
1翻,9 回,6.4%,,36,小四喜,0 回,0.00%,1 位,,35,-295.2,1558,,,,,
2翻,26 回,18.4%,,37,緑一色,0 回,0.00%,3 位,,36,-345.2,1549,,,,,
3翻,29 回,20.6%,,38,清老頭,0 回,0.00%,1 位,,37,-339.4,1550,,,,,
4翻,28 回,19.9%,,39,四槓子,0 回,0.00%,1 位,,38,-346.2,1549,,,,,
5翻,21 回,14.9%,,40,九蓮宝燈,0 回,0.00%,1 位,,39,-299.5,1558,,,,,
6翻,10 回,7.1%,,41,天和,0 回,0.00%,1 位,,40,-302.2,1557,,,,,
7翻,6 回,4.3%,,42,地和,0 回,0.00%,1 位,,41,-312.9,1555,,,,,
8翻,4 回,2.8%,,43,人和,0 回,0.00%,1 位,,42,-324.0,1553,,,,,
9翻,6 回,4.3%,,44,国士13面,0 回,0.00%,1 位,,43,-314.4,1555,,,,,
10翻,1 回,0.7%,,45,四暗刻単騎,0 回,0.00%,3 位,,44,-300.3,1558,,,,,
11翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,45,-324.7,1553,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,46,-340.5,1551,,,,,
13翻～,1 回,0.7%,,48,大竹林,0 回,0.00%,1 位,,47,-344.0,1550,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,48,-397.2,1541,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,49,-470.8,1528,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,50,-472.6,1529,,,,,
,,,,,,,,,,51,-420.7,1539,,,,,
,,,,,,,,,,52,-364.3,1550,,,,,
,,,,,,,,,,53,-323.8,1558,,,,,
,,,,,,,,,,54,-313.3,1560,,,,,
,,,,,,,,,,55,-373.6,1550,,,,,
,,,,,,,,,,56,-375.2,1551,,,,,
,,,,,,,,,,57,-405.5,1546,,,,,
,,,,,,,,,,58,-403.2,1547,,,,,
,,,,,,,,,,59,-392.1,1550,,,,,
,,,,,,,,,,60,-421.7,1545,,,,,
,,,,,,,,,,61,-417.0,1546,,,,,
,,,,,,,,,,62,-405.3,1549,,,,,
,,,,,,,,,,63,-372.8,1556,,,,,
,,,,,,,,,,64,-433.3,1546,,,,,
,,,,,,,,,,65,-429.8,1547,,,,,
