名前,れんたろう,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,89 回,,,03,ドラ,197 回,95.63%,3 位,,0,±0,1653,,東1局,+1247,89 回,111000
総局数,791 回,,,10,役牌,135 回,65.53%,4 位,,1,-31.0,1647,,東2局,-385,87 回,-33500
通算スコア,-244.3,,,01,立直,101 回,49.03%,4 位,,2,-98.9,1634,,東3局,-972,86 回,-83600
平均スコア,-2.74,,,52,赤ドラ,79 回,38.35%,10 位,,3,-65.3,1640,,南1局,-235,84 回,-19700
レーティング,1605,,,06,ツモ,71 回,34.47%,5 位,,4,-99.7,1633,,南2局,-183,77 回,-14100
平均順位,2.03 位,,,04,裏ドラ,66 回,32.04%,4 位,,5,-132.9,1627,,南3局,-416,67 回,-27900
1位,28 回,31.5%,,28,混一色,32 回,15.53%,5 位,,6,-182.9,1619,,,,,
2位,30 回,33.7%,,07,平和,26 回,12.62%,6 位,,7,-162.3,1623,,起家,スコア,回数,合計
3位,31 回,34.8%,,02,一発,25 回,12.14%,5 位,,8,-137.5,1627,,東家,-3.56,33 回,-117.5
1位スコア,+32.55,+911.30,,08,一盃口,19 回,9.22%,6 位,,9,-87.9,1636,,南家,-0.65,26 回,-16.8
2位スコア,+0.59,+17.80,,09,タンヤオ,15 回,7.28%,6 位,,10,-61.0,1641,,西家,-3.67,30 回,-110
3位スコア,-37.85,-1173.40,,25,七対子,12 回,5.83%,5 位,,11,-94.5,1635,,,,,
バランス,-1.57,,,22,対々和,6 回,2.91%,10 位,,12,-140.2,1627,,相手,スコア,回数,合計
ふっとび,11 回,12.4%,,30,清一色,6 回,2.91%,2 位,,13,-131.3,1629,,たか,+35.61,7 回,249.3
リーチ,225 回,28.4%,,51,オープン立直,6 回,2.91%,2 位,,14,-125.8,1630,,いっしー,+21.08,4 回,84.3
副露,176 回,22.3%,,20,三暗刻,5 回,2.43%,9 位,,15,-165.1,1623,,のり,+18.30,2 回,36.6
リーチ成功,108 回,48.0%,,16,一気通貫,4 回,1.94%,10 位,,16,-95.4,1636,,たかの,+6.35,22 回,139.8
副露成功,59 回,33.5%,,11,海底摸月,3 回,1.46%,3 位,,17,-91.0,1636,,やなぎ,+1.90,3 回,5.7
アガリ,206 回,26.0%,,15,ダブル立直,2 回,0.97%,3 位,,18,-91.0,1636,,りくと,-0.22,5 回,-1.1
放銃,161 回,20.4%,,24,混老頭,2 回,0.97%,2 位,,19,-143.4,1627,,だいち,-7.86,76 回,-597.4
ツモ,94 回,45.6%,,27,純チャン,2 回,0.97%,1 位,,20,-101.2,1634,,まっつん,-8.79,15 回,-131.8
ロン,112 回,54.4%,,17,チャンタ,1 回,0.49%,7 位,,21,-99.3,1634,,いちかわ,-9.06,22 回,-199.4
リーチアガリ,108 回,52.4%,,31,国士無双,1 回,0.49%,3 位,,22,-95.2,1635,,ただ,-14.50,22 回,-318.9
副露アガリ,59 回,28.6%,,12,河底撈魚,0 回,0.00%,1 位,,23,-75.0,1638,,,,,
ダマアガリ,39 回,18.9%,,13,嶺上開花,0 回,0.00%,5 位,,24,-77.4,1637,,,,,
平均アガリ点,9418,1940100,,14,槍槓,0 回,0.00%,1 位,,25,-83.6,1636,,,,,
門前アガリ点,10224,1503000,,19,三色同刻,0 回,0.00%,3 位,,26,-84.5,1635,,,,,
副露アガリ点,7408,437100,,21,三槓子,0 回,0.00%,1 位,,27,-32.3,1644,,,,,
平均放銃点,-7674,-1235500,,23,小三元,0 回,0.00%,3 位,,28,-67.1,1638,,,,,
連続アガリ,4 回,0 回,,26,二盃口,0 回,0.00%,1 位,,29,-63.7,1639,,,,,
連続無放銃,25 回,0 回,,29,流し満貫,0 回,0.00%,5 位,,30,-76.0,1636,,,,,
最大ドラ数,7 個,,,32,四暗刻,0 回,0.00%,4 位,,31,-92.6,1634,,,,,
