,通算スコア,,平均スコア,,平均順位,,トップ率,,ラス率,,アガリ率,,放銃率,,平均アガリ点,,平均放銃点,,ふっとび率,,ふっとばし率,,リーチ率,,副露率,,リーチ成功率,,副露成功率,,ツモ率,,最大点数,
相関,,,,,0.9750,,0.9998,,0.8752,,0.8566,,-0.0186,,0.9523,,0.9832,,0.0186,,-0.0186,,0.7067,,-0.8752,,0.3505,,-0.8752,,-0.8566,,-0.0914,
1位,Tenari2,+119.7,Tenari2,+9.98,Tenari2,1.75 位,Tenari2,50.0%,Tenari2,25.0%,Tenari2,31.8%,Tenari2,20.5%,Tenari2,8593,Tenari2,-5883,Tenari1,8.3%,Tenari2,16.7%,Tenari1,61.4%,だいち,6.8%,Tenari2,58.3%,だいち,83.3%,だいち,34.6%,Tenari1,80000
2位,Tenari1,+2.6,Tenari1,+0.22,Tenari1,1.92 位,Tenari1,33.3%,Tenari1,25.0%,全体,30.3%,だいち,20.5%,Tenari1,8342,全体,-7464,全体,13.9%,だいち,16.7%,Tenari2,54.5%,全体,2.3%,だいち,54.5%,全体,83.3%,Tenari1,34.6%,全体,80000
3位,全体,-0.0,全体,-0.00,全体,2.00 位,全体,33.3%,全体,33.3%,だいち,29.5%,全体,21.2%,全体,8114,Tenari1,-7730,Tenari2,16.7%,全体,13.9%,全体,51.1%,Tenari2,0.0%,全体,53.3%,Tenari2,0.0%,全体,30.0%,だいち,77800
4位,だいち,-122.3,だいち,-10.19,だいち,2.33 位,だいち,16.7%,だいち,50.0%,Tenari1,29.5%,Tenari1,22.7%,だいち,7369,だいち,-8750,だいち,16.7%,Tenari1,8.3%,だいち,37.5%,Tenari1,0.0%,Tenari1,48.1%,Tenari1,0.0%,Tenari2,21.4%,Tenari2,77500
