名前,たかの,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,15 回,,,03,ドラ,34 回,75.56%,2 位,,0,±0,1463,,東1局,+1527,15 回,22900
総局数,132 回,,,01,立直,27 回,60.00%,4 位,,1,+51.5,1473,,東2局,-660,15 回,-9900
通算スコア,+161.9,,,10,役牌,21 回,46.67%,5 位,,2,+21.3,1468,,東3局,-273,15 回,-4100
平均スコア,+10.79,,,52,赤ドラ,18 回,40.00%,8 位,,3,-34.3,1458,,南1局,+2400,15 回,36000
レーティング,1502,,,06,ツモ,14 回,31.11%,7 位,,4,-34.9,1459,,南2局,-900,15 回,-13500
平均順位,1.80 位,,,02,一発,9 回,20.00%,2 位,,5,-43.8,1458,,南3局,+2500,13 回,32500
1位,7 回,46.7%,,04,裏ドラ,9 回,20.00%,7 位,,6,-42.4,1459,,,,,
2位,4 回,26.7%,,07,平和,6 回,13.33%,6 位,,7,-8.8,1466,,起家,スコア,回数,合計
3位,4 回,26.7%,,09,タンヤオ,5 回,11.11%,2 位,,8,-1.0,1468,,東家,-30.20,1 回,-30.2
1位スコア,+48.49,+339.40,,28,混一色,5 回,11.11%,6 位,,9,+60.4,1480,,南家,+6.68,8 回,53.4
2位スコア,-0.08,-0.30,,08,一盃口,4 回,8.89%,7 位,,10,+14.4,1473,,西家,+23.12,6 回,138.7
3位スコア,-44.30,-177.20,,22,対々和,3 回,6.67%,1 位,,11,+45.7,1479,,,,,
バランス,+1.37,,,20,三暗刻,2 回,4.44%,2 位,,12,+115.3,1492,,相手,スコア,回数,合計
ふっとび,1 回,6.7%,,25,七対子,2 回,4.44%,6 位,,13,+69.9,1485,,れんたろう,+26.89,11 回,295.8
リーチ,36 回,27.3%,,11,海底摸月,1 回,2.22%,3 位,,14,+114.8,1494,,ただ,+14.15,10 回,141.5
副露,31 回,23.5%,,12,河底撈魚,1 回,2.22%,1 位,,15,+161.9,1502,,だいち,+5.38,9 回,48.4
リーチ成功,26 回,72.2%,,16,一気通貫,1 回,2.22%,5 位,,,,,,,,,
副露成功,10 回,32.3%,,13,嶺上開花,0 回,0.00%,4 位,,,,,,,,,
アガリ,45 回,34.1%,,14,槍槓,0 回,0.00%,3 位,,,,,,,,,
放銃,19 回,14.4%,,15,ダブル立直,0 回,0.00%,1 位,,,,,,,,,
ツモ,22 回,48.9%,,17,チャンタ,0 回,0.00%,4 位,,,,,,,,,
ロン,23 回,51.1%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,,
リーチアガリ,26 回,57.8%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
副露アガリ,10 回,22.2%,,23,小三元,0 回,0.00%,1 位,,,,,,,,,
ダマアガリ,9 回,20.0%,,24,混老頭,0 回,0.00%,1 位,,,,,,,,,
平均アガリ点,7736,348100,,26,二盃口,0 回,0.00%,3 位,,,,,,,,,
門前アガリ点,8117,284100,,27,純チャン,0 回,0.00%,1 位,,,,,,,,,
副露アガリ点,6400,64000,,29,流し満貫,0 回,0.00%,3 位,,,,,,,,,
平均放銃点,-7011,-133200,,30,清一色,0 回,0.00%,6 位,,,,,,,,,
連続アガリ,4 回,2 回,,31,国士無双,0 回,0.00%,3 位,,,,,,,,,
連続無放銃,15 回,10 回,,32,四暗刻,0 回,0.00%,3 位,,,,,,,,,
最大ドラ数,6 個,,,33,字一色,0 回,0.00%,3 位,,,,,,,,,
最高点,84600,,,34,大三元,0 回,0.00%,1 位,,,,,,,,,
チョンボ,0 回,0.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,,
1翻,5 回,11.1%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
2翻,8 回,17.8%,,38,清老頭,0 回,0.00%,3 位,,,,,,,,,
3翻,7 回,15.6%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,12 回,26.7%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
5翻,3 回,6.7%,,41,天和,0 回,0.00%,1 位,,,,,,,,,
6翻,4 回,8.9%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,6 回,13.3%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,,
10翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,4 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
