名前,れんたろう,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,51 回,,,03,ドラ,81 回,67.50%,8 位,,0,±0,1596,,東1局,-2290,51 回,-116800
総局数,411 回,,,01,立直,80 回,66.67%,1 位,,1,-58.0,1585,,東2局,-300,48 回,-14400
通算スコア,+117.1,,,06,ツモ,51 回,42.50%,4 位,,2,-13.7,1592,,東3局,-151,47 回,-7100
平均スコア,+2.30,,,04,裏ドラ,47 回,39.17%,3 位,,3,+7.9,1596,,南1局,+259,44 回,11400
レーティング,1619,,,52,赤ドラ,45 回,37.50%,8 位,,4,+50.4,1604,,南2局,+2167,42 回,91000
平均順位,1.96 位,,,10,役牌,36 回,30.00%,9 位,,5,+81.7,1610,,南3局,+4022,36 回,144800
1位,20 回,39.2%,,07,平和,30 回,25.00%,3 位,,6,+40.5,1602,,,,,
2位,13 回,25.5%,,02,一発,17 回,14.17%,3 位,,7,-14.5,1592,,起家,スコア,回数,合計
3位,18 回,35.3%,,08,一盃口,14 回,11.67%,3 位,,8,-29.2,1590,,東家,-0.11,19 回,-2
1位スコア,+47.44,+948.70,,28,混一色,13 回,10.83%,10 位,,9,-55.2,1585,,南家,-3.48,11 回,-38.3
2位スコア,+0.15,+2.00,,25,七対子,9 回,7.50%,3 位,,10,-65.9,1583,,西家,+7.50,21 回,157.4
3位スコア,-46.31,-833.60,,09,タンヤオ,8 回,6.67%,7 位,,11,-72.3,1582,,,,,
バランス,+0.43,,,22,対々和,5 回,4.17%,3 位,,12,-67.8,1584,,相手,スコア,回数,合計
ふっとび,7 回,13.7%,,16,一気通貫,4 回,3.33%,2 位,,13,-120.6,1574,,りくと,+18.45,12 回,221.4
リーチ,153 回,37.2%,,20,三暗刻,3 回,2.50%,7 位,,14,-111.7,1576,,だいち,+8.98,45 回,404.1
副露,75 回,18.2%,,51,オープン立直,3 回,2.50%,3 位,,15,-138.2,1572,,ただ,+6.35,19 回,120.6
リーチ成功,85 回,55.6%,,11,海底摸月,2 回,1.67%,3 位,,16,-131.6,1573,,ぱぱ,-6.60,15 回,-99
副露成功,23 回,30.7%,,30,清一色,2 回,1.67%,4 位,,17,-187.4,1564,,たかの,-26.89,11 回,-295.8
アガリ,120 回,29.2%,,31,国士無双,2 回,1.67%,1 位,,18,-146.8,1572,,,,,
放銃,67 回,16.3%,,12,河底撈魚,1 回,0.83%,4 位,,19,-110.7,1579,,,,,
ツモ,62 回,51.7%,,24,混老頭,1 回,0.83%,1 位,,20,-111.6,1579,,,,,
ロン,58 回,48.3%,,34,大三元,1 回,0.83%,1 位,,21,-82.4,1585,,,,,
リーチアガリ,85 回,70.8%,,36,小四喜,1 回,0.83%,1 位,,22,-32.8,1594,,,,,
副露アガリ,23 回,19.2%,,38,清老頭,1 回,0.83%,1 位,,23,-92.7,1583,,,,,
ダマアガリ,12 回,10.0%,,13,嶺上開花,0 回,0.00%,4 位,,24,-54.3,1591,,,,,
平均アガリ点,10033,1203900,,14,槍槓,0 回,0.00%,3 位,,25,-34.8,1594,,,,,
門前アガリ点,9762,946900,,15,ダブル立直,0 回,0.00%,1 位,,26,+0.8,1601,,,,,
副露アガリ点,11174,257000,,17,チャンタ,0 回,0.00%,5 位,,27,-32.4,1595,,,,,
平均放銃点,-9106,-610100,,19,三色同刻,0 回,0.00%,1 位,,28,+62.6,1612,,,,,
連続アガリ,5 回,0 回,,21,三槓子,0 回,0.00%,1 位,,29,+46.0,1609,,,,,
連続無放銃,26 回,5 回,,23,小三元,0 回,0.00%,3 位,,30,+15.9,1603,,,,,
最大ドラ数,5 個,,,26,二盃口,0 回,0.00%,3 位,,31,+63.4,1612,,,,,
最高点,110000,,,27,純チャン,0 回,0.00%,1 位,,32,+28.2,1605,,,,,
チョンボ,0 回,0.0%,,29,流し満貫,0 回,0.00%,3 位,,33,+119.2,1622,,,,,
,,,,32,四暗刻,0 回,0.00%,4 位,,34,+189.2,1634,,,,,
1翻,6 回,5.0%,,33,字一色,0 回,0.00%,3 位,,35,+163.3,1629,,,,,
2翻,16 回,13.3%,,35,大四喜,0 回,0.00%,1 位,,36,+105.1,1619,,,,,
3翻,17 回,14.2%,,37,緑一色,0 回,0.00%,1 位,,37,+152.6,1627,,,,,
4翻,24 回,20.0%,,39,四槓子,0 回,0.00%,1 位,,38,+157.9,1628,,,,,
5翻,18 回,15.0%,,40,九蓮宝燈,0 回,0.00%,1 位,,39,+191.2,1634,,,,,
6翻,17 回,14.2%,,41,天和,0 回,0.00%,1 位,,40,+231.9,1641,,,,,
7翻,10 回,8.3%,,42,地和,0 回,0.00%,1 位,,41,+167.4,1629,,,,,
8翻,5 回,4.2%,,43,人和,0 回,0.00%,1 位,,42,+198.1,1635,,,,,
9翻,2 回,1.7%,,44,国士13面,0 回,0.00%,1 位,,43,+156.4,1627,,,,,
10翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,1 位,,44,+88.4,1615,,,,,
11翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,45,+154.4,1627,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,46,+108.4,1618,,,,,
13翻～,5 回,4.2%,,48,大竹林,0 回,0.00%,1 位,,47,+115.7,1619,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,48,+173.5,1630,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,49,+117.9,1620,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,50,+109.2,1618,,,,,
,,,,,,,,,,51,+117.1,1619,,,,,
