名前,全体,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,318 回,,,03,ドラ,558 回,72.75%,6 位,,0,±0,1614,,東1局,-44,318 回,-14000
総局数,2649 回,,,01,立直,425 回,55.41%,6 位,,1,-58.0,1603,,東2局,+29,309 回,9000
通算スコア,-0.0,,,10,役牌,369 回,48.11%,5 位,,2,-6.5,1612,,東3局,-3,303 回,-1000
平均スコア,-0.00,,,52,赤ドラ,325 回,42.37%,5 位,,3,±0,1612,,南1局,+7,288 回,2000
レーティング,1589,,,06,ツモ,271 回,35.33%,5 位,,4,+30.8,1617,,南2局,-19,267 回,-5000
平均順位,2.00 位,,,04,裏ドラ,230 回,29.99%,5 位,,5,+0.6,1611,,南3局,+38,237 回,9000
1位,106 回,33.3%,,07,平和,122 回,15.91%,6 位,,6,+0.0,1610,,,,,
2位,106 回,33.3%,,28,混一色,111 回,14.47%,4 位,,7,+44.3,1618,,起家,スコア,回数,合計
3位,106 回,33.3%,,02,一発,100 回,13.04%,5 位,,8,-11.3,1607,,東家,-2.89,106 回,-306.1
1位スコア,+47.32,+5015.50,,08,一盃口,75 回,9.78%,4 位,,9,-0.0,1609,,南家,-3.69,106 回,-390.9
2位スコア,-1.77,-187.90,,25,七対子,56 回,7.30%,4 位,,10,+21.6,1613,,西家,+6.58,106 回,697
3位スコア,-45.54,-4827.60,,09,タンヤオ,51 回,6.65%,7 位,,11,+21.0,1613,,,,,
バランス,±0,,,22,対々和,25 回,3.26%,6 位,,12,-0.0,1609,,相手,スコア,回数,合計
ふっとび,33 回,10.4%,,20,三暗刻,24 回,3.13%,6 位,,13,+42.5,1617,,わさび,+27.95,32 回,894.3
リーチ,784 回,29.6%,,16,一気通貫,19 回,2.48%,6 位,,14,+33.6,1614,,りくと,+14.58,126 回,1837.2
副露,496 回,18.7%,,17,チャンタ,14 回,1.83%,5 位,,15,±0,1608,,ただ,+3.01,90 回,270.9
リーチ成功,432 回,55.1%,,30,清一色,11 回,1.43%,5 位,,16,+1.4,1608,,まっつん,+1.68,24 回,40.2
副露成功,195 回,39.3%,,51,オープン立直,10 回,1.30%,4 位,,17,+32.7,1614,,れんたろう,-3.44,102 回,-351.3
アガリ,767 回,29.0%,,11,海底摸月,6 回,0.78%,5 位,,18,±0,1608,,だいち,-8.68,198 回,-1718.7
放銃,415 回,15.7%,,12,河底撈魚,5 回,0.65%,5 位,,19,+7.6,1609,,ぱぱ,-11.10,30 回,-333
ツモ,350 回,45.6%,,13,嶺上開花,5 回,0.65%,3 位,,20,+41.2,1615,,たかの,-16.19,30 回,-485.7
ロン,417 回,54.4%,,31,国士無双,5 回,0.65%,3 位,,21,±0,1607,,やがさき,-38.48,4 回,-153.9
リーチアガリ,432 回,56.3%,,32,四暗刻,4 回,0.52%,3 位,,22,-38.7,1600,,,,,
副露アガリ,195 回,25.4%,,23,小三元,3 回,0.39%,3 位,,23,-7.8,1606,,,,,
ダマアガリ,140 回,18.3%,,26,二盃口,3 回,0.39%,4 位,,24,-0.0,1607,,,,,
平均アガリ点,9122,6996500,,38,清老頭,2 回,0.26%,3 位,,25,+61.4,1619,,,,,
門前アガリ点,9469,5416300,,14,槍槓,1 回,0.13%,2 位,,26,+6.4,1609,,,,,
副露アガリ点,8104,1580200,,15,ダブル立直,1 回,0.13%,2 位,,27,-0.0,1608,,,,,
平均放銃点,-8687,-3605300,,24,混老頭,1 回,0.13%,2 位,,28,-0.8,1608,,,,,
連続アガリ,5 回,0 回,,29,流し満貫,1 回,0.13%,2 位,,29,+46.0,1616,,,,,
連続無放銃,43 回,1 回,,33,字一色,1 回,0.13%,2 位,,30,-0.0,1608,,,,,
最大ドラ数,7 個,,,34,大三元,1 回,0.13%,2 位,,31,-14.7,1605,,,,,
最高点,144300,,,36,小四喜,1 回,0.13%,2 位,,32,+57.6,1619,,,,,
チョンボ,3 回,0.1%,,19,三色同刻,0 回,0.00%,1 位,,33,-0.0,1609,,,,,
,,,,21,三槓子,0 回,0.00%,1 位,,34,+31.3,1614,,,,,
1翻,41 回,5.3%,,27,純チャン,0 回,0.00%,1 位,,35,+5.3,1610,,,,,
2翻,115 回,15.0%,,35,大四喜,0 回,0.00%,1 位,,36,-0.0,1609,,,,,
3翻,143 回,18.6%,,37,緑一色,0 回,0.00%,1 位,,37,-58.9,1598,,,,,
4翻,150 回,19.6%,,39,四槓子,0 回,0.00%,1 位,,38,+10.7,1610,,,,,
5翻,124 回,16.2%,,40,九蓮宝燈,0 回,0.00%,1 位,,39,-0.0,1608,,,,,
6翻,79 回,10.3%,,41,天和,0 回,0.00%,1 位,,40,-45.4,1600,,,,,
7翻,49 回,6.4%,,42,地和,0 回,0.00%,1 位,,41,-51.8,1599,,,,,
8翻,32 回,4.2%,,43,人和,0 回,0.00%,1 位,,42,-0.0,1609,,,,,
9翻,10 回,1.3%,,44,国士13面,0 回,0.00%,1 位,,43,+4.5,1610,,,,,
10翻,5 回,0.7%,,45,四暗刻単騎,0 回,0.00%,1 位,,44,+37.0,1616,,,,,
11翻,3 回,0.4%,,46,純正九蓮,0 回,0.00%,1 位,,45,-0.0,1609,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,46,-1.5,1609,,,,,
13翻～,16 回,2.1%,,48,大竹林,0 回,0.00%,1 位,,47,-44.9,1601,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,48,-0.0,1610,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,49,+5.7,1610,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,50,+52.8,1618,,,,,
,,,,,,,,,,51,-0.0,1608,,,,,
,,,,,,,,,,52,+5.0,1609,,,,,
,,,,,,,,,,53,+40.3,1616,,,,,
,,,,,,,,,,54,-0.0,1608,,,,,
,,,,,,,,,,55,-54.2,1598,,,,,
,,,,,,,,,,56,+21.2,1612,,,,,
,,,,,,,,,,57,-0.0,1608,,,,,
,,,,,,,,,,58,-12.5,1605,,,,,
,,,,,,,,,,59,+40.5,1615,,,,,
,,,,,,,,,,60,-0.0,1607,,,,,
,,,,,,,,,,61,+12.1,1609,,,,,
,,,,,,,,,,62,+46.0,1615,,,,,
,,,,,,,,,,63,-0.0,1606,,,,,
,,,,,,,,,,64,-1.8,1606,,,,,
,,,,,,,,,,65,-32.6,1600,,,,,
,,,,,,,,,,66,-0.0,1606,,,,,
,,,,,,,,,,67,-55.5,1596,,,,,
,,,,,,,,,,68,-4.5,1605,,,,,
,,,,,,,,,,69,-0.0,1605,,,,,
,,,,,,,,,,70,+3.5,1606,,,,,
,,,,,,,,,,71,+32.5,1611,,,,,
,,,,,,,,,,72,-0.0,1605,,,,,
,,,,,,,,,,73,+40.6,1612,,,,,
,,,,,,,,,,74,+60.3,1615,,,,,
,,,,,,,,,,75,-0.0,1604,,,,,
,,,,,,,,,,76,+34.2,1610,,,,,
,,,,,,,,,,77,+41.4,1611,,,,,
,,,,,,,,,,78,-0.0,1603,,,,,
,,,,,,,,,,79,-10.2,1601,,,,,
,,,,,,,,,,80,+57.4,1614,,,,,
,,,,,,,,,,81,-0.0,1603,,,,,
,,,,,,,,,,82,-33.0,1597,,,,,
,,,,,,,,,,83,-34.2,1597,,,,,
,,,,,,,,,,84,-0.0,1603,,,,,
,,,,,,,,,,85,+2.4,1603,,,,,
,,,,,,,,,,86,+48.1,1612,,,,,
,,,,,,,,,,87,-0.0,1603,,,,,
,,,,,,,,,,88,+61.4,1614,,,,,
,,,,,,,,,,89,+9.8,1604,,,,,
,,,,,,,,,,90,-0.0,1603,,,,,
,,,,,,,,,,91,-9.7,1601,,,,,
,,,,,,,,,,92,-49.8,1594,,,,,
,,,,,,,,,,93,-0.0,1603,,,,,
,,,,,,,,,,94,-45.1,1594,,,,,
,,,,,,,,,,95,-54.2,1593,,,,,
,,,,,,,,,,96,-0.0,1603,,,,,
,,,,,,,,,,97,-44.1,1595,,,,,
,,,,,,,,,,98,+23.0,1607,,,,,
,,,,,,,,,,99,-0.0,1602,,,,,
,,,,,,,,,,100,+31.5,1608,,,,,
,,,,,,,,,,101,-8.9,1601,,,,,
,,,,,,,,,,102,-0.0,1603,,,,,
,,,,,,,,,,103,+30.2,1609,,,,,
,,,,,,,,,,104,+26.5,1609,,,,,
,,,,,,,,,,105,-0.0,1604,,,,,
,,,,,,,,,,106,-33.8,1599,,,,,
,,,,,,,,,,107,-6.6,1604,,,,,
,,,,,,,,,,108,-0.0,1605,,,,,
,,,,,,,,,,109,+68.4,1618,,,,,
,,,,,,,,,,110,+55.8,1616,,,,,
,,,,,,,,,,111,-0.0,1606,,,,,
,,,,,,,,,,112,-45.3,1598,,,,,
,,,,,,,,,,113,-40.6,1599,,,,,
,,,,,,,,,,114,±0,1607,,,,,
,,,,,,,,,,115,-30.1,1602,,,,,
,,,,,,,,,,116,-36.1,1601,,,,,
,,,,,,,,,,117,±0,1608,,,,,
,,,,,,,,,,118,+34.0,1614,,,,,
,,,,,,,,,,119,+0.9,1609,,,,,
,,,,,,,,,,120,-0.0,1609,,,,,
,,,,,,,,,,121,-32.0,1603,,,,,
,,,,,,,,,,122,-29.2,1604,,,,,
,,,,,,,,,,123,±0,1610,,,,,
,,,,,,,,,,124,+7.2,1611,,,,,
,,,,,,,,,,125,-49.6,1601,,,,,
,,,,,,,,,,126,+0.0,1611,,,,,
,,,,,,,,,,127,+16.3,1614,,,,,
,,,,,,,,,,128,+59.9,1622,,,,,
,,,,,,,,,,129,+0.0,1611,,,,,
,,,,,,,,,,130,-30.8,1606,,,,,
,,,,,,,,,,131,-38.4,1605,,,,,
,,,,,,,,,,132,+0.0,1612,,,,,
,,,,,,,,,,133,-99.4,1594,,,,,
,,,,,,,,,,134,-129.3,1589,,,,,
,,,,,,,,,,135,±0,1612,,,,,
,,,,,,,,,,136,-58.1,1601,,,,,
,,,,,,,,,,137,+7.6,1613,,,,,
,,,,,,,,,,138,+0.0,1612,,,,,
,,,,,,,,,,139,+1.0,1612,,,,,
,,,,,,,,,,140,+35.3,1618,,,,,
,,,,,,,,,,141,±0,1611,,,,,
,,,,,,,,,,142,-48.0,1602,,,,,
,,,,,,,,,,143,-1.2,1611,,,,,
,,,,,,,,,,144,-0.0,1611,,,,,
,,,,,,,,,,145,-0.4,1611,,,,,
,,,,,,,,,,146,+37.8,1617,,,,,
,,,,,,,,,,147,±0,1611,,,,,
,,,,,,,,,,148,-5.8,1609,,,,,
,,,,,,,,,,149,+52.7,1620,,,,,
,,,,,,,,,,150,±0,1610,,,,,
,,,,,,,,,,151,-2.5,1610,,,,,
,,,,,,,,,,152,-26.4,1605,,,,,
,,,,,,,,,,153,±0,1610,,,,,
,,,,,,,,,,154,+61.8,1621,,,,,
,,,,,,,,,,155,-12.0,1607,,,,,
,,,,,,,,,,156,±0,1609,,,,,
,,,,,,,,,,157,-27.1,1604,,,,,
,,,,,,,,,,158,-29.7,1603,,,,,
,,,,,,,,,,159,-0.0,1609,,,,,
,,,,,,,,,,160,-27.5,1603,,,,,
,,,,,,,,,,161,-27.6,1603,,,,,
,,,,,,,,,,162,-0.0,1608,,,,,
,,,,,,,,,,163,+45.7,1616,,,,,
,,,,,,,,,,164,-17.7,1605,,,,,
,,,,,,,,,,165,+0.0,1608,,,,,
,,,,,,,,,,166,-40.8,1600,,,,,
,,,,,,,,,,167,-47.5,1599,,,,,
,,,,,,,,,,168,±0,1607,,,,,
,,,,,,,,,,169,-2.3,1607,,,,,
,,,,,,,,,,170,-59.0,1596,,,,,
,,,,,,,,,,171,±0,1607,,,,,
,,,,,,,,,,172,-10.9,1605,,,,,
,,,,,,,,,,173,-58.9,1596,,,,,
,,,,,,,,,,174,±0,1607,,,,,
,,,,,,,,,,175,+68.7,1619,,,,,
,,,,,,,,,,176,+68.2,1618,,,,,
,,,,,,,,,,177,±0,1606,,,,,
,,,,,,,,,,178,+26.5,1611,,,,,
,,,,,,,,,,179,+26.0,1610,,,,,
,,,,,,,,,,180,±0,1606,,,,,
,,,,,,,,,,181,-21.6,1602,,,,,
,,,,,,,,,,182,-87.2,1590,,,,,
,,,,,,,,,,183,+0.0,1605,,,,,
,,,,,,,,,,184,-24.8,1601,,,,,
,,,,,,,,,,185,+3.6,1606,,,,,
,,,,,,,,,,186,+0.0,1605,,,,,
,,,,,,,,,,187,-61.1,1594,,,,,
,,,,,,,,,,188,+25.2,1609,,,,,
,,,,,,,,,,189,+0.0,1605,,,,,
,,,,,,,,,,190,+44.2,1612,,,,,
,,,,,,,,,,191,-19.5,1601,,,,,
,,,,,,,,,,192,+0.0,1604,,,,,
,,,,,,,,,,193,-30.6,1599,,,,,
,,,,,,,,,,194,-35.6,1598,,,,,
,,,,,,,,,,195,+0.0,1604,,,,,
,,,,,,,,,,196,+37.7,1611,,,,,
,,,,,,,,,,197,+4.5,1605,,,,,
,,,,,,,,,,198,+0.0,1604,,,,,
,,,,,,,,,,199,+95.0,1621,,,,,
,,,,,,,,,,200,+72.9,1617,,,,,
,,,,,,,,,,201,±0,1604,,,,,
,,,,,,,,,,202,-44.4,1596,,,,,
,,,,,,,,,,203,-61.0,1593,,,,,
,,,,,,,,,,204,±0,1604,,,,,
,,,,,,,,,,205,+4.3,1604,,,,,
,,,,,,,,,,206,+30.1,1609,,,,,
,,,,,,,,,,207,±0,1604,,,,,
,,,,,,,,,,208,-12.6,1601,,,,,
,,,,,,,,,,209,-47.5,1595,,,,,
,,,,,,,,,,210,±0,1603,,,,,
,,,,,,,,,,211,+39.2,1611,,,,,
,,,,,,,,,,212,+4.0,1604,,,,,
