名前,ただ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,45 回,,,03,ドラ,103 回,83.06%,3 位,,0,±0,1547,,東1局,-107,45 回,-4800
総局数,400 回,,,10,役牌,75 回,60.48%,1 位,,1,+6.5,1548,,東2局,+1814,44 回,79800
通算スコア,-90.3,,,52,赤ドラ,55 回,44.35%,4 位,,2,+5.9,1547,,東3局,-734,44 回,-32300
平均スコア,-2.01,,,01,立直,51 回,41.13%,10 位,,3,+17.2,1549,,南1局,+1251,43 回,53800
レーティング,1545,,,06,ツモ,35 回,28.23%,9 位,,4,-16.4,1543,,南2局,-2067,39 回,-80600
平均順位,2.11 位,,,08,一盃口,15 回,12.10%,2 位,,5,-8.8,1545,,南3局,+97,35 回,3400
1位,14 回,31.1%,,28,混一色,15 回,12.10%,8 位,,6,+22.1,1551,,,,,
2位,12 回,26.7%,,02,一発,12 回,9.68%,10 位,,7,+68.9,1559,,起家,スコア,回数,合計
3位,19 回,42.2%,,04,裏ドラ,12 回,9.68%,10 位,,8,+11.3,1550,,東家,-1.98,12 回,-23.8
1位スコア,+46.67,+653.40,,07,平和,11 回,8.87%,10 位,,9,-47.6,1539,,南家,-6.43,19 回,-122.2
2位スコア,+1.31,+15.70,,09,タンヤオ,8 回,6.45%,8 位,,10,-84.6,1533,,西家,+3.98,14 回,55.7
3位スコア,-39.97,-759.40,,25,七対子,8 回,6.45%,5 位,,11,-128.0,1526,,,,,
バランス,+2.67,,,22,対々和,5 回,4.03%,4 位,,12,-122.3,1527,,相手,スコア,回数,合計
ふっとび,3 回,6.7%,,16,一気通貫,4 回,3.23%,3 位,,13,-132.5,1525,,りくと,+11.27,22 回,248
リーチ,76 回,19.0%,,20,三暗刻,4 回,3.23%,4 位,,14,-165.5,1520,,だいち,-3.79,38 回,-144.1
副露,91 回,22.8%,,12,河底撈魚,2 回,1.61%,3 位,,15,-119.8,1529,,れんたろう,-6.35,19 回,-120.6
リーチ成功,49 回,64.5%,,11,海底摸月,1 回,0.81%,5 位,,16,-171.4,1520,,たかの,-14.15,10 回,-141.5
副露成功,40 回,44.0%,,26,二盃口,1 回,0.81%,1 位,,17,-211.5,1513,,やがさき,-112.70,1 回,-112.7
アガリ,124 回,31.0%,,30,清一色,1 回,0.81%,7 位,,18,-220.6,1512,,,,,
放銃,60 回,15.0%,,33,字一色,1 回,0.81%,1 位,,19,-153.5,1524,,,,,
ツモ,51 回,41.1%,,13,嶺上開花,0 回,0.00%,4 位,,20,-122.0,1531,,,,,
ロン,73 回,58.9%,,14,槍槓,0 回,0.00%,3 位,,21,-91.8,1537,,,,,
リーチアガリ,49 回,39.5%,,15,ダブル立直,0 回,0.00%,1 位,,22,-125.6,1532,,,,,
副露アガリ,40 回,32.3%,,17,チャンタ,0 回,0.00%,5 位,,23,-57.2,1545,,,,,
ダマアガリ,35 回,28.2%,,19,三色同刻,0 回,0.00%,1 位,,24,-102.5,1537,,,,,
平均アガリ点,7870,975900,,21,三槓子,0 回,0.00%,1 位,,25,-132.6,1532,,,,,
門前アガリ点,7762,652000,,23,小三元,0 回,0.00%,3 位,,26,-98.6,1539,,,,,
副露アガリ点,8098,323900,,24,混老頭,0 回,0.00%,3 位,,27,-130.6,1534,,,,,
平均放銃点,-8048,-482900,,27,純チャン,0 回,0.00%,1 位,,28,-123.4,1536,,,,,
連続アガリ,4 回,0 回,,29,流し満貫,0 回,0.00%,3 位,,29,-107.1,1540,,,,,
連続無放銃,22 回,5 回,,31,国士無双,0 回,0.00%,4 位,,30,-137.9,1535,,,,,
最大ドラ数,6 個,,,32,四暗刻,0 回,0.00%,4 位,,31,-167.8,1530,,,,,
最高点,83400,,,34,大三元,0 回,0.00%,3 位,,32,-102.1,1542,,,,,
チョンボ,0 回,0.0%,,35,大四喜,0 回,0.00%,1 位,,33,-67.8,1549,,,,,
,,,,36,小四喜,0 回,0.00%,3 位,,34,-21.0,1557,,,,,
1翻,6 回,4.8%,,37,緑一色,0 回,0.00%,1 位,,35,+17.2,1564,,,,,
2翻,23 回,18.5%,,38,清老頭,0 回,0.00%,4 位,,36,+75.7,1575,,,,,
3翻,34 回,27.4%,,39,四槓子,0 回,0.00%,1 位,,37,+51.8,1571,,,,,
4翻,23 回,18.5%,,40,九蓮宝燈,0 回,0.00%,1 位,,38,+20.8,1565,,,,,
5翻,19 回,15.3%,,41,天和,0 回,0.00%,1 位,,39,+39.6,1569,,,,,
6翻,11 回,8.9%,,42,地和,0 回,0.00%,1 位,,40,-18.5,1558,,,,,
7翻,3 回,2.4%,,43,人和,0 回,0.00%,1 位,,41,-73.5,1548,,,,,
8翻,2 回,1.6%,,44,国士13面,0 回,0.00%,1 位,,42,-105.5,1542,,,,,
9翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,1 位,,43,-137.7,1537,,,,,
10翻,1 回,0.8%,,46,純正九蓮,0 回,0.00%,1 位,,44,-82.4,1547,,,,,
11翻,1 回,0.8%,,47,大車輪,0 回,0.00%,1 位,,45,-90.3,1545,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,1 回,0.8%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,6 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
