名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,99 回,,,03,ドラ,168 回,70.29%,7 位,,0,±0,1847,,東1局,+1556,99 回,154000
総局数,825 回,,,01,立直,149 回,62.34%,2 位,,1,+30.8,1850,,東2局,+372,96 回,35700
通算スコア,+572.9,,,10,役牌,111 回,46.44%,7 位,,2,+9.8,1845,,東3局,+1921,94 回,180600
平均スコア,+5.79,,,04,裏ドラ,99 回,41.42%,3 位,,3,-22.9,1838,,南1局,+1239,89 回,110300
レーティング,1809,,,52,赤ドラ,93 回,38.91%,7 位,,4,-61.6,1830,,南2局,+131,83 回,10900
平均順位,1.88 位,,,06,ツモ,80 回,33.47%,6 位,,5,-68.0,1827,,南3局,-1712,75 回,-128400
1位,38 回,38.4%,,28,混一色,41 回,17.15%,2 位,,6,-68.8,1826,,,,,
2位,35 回,35.4%,,07,平和,34 回,14.23%,7 位,,7,+3.5,1838,,起家,スコア,回数,合計
3位,26 回,26.3%,,02,一発,31 回,12.97%,6 位,,8,-1.8,1836,,東家,+6.91,36 回,248.7
1位スコア,+48.20,+1831.50,,25,七対子,23 回,9.62%,2 位,,9,+50.0,1844,,南家,+1.89,27 回,50.9
2位スコア,-2.83,-98.90,,08,一盃口,21 回,8.79%,7 位,,10,+82.5,1849,,西家,+7.59,36 回,273.3
3位スコア,-44.60,-1159.70,,09,タンヤオ,13 回,5.44%,10 位,,11,+81.0,1847,,,,,
バランス,+0.26,,,16,一気通貫,7 回,2.93%,5 位,,12,+116.3,1852,,相手,スコア,回数,合計
ふっとび,7 回,7.1%,,17,チャンタ,7 回,2.93%,4 位,,13,+191.7,1864,,わさび,+42.76,16 回,684.2
リーチ,285 回,34.5%,,20,三暗刻,6 回,2.51%,7 位,,14,+244.7,1872,,やがさき,+34.20,1 回,34.2
副露,138 回,16.7%,,22,対々和,5 回,2.09%,8 位,,15,+278.6,1876,,りくと,+21.17,62 回,1312.7
リーチ成功,152 回,53.3%,,13,嶺上開花,3 回,1.26%,2 位,,16,+247.8,1869,,まっつん,+19.17,12 回,230
副露成功,53 回,38.4%,,30,清一色,3 回,1.26%,6 位,,17,+298.8,1876,,ただ,+3.79,38 回,144.1
アガリ,239 回,29.0%,,31,国士無双,3 回,1.26%,2 位,,18,+327.8,1879,,たかの,-5.38,9 回,-48.4
放銃,121 回,14.7%,,32,四暗刻,3 回,1.26%,2 位,,19,+347.5,1881,,れんたろう,-8.98,45 回,-404.1
ツモ,99 回,41.4%,,51,オープン立直,3 回,1.26%,5 位,,20,+354.7,1880,,ぱぱ,-15.60,15 回,-234
ロン,140 回,58.6%,,14,槍槓,1 回,0.42%,1 位,,21,+297.3,1868,,,,,
リーチアガリ,152 回,63.6%,,15,ダブル立直,1 回,0.42%,1 位,,22,+331.5,1873,,,,,
副露アガリ,53 回,22.2%,,23,小三元,1 回,0.42%,2 位,,23,+283.4,1863,,,,,
ダマアガリ,34 回,14.2%,,26,二盃口,1 回,0.42%,3 位,,24,+273.6,1859,,,,,
平均アガリ点,10062,2404900,,38,清老頭,1 回,0.42%,2 位,,25,+323.4,1867,,,,,
門前アガリ点,10682,1986800,,11,海底摸月,0 回,0.00%,7 位,,26,+377.6,1875,,,,,
副露アガリ点,7889,418100,,12,河底撈魚,0 回,0.00%,6 位,,27,+354.6,1869,,,,,
平均放銃点,-8381,-1014100,,19,三色同刻,0 回,0.00%,1 位,,28,+314.2,1860,,,,,
連続アガリ,5 回,1 回,,21,三槓子,0 回,0.00%,1 位,,29,+310.5,1859,,,,,
連続無放銃,47 回,4 回,,24,混老頭,0 回,0.00%,3 位,,30,+337.7,1862,,,,,
最大ドラ数,6 個,,,27,純チャン,0 回,0.00%,1 位,,31,+325.1,1859,,,,,
最高点,144300,,,29,流し満貫,0 回,0.00%,3 位,,32,+329.8,1858,,,,,
チョンボ,0 回,0.0%,,33,字一色,0 回,0.00%,3 位,,33,+323.8,1856,,,,,
,,,,34,大三元,0 回,0.00%,3 位,,34,+290.7,1849,,,,,
1翻,12 回,5.0%,,35,大四喜,0 回,0.00%,1 位,,35,+293.5,1848,,,,,
2翻,26 回,10.9%,,36,小四喜,0 回,0.00%,3 位,,36,+236.7,1837,,,,,
3翻,47 回,19.7%,,37,緑一色,0 回,0.00%,1 位,,37,+280.3,1844,,,,,
4翻,39 回,16.3%,,39,四槓子,0 回,0.00%,1 位,,38,+272.7,1841,,,,,
5翻,39 回,16.3%,,40,九蓮宝燈,0 回,0.00%,1 位,,39,+402.0,1863,,,,,
6翻,32 回,13.4%,,41,天和,0 回,0.00%,1 位,,40,+394.4,1860,,,,,
7翻,20 回,8.4%,,42,地和,0 回,0.00%,1 位,,41,+359.1,1852,,,,,
8翻,12 回,5.0%,,43,人和,0 回,0.00%,1 位,,42,+360.3,1851,,,,,
9翻,3 回,1.3%,,44,国士13面,0 回,0.00%,1 位,,43,+322.5,1842,,,,,
10翻,1 回,0.4%,,45,四暗刻単騎,0 回,0.00%,1 位,,44,+269.8,1831,,,,,
11翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,45,+296.2,1834,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,46,+308.2,1835,,,,,
13翻～,8 回,3.3%,,48,大竹林,0 回,0.00%,1 位,,47,+337.9,1839,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,48,+365.5,1842,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,49,+383.2,1844,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,50,+430.7,1851,,,,,
,,,,,,,,,,51,+489.7,1860,,,,,
,,,,,,,,,,52,+548.6,1869,,,,,
,,,,,,,,,,53,+480.4,1855,,,,,
,,,,,,,,,,54,+454.4,1849,,,,,
,,,,,,,,,,55,+541.6,1863,,,,,
,,,,,,,,,,56,+538.0,1860,,,,,
,,,,,,,,,,57,+512.8,1854,,,,,
,,,,,,,,,,58,+449.1,1841,,,,,
,,,,,,,,,,59,+418.5,1834,,,,,
,,,,,,,,,,60,+456.2,1839,,,,,
,,,,,,,,,,61,+434.1,1834,,,,,
,,,,,,,,,,62,+389.7,1825,,,,,
,,,,,,,,,,63,+394.0,1824,,,,,
,,,,,,,,,,64,+381.4,1820,,,,,
,,,,,,,,,,65,+420.6,1826,,,,,
,,,,,,,,,,66,+356.5,1813,,,,,
,,,,,,,,,,67,+345.5,1810,,,,,
,,,,,,,,,,68,+374.3,1814,,,,,
,,,,,,,,,,69,+415.4,1820,,,,,
,,,,,,,,,,70,+431.6,1822,,,,,
,,,,,,,,,,71,+367.8,1809,,,,,
,,,,,,,,,,72,+334.3,1802,,,,,
,,,,,,,,,,73,+286.5,1792,,,,,
,,,,,,,,,,74,+286.1,1791,,,,,
,,,,,,,,,,75,+283.7,1789,,,,,
,,,,,,,,,,76,+290.1,1789,,,,,
,,,,,,,,,,77,+358.1,1801,,,,,
,,,,,,,,,,78,+311.1,1791,,,,,
,,,,,,,,,,79,+305.7,1789,,,,,
,,,,,,,,,,80,+249.7,1778,,,,,
,,,,,,,,,,81,+234.9,1774,,,,,
,,,,,,,,,,82,+299.5,1785,,,,,
,,,,,,,,,,83,+337.3,1790,,,,,
,,,,,,,,,,84,+292.4,1781,,,,,
,,,,,,,,,,85,+290.2,1780,,,,,
,,,,,,,,,,86,+334.9,1786,,,,,
,,,,,,,,,,87,+365.8,1790,,,,,
,,,,,,,,,,88,+420.5,1799,,,,,
,,,,,,,,,,89,+421.9,1798,,,,,
,,,,,,,,,,90,+420.2,1796,,,,,
,,,,,,,,,,91,+410.5,1793,,,,,
,,,,,,,,,,92,+460.5,1801,,,,,
,,,,,,,,,,93,+530.8,1812,,,,,
,,,,,,,,,,94,+561.4,1815,,,,,
,,,,,,,,,,95,+514.4,1805,,,,,
,,,,,,,,,,96,+476.5,1797,,,,,
,,,,,,,,,,97,+479.4,1796,,,,,
,,,,,,,,,,98,+534.2,1804,,,,,
,,,,,,,,,,99,+572.9,1809,,,,,
