名前,りくと,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
,,,,,,,,,,85,-447.9,,,,,
,,,,,,,,,,86,-362.9,,,,,
,,,,,,,,,,87,-335.0,,,,,
,,,,,,,,,,88,-394.3,,,,,
,,,,,,,,,,89,-443.1,,,,,
,,,,,,,,,,90,-401.3,,,,,
,,,,,,,,,,91,-384.8,,,,,
,,,,,,,,,,92,-335.7,,,,,
,,,,,,,,,,93,-438.5,,,,,
,,,,,,,,,,94,-343.2,,,,,
,,,,,,,,,,95,-426.2,,,,,
,,,,,,,,,,96,-362.6,,,,,
,,,,,,,,,,97,-406.0,,,,,
,,,,,,,,,,98,-272.5,,,,,
,,,,,,,,,,99,-392.0,,,,,
,,,,,,,,,,100,-390.3,,,,,
,,,,,,,,,,101,-373.0,,,,,
,,,,,,,,,,102,-428.1,,,,,
,,,,,,,,,,103,-452.4,,,,,
,,,,,,,,,,104,-445.9,,,,,
,,,,,,,,,,105,-414.8,,,,,
,,,,,,,,,,106,-451.4,,,,,
,,,,,,,,,,107,-428.7,,,,,
,,,,,,,,,,108,-420.4,,,,,
,,,,,,,,,,109,-498.8,,,,,
,,,,,,,,,,110,-509.7,,,,,
,,,,,,,,,,111,-450.5,,,,,
,,,,,,,,,,112,-427.0,,,,,
,,,,,,,,,,113,-322.3,,,,,
,,,,,,,,,,114,-360.4,,,,,
,,,,,,,,,,115,-403.7,,,,,
,,,,,,,,,,116,-379.8,,,,,
,,,,,,,,,,117,-364.8,,,,,
,,,,,,,,,,118,-374.2,,,,,
,,,,,,,,,,119,-415.3,,,,,
,,,,,,,,,,120,-473.0,,,,,
,,,,,,,,,,121,-360.1,,,,,
,,,,,,,,,,122,-420.0,,,,,
,,,,,,,,,,123,-494.9,,,,,
,,,,,,,,,,124,-433.7,,,,,
,,,,,,,,,,125,-446.7,,,,,
,,,,,,,,,,126,-378.1,,,,,
,,,,,,,,,,127,-410.4,,,,,
,,,,,,,,,,128,-421.5,,,,,
,,,,,,,,,,129,-431.8,,,,,
,,,,,,,,,,130,-429.2,,,,,
,,,,,,,,,,131,-455.6,,,,,
,,,,,,,,,,132,-458.3,,,,,
