名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,257 回,,,03,ドラ,390 回,72.36%,5 位,,0,±0,1500,,東1局,+1511,253 回,382200
総局数,1946 回,,,01,立直,294 回,54.55%,7 位,,1,+15.0,1503,,東2局,+628,244 回,153200
通算スコア,+1890.0,,,10,役牌,294 回,54.55%,9 位,,2,+14.0,1503,,東3局,+2043,228 回,465800
平均スコア,+7.35,,,04,裏ドラ,161 回,29.87%,8 位,,3,+29.1,1505,,南1局,+1671,205 回,342500
レーティング,1726,,,06,ツモ,161 回,29.87%,8 位,,4,+114.3,1521,,南2局,+1382,180 回,248700
平均順位,1.75 位,,,28,混一色,97 回,18.00%,2 位,,5,+145.8,1526,,南3局,+1780,147 回,261600
1位,116 回,45.1%,,07,平和,83 回,15.40%,6 位,,6,+97.8,1517,,,,,
2位,90 回,35.0%,,02,一発,66 回,12.24%,7 位,,7,+91.7,1516,,起家,スコア,回数,合計
3位,51 回,19.8%,,08,一盃口,44 回,8.16%,9 位,,8,+55.7,1510,,東家,+9.44,54 回,509.6
1位スコア,+29.30,+3398.70,,25,七対子,37 回,6.86%,7 位,,9,+14.7,1502,,南家,+6.56,75 回,491.8
2位スコア,-0.51,-45.80,,09,タンヤオ,32 回,5.94%,3 位,,10,-16.8,1496,,西家,+6.89,125 回,861
3位スコア,-28.68,-1462.90,,22,対々和,19 回,3.53%,7 位,,11,+1.5,1500,,,,,
バランス,+0.04,,,20,三暗刻,11 回,2.04%,9 位,,12,+14.3,1502,,相手,スコア,回数,合計
ふっとび,25 回,9.7%,,30,清一色,8 回,1.48%,9 位,,13,+71.3,1512,,がくと,+125.90,1 回,125.9
リーチ,452 回,30.3%,,16,一気通貫,7 回,1.30%,9 位,,14,+27.3,1504,,かこたろう,+71.75,4 回,287
副露,311 回,20.9%,,17,チャンタ,5 回,0.93%,9 位,,15,-9.7,1498,,まっつん,+29.42,25 回,735.6
リーチ成功,296 回,65.5%,,13,嶺上開花,4 回,0.74%,3 位,,16,-8.1,1498,,ぱぱ,+26.59,8 回,212.7
副露成功,153 回,49.2%,,15,ダブル立直,4 回,0.74%,4 位,,17,-29.5,1494,,たかの,+17.17,68 回,1167.7
アガリ,695 回,35.7%,,11,海底摸月,3 回,0.56%,5 位,,18,-14.6,1497,,れんたろう,+11.69,106 回,1238.7
放銃,273 回,14.0%,,24,混老頭,3 回,0.56%,3 位,,19,+42.6,1507,,りくと,+10.04,118 回,1184.4
ツモ,269 回,38.7%,,31,国士無双,3 回,0.56%,4 位,,20,+68.8,1512,,やがさき,+9.16,27 回,247.2
ロン,426 回,61.3%,,12,河底撈魚,2 回,0.37%,3 位,,21,+125.3,1522,,ともき,+8.00,1 回,8
リーチアガリ,296 回,42.6%,,26,二盃口,2 回,0.37%,2 位,,22,+99.8,1517,,ただ,+4.02,101 回,406.3
副露アガリ,153 回,22.0%,,29,流し満貫,1 回,0.19%,2 位,,23,+124.5,1522,,いっしー,+1.03,55 回,56.5
