名前,がくと,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,5 回,,,01,立直,6 回,66.67%,1 位,,0,±0,,東1局,-2740,5 回,-13700
総局数,37 回,,,05,ガリ,6 回,66.67%,11 位,,1,-40.7,,東2局,+1500,5 回,7500
通算スコア,-86.4,,,02,一発,4 回,44.44%,1 位,,2,-81.7,,東3局,-11250,4 回,-45000
平均スコア,-17.28,,,10,役牌,4 回,44.44%,13 位,,3,-88.9,,南1局,-12000,3 回,-36000
平均順位,2.20 位,,,06,ツモ,3 回,33.33%,3 位,,4,-109.2,,南2局,+5400,2 回,10800
1位,1 回,20.0%,,04,裏ドラ,2 回,22.22%,10 位,,5,-86.4,,南3局,-5000,2 回,-10000
2位,2 回,40.0%,,17,チャンタ,2 回,22.22%,1 位,,,,,,,,
3位,2 回,40.0%,,03,ドラ,1 回,11.11%,13 位,,,,,起家,スコア,回数,合計
ふっとび,2 回,40.0%,,07,平和,1 回,11.11%,9 位,,,,,東家,-24.10,2 回,-48.2
ふっとばし,1 回,20.0%,,25,七対子,1 回,11.11%,3 位,,,,,南家,-12.73,3 回,-38.2
逆転,1 回,20.0%,,08,一盃口,0 回,0.00%,12 位,,,,,西家,±0,0 回,0
リーチ,8 回,25.8%,,09,タンヤオ,0 回,0.00%,12 位,,,,,,,,
副露,5 回,16.1%,,11,海底摸月,0 回,0.00%,7 位,,,,,相手,スコア,回数,合計
リーチ成功,6 回,75.0%,,12,河底撈魚,0 回,0.00%,6 位,,,,,れんたろう,+17.20,2 回,34.4
副露成功,1 回,20.0%,,13,嶺上開花,0 回,0.00%,7 位,,,,,まっつん,-13.45,2 回,-26.9
アガリ,10 回,27.0%,,14,槍槓,0 回,0.00%,1 位,,,,,いっしー,-21.20,3 回,-63.6
ツモ,3 回,30.0%,,15,ダブル立直,0 回,0.00%,7 位,,,,,あさひ,-38.60,2 回,-77.2
ロン,7 回,70.0%,,16,一気通貫,0 回,0.00%,10 位,,,,,だいち,-125.90,1 回,-125.9
放銃,8 回,21.6%,,19,三色同刻,0 回,0.00%,3 位,,,,,,,,
連続アガリ,3 回,0 回,,20,三暗刻,0 回,0.00%,10 位,,,,,,,,
連続無放銃,10 回,10 回,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
平均アガリ点,7100,71000,,22,対々和,0 回,0.00%,12 位,,,,,,,,
門前アガリ点,7667,69000,,23,小三元,0 回,0.00%,5 位,,,,,,,,
副露アガリ点,2000,2000,,24,混老頭,0 回,0.00%,6 位,,,,,,,,
平均放銃点,-12488,-99900,,26,二盃口,0 回,0.00%,5 位,,,,,,,,
最大ドラ数,3 個,,,27,純チャン,0 回,0.00%,3 位,,,,,,,,
最大点数,57800,,,28,混一色,0 回,0.00%,13 位,,,,,,,,
チョンボ,0 回,0.0%,,29,流し満貫,0 回,0.00%,4 位,,,,,,,,
new局数,31 回,,,30,清一色,0 回,0.00%,10 位,,,,,,,,
newアガリ,9 回,,,31,国士無双,0 回,0.00%,7 位,,,,,,,,
,1,,,32,四暗刻,0 回,0.00%,6 位,,,,,,,,
1翻,0 回,0.0%,,33,字一色,0 回,0.00%,1 位,,,,,,,,
2翻,1 回,10.0%,,34,大三元,0 回,0.00%,3 位,,,,,,,,
3翻,5 回,50.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
4翻,0 回,0.0%,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
5翻,2 回,20.0%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
6翻,1 回,10.0%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
7翻,0 回,0.0%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
8翻,0 回,0.0%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
9翻,0 回,0.0%,,41,天和,0 回,0.00%,1 位,,,,,,,,
10翻,0 回,0.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,
11翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,
12翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
13翻～,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,3 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
