名前,ただ,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
,,,,,,,,,,85,+266.0,,,,,
,,,,,,,,,,86,+239.8,,,,,
,,,,,,,,,,87,+275.8,,,,,
,,,,,,,,,,88,+276.1,,,,,
,,,,,,,,,,89,+259.5,,,,,
,,,,,,,,,,90,+286.9,,,,,
,,,,,,,,,,91,+252.4,,,,,
,,,,,,,,,,92,+278.6,,,,,
,,,,,,,,,,93,+264.8,,,,,
,,,,,,,,,,94,+247.9,,,,,
,,,,,,,,,,95,+222.5,,,,,
,,,,,,,,,,96,+235.0,,,,,
,,,,,,,,,,97,+252.2,,,,,
,,,,,,,,,,98,+221.6,,,,,
,,,,,,,,,,99,+245.4,,,,,
,,,,,,,,,,100,+252.9,,,,,
,,,,,,,,,,101,+270.7,,,,,
,,,,,,,,,,102,+248.9,,,,,
,,,,,,,,,,103,+251.0,,,,,
,,,,,,,,,,104,+256.6,,,,,
,,,,,,,,,,105,+207.6,,,,,
,,,,,,,,,,106,+192.2,,,,,
,,,,,,,,,,107,+234.7,,,,,
,,,,,,,,,,108,+243.7,,,,,
,,,,,,,,,,109,+184.8,,,,,
,,,,,,,,,,110,+225.5,,,,,
,,,,,,,,,,111,+217.0,,,,,
,,,,,,,,,,112,+225.5,,,,,
,,,,,,,,,,113,+250.1,,,,,
,,,,,,,,,,114,+272.0,,,,,
,,,,,,,,,,115,+262.7,,,,,
,,,,,,,,,,116,+245.7,,,,,
,,,,,,,,,,117,+267.4,,,,,
,,,,,,,,,,118,+221.9,,,,,
,,,,,,,,,,119,+216.3,,,,,
,,,,,,,,,,120,+195.8,,,,,
,,,,,,,,,,121,+169.6,,,,,
,,,,,,,,,,122,+161.9,,,,,
,,,,,,,,,,123,+201.4,,,,,
