名前,全体,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,81,+0.0,1501,,,,,
,,,,,,,,,,82,+58.0,1511,,,,,
,,,,,,,,,,83,+41.5,1508,,,,,
,,,,,,,,,,84,+0.0,1501,,,,,
,,,,,,,,,,85,-8.4,1499,,,,,
,,,,,,,,,,86,+19.3,1504,,,,,
,,,,,,,,,,87,+0.0,1501,,,,,
,,,,,,,,,,88,+53.3,1511,,,,,
,,,,,,,,,,89,+14.4,1504,,,,,
,,,,,,,,,,90,+0.0,1501,,,,,
,,,,,,,,,,91,-14.0,1499,,,,,
,,,,,,,,,,92,-52.0,1492,,,,,
,,,,,,,,,,93,+0.0,1501,,,,,
,,,,,,,,,,94,+60.7,1512,,,,,
,,,,,,,,,,95,+40.4,1509,,,,,
,,,,,,,,,,96,+0.0,1502,,,,,
,,,,,,,,,,97,+50.0,1511,,,,,
,,,,,,,,,,98,+41.5,1509,,,,,
,,,,,,,,,,99,+0.0,1502,,,,,
,,,,,,,,,,100,-14.0,1499,,,,,
,,,,,,,,,,101,-52.5,1492,,,,,
,,,,,,,,,,102,+0.0,1502,,,,,
,,,,,,,,,,103,-3.4,1501,,,,,
,,,,,,,,,,104,-15.0,1499,,,,,
,,,,,,,,,,105,+0.0,1502,,,,,
,,,,,,,,,,106,-17.1,1499,,,,,
,,,,,,,,,,107,-16.8,1499,,,,,
,,,,,,,,,,108,+0.0,1502,,,,,
,,,,,,,,,,109,+21.1,1506,,,,,
,,,,,,,,,,110,+35.8,1509,,,,,
,,,,,,,,,,111,+0.0,1502,,,,,
,,,,,,,,,,112,-50.6,1493,,,,,
,,,,,,,,,,113,-2.6,1502,,,,,
,,,,,,,,,,114,+0.0,1503,,,,,
,,,,,,,,,,115,-8.2,1501,,,,,
,,,,,,,,,,116,-50.0,1494,,,,,
,,,,,,,,,,117,+0.0,1503,,,,,
,,,,,,,,,,118,-7.0,1502,,,,,
,,,,,,,,,,119,-12.5,1501,,,,,
,,,,,,,,,,120,+0.0,1503,,,,,
,,,,,,,,,,121,-36.4,1497,,,,,
,,,,,,,,,,122,-11.5,1501,,,,,
,,,,,,,,,,123,+0.0,1503,,,,,
,,,,,,,,,,124,-8.5,1502,,,,,
,,,,,,,,,,125,-5.5,1502,,,,,
,,,,,,,,,,126,+0.0,1503,,,,,
,,,,,,,,,,127,+8.4,1505,,,,,
,,,,,,,,,,128,+23.9,1508,,,,,
,,,,,,,,,,129,+0.0,1503,,,,,
,,,,,,,,,,130,-10.4,1502,,,,,
,,,,,,,,,,131,+0.7,1504,,,,,
,,,,,,,,,,132,+0.0,1504,,,,,
,,,,,,,,,,133,+27.9,1509,,,,,
,,,,,,,,,,134,-8.0,1502,,,,,
,,,,,,,,,,135,+0.0,1504,,,,,
,,,,,,,,,,136,-20.5,1500,,,,,
,,,,,,,,,,137,-25.2,1499,,,,,
,,,,,,,,,,138,+0.0,1504,,,,,
,,,,,,,,,,139,-31.1,1498,,,,,
,,,,,,,,,,140,-62.3,1493,,,,,
,,,,,,,,,,141,+0.0,1504,,,,,
,,,,,,,,,,142,+16.2,1507,,,,,
,,,,,,,,,,143,-8.6,1502,,,,,
