,通算スコア,,平均スコア,,平均順位,,トップ率,,ラス率,,アガリ率,,放銃率,,平均アガリ点,,平均放銃点,,ふっとび率,,ふっとばし率,,逆転率,,リーチ率,,副露率,,リーチ成功率,,副露成功率,,ツモ率,,最大ドラ数,,最大点数,,チョンボ数,
相関,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
1位,はんまー,+35.1,はんまー,+35.10,はんまー,1.00 位,はんまー,100.0%,だいち,0.0%,はんまー,55.6%,はんまー,0.0%,はんまー,8120,はんまー,0,全体,0.0%,全体,0.0%,全体,0.0%,だいち,88.9%,あやめ,44.4%,はんまー,80.0%,はんまー,100.0%,だいち,50.0%,全体,4 個,全体,60100,全体,0 回
2位,全体,+0.0,全体,+0.00,全体,2.00 位,全体,33.3%,はんまー,0.0%,だいち,44.4%,全体,22.2%,全体,7500,あやめ,-4450,だいち,0.0%,だいち,0.0%,だいち,0.0%,はんまー,55.6%,全体,22.2%,全体,57.1%,全体,16.7%,全体,33.3%,だいち,4 個,はんまー,60100,だいち,0 回
3位,だいち,-10.7,だいち,-10.70,だいち,2.00 位,だいち,0.0%,全体,33.3%,全体,33.3%,あやめ,22.2%,だいち,6725,全体,-6750,あやめ,0.0%,あやめ,0.0%,あやめ,0.0%,全体,51.9%,だいち,11.1%,だいち,50.0%,だいち,0.0%,はんまー,20.0%,はんまー,4 個,だいち,14300,あやめ,0 回
4位,あやめ,-24.4,あやめ,-24.40,あやめ,3.00 位,あやめ,0.0%,あやめ,100.0%,あやめ,0.0%,だいち,44.4%,あやめ,0,だいち,-7900,はんまー,0.0%,はんまー,0.0%,はんまー,0.0%,あやめ,11.1%,はんまー,11.1%,あやめ,0.0%,あやめ,0.0%,あやめ,0.0%,あやめ,0 個,あやめ,600,はんまー,0 回
