名前,たかの,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,62,-511.9,1419,,,,,
,,,,,,,,,,63,-524.1,1417,,,,,
,,,,,,,,,,64,-535.9,1415,,,,,
,,,,,,,,,,65,-494.6,1423,,,,,
,,,,,,,,,,66,-483.2,1426,,,,,
,,,,,,,,,,67,-466.7,1429,,,,,
,,,,,,,,,,68,-462.0,1430,,,,,
,,,,,,,,,,69,-472.6,1429,,,,,
,,,,,,,,,,70,-466.8,1431,,,,,
,,,,,,,,,,71,-446.7,1435,,,,,
,,,,,,,,,,72,-471.8,1431,,,,,
,,,,,,,,,,73,-486.2,1429,,,,,
,,,,,,,,,,74,-520.2,1423,,,,,
,,,,,,,,,,75,-493.7,1428,,,,,
,,,,,,,,,,76,-475.7,1432,,,,,
,,,,,,,,,,77,-517.2,1426,,,,,
,,,,,,,,,,78,-519.0,1426,,,,,
,,,,,,,,,,79,-481.0,1434,,,,,
,,,,,,,,,,80,-434.2,1442,,,,,
,,,,,,,,,,81,-479.2,1435,,,,,
,,,,,,,,,,82,-517.7,1428,,,,,
,,,,,,,,,,83,-521.5,1428,,,,,
,,,,,,,,,,84,-540.4,1425,,,,,
,,,,,,,,,,85,-559.0,1423,,,,,
,,,,,,,,,,86,-547.9,1426,,,,,
,,,,,,,,,,87,-566.7,1422,,,,,
,,,,,,,,,,88,-557.2,1424,,,,,
,,,,,,,,,,89,-524.1,1431,,,,,
,,,,,,,,,,90,-529.6,1430,,,,,
,,,,,,,,,,91,-554.7,1426,,,,,
,,,,,,,,,,92,-551.2,1427,,,,,
,,,,,,,,,,93,-588.5,1421,,,,,
,,,,,,,,,,94,-615.5,1417,,,,,
,,,,,,,,,,95,-534.8,1432,,,,,
,,,,,,,,,,96,-484.8,1441,,,,,
,,,,,,,,,,97,-512.9,1437,,,,,
,,,,,,,,,,98,-562.0,1429,,,,,
,,,,,,,,,,99,-571.3,1428,,,,,
,,,,,,,,,,100,-639.3,1417,,,,,
,,,,,,,,,,101,-646.6,1416,,,,,
,,,,,,,,,,102,-614.1,1422,,,,,
,,,,,,,,,,103,-587.2,1427,,,,,
,,,,,,,,,,104,-529.8,1438,,,,,
,,,,,,,,,,105,-516.0,1441,,,,,
,,,,,,,,,,106,-469.1,1449,,,,,
,,,,,,,,,,107,-504.3,1443,,,,,
,,,,,,,,,,108,-564.4,1433,,,,,
,,,,,,,,,,109,-490.1,1446,,,,,
,,,,,,,,,,110,-528.6,1441,,,,,
,,,,,,,,,,111,-526.1,1441,,,,,
,,,,,,,,,,112,-518.6,1444,,,,,
,,,,,,,,,,113,-550.7,1439,,,,,
,,,,,,,,,,114,-468.2,1454,,,,,
,,,,,,,,,,115,-495.7,1450,,,,,
,,,,,,,,,,116,-444.6,1460,,,,,
,,,,,,,,,,117,-482.1,1453,,,,,
,,,,,,,,,,118,-516.5,1447,,,,,
,,,,,,,,,,119,-549.2,1442,,,,,
,,,,,,,,,,120,-567.3,1438,,,,,
,,,,,,,,,,121,-568.7,1439,,,,,
,,,,,,,,,,122,-529.0,1447,,,,,
,,,,,,,,,,123,-526.9,1448,,,,,
,,,,,,,,,,124,-496.2,1455,,,,,
,,,,,,,,,,125,-521.3,1451,,,,,
,,,,,,,,,,126,-512.1,1454,,,,,
,,,,,,,,,,127,-516.7,1453,,,,,
,,,,,,,,,,128,-592.0,1439,,,,,
,,,,,,,,,,129,-587.0,1441,,,,,
,,,,,,,,,,130,-584.3,1442,,,,,
,,,,,,,,,,131,-546.1,1449,,,,,
,,,,,,,,,,132,-513.1,1455,,,,,
,,,,,,,,,,133,-447.6,1468,,,,,
,,,,,,,,,,134,-446.0,1469,,,,,
,,,,,,,,,,135,-452.7,1468,,,,,
,,,,,,,,,,136,-445.6,1469,,,,,
,,,,,,,,,,137,-460.2,1467,,,,,
,,,,,,,,,,138,-493.8,1461,,,,,
,,,,,,,,,,139,-503.4,1460,,,,,
,,,,,,,,,,140,-524.3,1457,,,,,
