名前,まっつん,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,60,-658.9,1401,,,,,
,,,,,,,,,,61,-606.4,1411,,,,,
,,,,,,,,,,62,-570.0,1418,,,,,
,,,,,,,,,,63,-482.0,1434,,,,,
,,,,,,,,,,64,-447.7,1440,,,,,
,,,,,,,,,,65,-503.9,1430,,,,,
,,,,,,,,,,66,-554.5,1421,,,,,
,,,,,,,,,,67,-509.1,1430,,,,,
,,,,,,,,,,68,-546.9,1424,,,,,
,,,,,,,,,,69,-562.3,1422,,,,,
,,,,,,,,,,70,-500.7,1433,,,,,
,,,,,,,,,,71,-435.5,1445,,,,,
,,,,,,,,,,72,-369.1,1457,,,,,
,,,,,,,,,,73,-410.2,1450,,,,,
,,,,,,,,,,74,-473.7,1440,,,,,
,,,,,,,,,,75,-471.6,1440,,,,,
,,,,,,,,,,76,-415.6,1451,,,,,
,,,,,,,,,,77,-358.6,1462,,,,,
,,,,,,,,,,78,-357.3,1462,,,,,
,,,,,,,,,,79,-351.8,1463,,,,,
,,,,,,,,,,80,-358.3,1463,,,,,
,,,,,,,,,,81,-415.4,1453,,,,,
,,,,,,,,,,82,-417.6,1454,,,,,
,,,,,,,,,,83,-383.8,1460,,,,,
,,,,,,,,,,84,-414.0,1455,,,,,
,,,,,,,,,,85,-484.8,1443,,,,,
,,,,,,,,,,86,-481.8,1444,,,,,
,,,,,,,,,,87,-433.9,1453,,,,,
,,,,,,,,,,88,-424.2,1455,,,,,
,,,,,,,,,,89,-378.1,1463,,,,,
,,,,,,,,,,90,-321.6,1473,,,,,
,,,,,,,,,,91,-273.3,1482,,,,,
,,,,,,,,,,92,-267.3,1483,,,,,
,,,,,,,,,,93,-199.4,1495,,,,,
,,,,,,,,,,94,-210.3,1494,,,,,
,,,,,,,,,,95,-159.9,1503,,,,,
,,,,,,,,,,96,-95.5,1515,,,,,
,,,,,,,,,,97,-107.4,1512,,,,,
,,,,,,,,,,98,-109.3,1512,,,,,
,,,,,,,,,,99,-167.3,1502,,,,,
,,,,,,,,,,100,-131.3,1509,,,,,
,,,,,,,,,,101,-126.3,1509,,,,,
,,,,,,,,,,102,-147.9,1506,,,,,
,,,,,,,,,,103,-180.8,1500,,,,,
,,,,,,,,,,104,-169.5,1501,,,,,
,,,,,,,,,,105,-124.5,1510,,,,,
,,,,,,,,,,106,-72.4,1520,,,,,
,,,,,,,,,,107,-104.5,1514,,,,,
,,,,,,,,,,108,-150.3,1505,,,,,
,,,,,,,,,,109,-179.9,1500,,,,,
,,,,,,,,,,110,-212.8,1494,,,,,
,,,,,,,,,,111,-199.1,1497,,,,,
,,,,,,,,,,112,-256.6,1487,,,,,
,,,,,,,,,,113,-253.2,1487,,,,,
,,,,,,,,,,114,-261.5,1485,,,,,
,,,,,,,,,,115,-303.3,1478,,,,,
,,,,,,,,,,116,-300.7,1478,,,,,
,,,,,,,,,,117,-238.7,1489,,,,,
,,,,,,,,,,118,-229.1,1492,,,,,
,,,,,,,,,,119,-287.4,1481,,,,,
,,,,,,,,,,120,-323.2,1474,,,,,
,,,,,,,,,,121,-351.7,1469,,,,,
,,,,,,,,,,122,-385.0,1464,,,,,
,,,,,,,,,,123,-436.2,1455,,,,,
,,,,,,,,,,124,-506.7,1443,,,,,
,,,,,,,,,,125,-530.4,1439,,,,,
,,,,,,,,,,126,-521.4,1440,,,,,
,,,,,,,,,,127,-494.5,1445,,,,,
,,,,,,,,,,128,-455.6,1453,,,,,
,,,,,,,,,,129,-425.3,1459,,,,,
,,,,,,,,,,130,-397.6,1464,,,,,
,,,,,,,,,,131,-407.6,1463,,,,,
,,,,,,,,,,132,-406.0,1463,,,,,
,,,,,,,,,,133,-435.1,1458,,,,,
,,,,,,,,,,134,-367.8,1471,,,,,
,,,,,,,,,,135,-335.6,1476,,,,,
,,,,,,,,,,136,-339.3,1476,,,,,
,,,,,,,,,,137,-343.3,1475,,,,,
,,,,,,,,,,138,-342.4,1476,,,,,
,,,,,,,,,,139,-387.2,1468,,,,,
,,,,,,,,,,140,-398.0,1467,,,,,
,,,,,,,,,,141,-464.5,1456,,,,,
,,,,,,,,,,142,-453.4,1459,,,,,
,,,,,,,,,,143,-453.6,1459,,,,,
,,,,,,,,,,144,-460.6,1459,,,,,
,,,,,,,,,,145,-461.0,1459,,,,,
,,,,,,,,,,146,-498.7,1453,,,,,
,,,,,,,,,,147,-458.5,1461,,,,,
,,,,,,,,,,148,-520.1,1451,,,,,
,,,,,,,,,,149,-564.0,1443,,,,,
,,,,,,,,,,150,-553.3,1445,,,,,
,,,,,,,,,,151,-517.6,1452,,,,,
,,,,,,,,,,152,-490.4,1457,,,,,
,,,,,,,,,,153,-474.6,1459,,,,,
,,,,,,,,,,154,-503.4,1454,,,,,
,,,,,,,,,,155,-442.2,1465,,,,,
,,,,,,,,,,156,-439.0,1466,,,,,
,,,,,,,,,,157,-397.5,1473,,,,,
,,,,,,,,,,158,-350.6,1482,,,,,
,,,,,,,,,,159,-389.4,1475,,,,,
,,,,,,,,,,160,-371.7,1479,,,,,
,,,,,,,,,,161,-416.8,1471,,,,,
,,,,,,,,,,162,-399.1,1475,,,,,
,,,,,,,,,,163,-367.7,1480,,,,,
,,,,,,,,,,164,-413.8,1472,,,,,
,,,,,,,,,,165,-444.2,1466,,,,,
,,,,,,,,,,166,-488.4,1459,,,,,
,,,,,,,,,,167,-544.2,1450,,,,,
,,,,,,,,,,168,-512.5,1457,,,,,
,,,,,,,,,,169,-515.9,1457,,,,,
,,,,,,,,,,170,-465.9,1466,,,,,
,,,,,,,,,,171,-423.3,1474,,,,,
,,,,,,,,,,172,-433.0,1472,,,,,
,,,,,,,,,,173,-433.1,1472,,,,,
,,,,,,,,,,174,-427.3,1473,,,,,
,,,,,,,,,,175,-459.9,1467,,,,,
,,,,,,,,,,176,-453.9,1468,,,,,
,,,,,,,,,,177,-490.7,1461,,,,,
,,,,,,,,,,178,-521.2,1456,,,,,
,,,,,,,,,,179,-464.5,1466,,,,,
,,,,,,,,,,180,-457.1,1468,,,,,
,,,,,,,,,,181,-488.9,1463,,,,,
,,,,,,,,,,182,-438.8,1472,,,,,
,,,,,,,,,,183,-451.6,1470,,,,,
,,,,,,,,,,184,-467.7,1468,,,,,
,,,,,,,,,,185,-458.8,1469,,,,,
,,,,,,,,,,186,-507.2,1462,,,,,
,,,,,,,,,,187,-504.8,1463,,,,,
,,,,,,,,,,188,-494.3,1466,,,,,
,,,,,,,,,,189,-451.6,1474,,,,,
,,,,,,,,,,190,-446.4,1476,,,,,
,,,,,,,,,,191,-461.5,1474,,,,,
,,,,,,,,,,192,-469.9,1472,,,,,
,,,,,,,,,,193,-462.9,1473,,,,,
,,,,,,,,,,194,-456.1,1475,,,,,
,,,,,,,,,,195,-449.3,1476,,,,,
,,,,,,,,,,196,-465.4,1473,,,,,
,,,,,,,,,,197,-458.8,1475,,,,,
,,,,,,,,,,198,-454.4,1476,,,,,
,,,,,,,,,,199,-456.0,1476,,,,,
,,,,,,,,,,200,-447.4,1478,,,,,
,,,,,,,,,,201,-385.9,1489,,,,,
,,,,,,,,,,202,-420.8,1483,,,,,
,,,,,,,,,,203,-408.6,1486,,,,,
,,,,,,,,,,204,-428.6,1483,,,,,
,,,,,,,,,,205,-416.0,1485,,,,,
,,,,,,,,,,206,-390.4,1489,,,,,
,,,,,,,,,,207,-391.0,1489,,,,,
,,,,,,,,,,208,-397.8,1487,,,,,
,,,,,,,,,,209,-388.7,1489,,,,,
,,,,,,,,,,210,-391.7,1489,,,,,
,,,,,,,,,,211,-410.0,1486,,,,,
,,,,,,,,,,212,-361.1,1495,,,,,
,,,,,,,,,,213,-401.2,1489,,,,,
,,,,,,,,,,214,-384.6,1492,,,,,
,,,,,,,,,,215,-359.8,1496,,,,,
,,,,,,,,,,216,-320.5,1503,,,,,
,,,,,,,,,,217,-376.4,1492,,,,,
,,,,,,,,,,218,-370.4,1493,,,,,
,,,,,,,,,,219,-385.7,1491,,,,,
,,,,,,,,,,220,-351.1,1498,,,,,
,,,,,,,,,,221,-357.6,1497,,,,,
,,,,,,,,,,222,-382.9,1493,,,,,
,,,,,,,,,,223,-403.8,1490,,,,,
,,,,,,,,,,224,-400.3,1491,,,,,
,,,,,,,,,,225,-433.3,1486,,,,,
,,,,,,,,,,226,-457.4,1482,,,,,
,,,,,,,,,,227,-447.1,1484,,,,,
,,,,,,,,,,228,-451.5,1483,,,,,
,,,,,,,,,,229,-465.7,1480,,,,,
,,,,,,,,,,230,-463.2,1481,,,,,
,,,,,,,,,,231,-433.1,1486,,,,,
,,,,,,,,,,232,-435.0,1487,,,,,
,,,,,,,,,,233,-425.7,1489,,,,,
,,,,,,,,,,234,-484.8,1479,,,,,
,,,,,,,,,,235,-530.9,1472,,,,,
,,,,,,,,,,236,-567.5,1466,,,,,
,,,,,,,,,,237,-563.3,1467,,,,,
,,,,,,,,,,238,-513.5,1477,,,,,
,,,,,,,,,,239,-514.7,1478,,,,,
,,,,,,,,,,240,-526.1,1476,,,,,
,,,,,,,,,,241,-517.3,1478,,,,,
,,,,,,,,,,242,-494.9,1483,,,,,
,,,,,,,,,,243,-481.3,1487,,,,,
,,,,,,,,,,244,-454.9,1492,,,,,
,,,,,,,,,,245,-460.7,1492,,,,,
,,,,,,,,,,246,-517.1,1482,,,,,
,,,,,,,,,,247,-455.1,1494,,,,,
,,,,,,,,,,248,-452.4,1495,,,,,
,,,,,,,,,,249,-414.6,1503,,,,,
,,,,,,,,,,250,-388.7,1507,,,,,
,,,,,,,,,,251,-401.6,1505,,,,,
,,,,,,,,,,252,-365.6,1511,,,,,
,,,,,,,,,,253,-345.2,1515,,,,,
,,,,,,,,,,254,-383.5,1508,,,,,
,,,,,,,,,,255,-376.1,1510,,,,,
,,,,,,,,,,256,-402.9,1505,,,,,
,,,,,,,,,,257,-423.1,1502,,,,,
,,,,,,,,,,258,-365.3,1514,,,,,
,,,,,,,,,,259,-369.8,1514,,,,,
,,,,,,,,,,260,-351.7,1517,,,,,
,,,,,,,,,,261,-275.3,1530,,,,,
