名前,れんたろう,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,60,-475.3,1429,,,,,
,,,,,,,,,,61,-487.4,1427,,,,,
,,,,,,,,,,62,-492.6,1427,,,,,
,,,,,,,,,,63,-416.1,1441,,,,,
,,,,,,,,,,64,-451.9,1435,,,,,
,,,,,,,,,,65,-454.1,1435,,,,,
,,,,,,,,,,66,-471.0,1433,,,,,
,,,,,,,,,,67,-508.4,1427,,,,,
,,,,,,,,,,68,-418.7,1444,,,,,
,,,,,,,,,,69,-387.5,1450,,,,,
,,,,,,,,,,70,-347.3,1457,,,,,
,,,,,,,,,,71,-368.3,1454,,,,,
,,,,,,,,,,72,-404.3,1448,,,,,
,,,,,,,,,,73,-413.7,1447,,,,,
,,,,,,,,,,74,-399.2,1450,,,,,
,,,,,,,,,,75,-438.6,1443,,,,,
,,,,,,,,,,76,-437.2,1443,,,,,
,,,,,,,,,,77,-440.0,1443,,,,,
,,,,,,,,,,78,-428.2,1446,,,,,
,,,,,,,,,,79,-443.3,1444,,,,,
,,,,,,,,,,80,-455.0,1442,,,,,
,,,,,,,,,,81,-398.6,1453,,,,,
,,,,,,,,,,82,-353.6,1461,,,,,
,,,,,,,,,,83,-354.3,1461,,,,,
,,,,,,,,,,84,-344.2,1464,,,,,
,,,,,,,,,,85,-380.0,1458,,,,,
,,,,,,,,,,86,-383.8,1458,,,,,
,,,,,,,,,,87,-397.5,1456,,,,,
,,,,,,,,,,88,-438.5,1449,,,,,
,,,,,,,,,,89,-481.6,1442,,,,,
,,,,,,,,,,90,-481.6,1442,,,,,
,,,,,,,,,,91,-485.3,1442,,,,,
,,,,,,,,,,92,-521.8,1436,,,,,
,,,,,,,,,,93,-563.2,1429,,,,,
,,,,,,,,,,94,-561.0,1430,,,,,
,,,,,,,,,,95,-544.4,1434,,,,,
,,,,,,,,,,96,-513.6,1440,,,,,
,,,,,,,,,,97,-449.9,1452,,,,,
,,,,,,,,,,98,-478.7,1447,,,,,
,,,,,,,,,,99,-455.2,1452,,,,,
,,,,,,,,,,100,-505.7,1443,,,,,
,,,,,,,,,,101,-503.9,1443,,,,,
,,,,,,,,,,102,-452.6,1453,,,,,
,,,,,,,,,,103,-477.7,1448,,,,,
,,,,,,,,,,104,-477.2,1448,,,,,
,,,,,,,,,,105,-478.1,1448,,,,,
,,,,,,,,,,106,-419.9,1459,,,,,
,,,,,,,,,,107,-436.7,1457,,,,,
,,,,,,,,,,108,-453.3,1454,,,,,
,,,,,,,,,,109,-448.8,1455,,,,,
,,,,,,,,,,110,-448.0,1456,,,,,
,,,,,,,,,,111,-470.4,1453,,,,,
,,,,,,,,,,112,-471.2,1453,,,,,
,,,,,,,,,,113,-469.4,1454,,,,,
,,,,,,,,,,114,-475.1,1453,,,,,
,,,,,,,,,,115,-443.4,1460,,,,,
,,,,,,,,,,116,-440.4,1461,,,,,
,,,,,,,,,,117,-453.4,1459,,,,,
,,,,,,,,,,118,-470.3,1456,,,,,
,,,,,,,,,,119,-469.2,1457,,,,,
,,,,,,,,,,120,-502.2,1451,,,,,
,,,,,,,,,,121,-509.7,1450,,,,,
,,,,,,,,,,122,-492.1,1454,,,,,
,,,,,,,,,,123,-500.1,1453,,,,,
,,,,,,,,,,124,-493.5,1454,,,,,
,,,,,,,,,,125,-501.0,1454,,,,,
,,,,,,,,,,126,-456.3,1462,,,,,
,,,,,,,,,,127,-412.1,1470,,,,,
,,,,,,,,,,128,-424.1,1469,,,,,
,,,,,,,,,,129,-448.7,1465,,,,,
,,,,,,,,,,130,-468.7,1462,,,,,
,,,,,,,,,,131,-461.3,1463,,,,,
,,,,,,,,,,132,-512.5,1455,,,,,
,,,,,,,,,,133,-554.6,1447,,,,,
,,,,,,,,,,134,-521.4,1453,,,,,
,,,,,,,,,,135,-472.6,1462,,,,,
,,,,,,,,,,136,-497.4,1458,,,,,
,,,,,,,,,,137,-452.2,1466,,,,,
,,,,,,,,,,138,-512.6,1456,,,,,
,,,,,,,,,,139,-463.0,1465,,,,,
,,,,,,,,,,140,-467.1,1465,,,,,
,,,,,,,,,,141,-517.8,1456,,,,,
,,,,,,,,,,142,-488.9,1461,,,,,
,,,,,,,,,,143,-504.2,1459,,,,,
,,,,,,,,,,144,-520.0,1456,,,,,
,,,,,,,,,,145,-490.7,1462,,,,,
,,,,,,,,,,146,-487.6,1463,,,,,
,,,,,,,,,,147,-511.6,1459,,,,,
,,,,,,,,,,148,-535.6,1455,,,,,
,,,,,,,,,,149,-537.4,1456,,,,,
,,,,,,,,,,150,-460.7,1470,,,,,
,,,,,,,,,,151,-464.9,1469,,,,,
,,,,,,,,,,152,-464.4,1470,,,,,
,,,,,,,,,,153,-478.4,1468,,,,,
,,,,,,,,,,154,-517.0,1462,,,,,
,,,,,,,,,,155,-520.8,1462,,,,,
,,,,,,,,,,156,-501.3,1466,,,,,
,,,,,,,,,,157,-532.4,1460,,,,,
,,,,,,,,,,158,-527.5,1462,,,,,
,,,,,,,,,,159,-577.8,1454,,,,,
,,,,,,,,,,160,-583.1,1454,,,,,
,,,,,,,,,,161,-617.5,1448,,,,,
,,,,,,,,,,162,-553.2,1460,,,,,
,,,,,,,,,,163,-580.3,1456,,,,,
,,,,,,,,,,164,-570.2,1459,,,,,
,,,,,,,,,,165,-518.0,1469,,,,,
,,,,,,,,,,166,-549.7,1463,,,,,
,,,,,,,,,,167,-592.0,1456,,,,,
,,,,,,,,,,168,-525.4,1469,,,,,
,,,,,,,,,,169,-537.9,1467,,,,,
,,,,,,,,,,170,-532.6,1468,,,,,
,,,,,,,,,,171,-526.5,1470,,,,,
,,,,,,,,,,172,-561.3,1464,,,,,
,,,,,,,,,,173,-526.8,1471,,,,,
,,,,,,,,,,174,-513.3,1473,,,,,
,,,,,,,,,,175,-452.9,1484,,,,,
,,,,,,,,,,176,-493.8,1476,,,,,
,,,,,,,,,,177,-467.4,1482,,,,,
,,,,,,,,,,178,-494.4,1477,,,,,
,,,,,,,,,,179,-495.1,1477,,,,,
,,,,,,,,,,180,-484.4,1480,,,,,
,,,,,,,,,,181,-540.6,1470,,,,,
,,,,,,,,,,182,-477.9,1483,,,,,
