名前,れんたろう,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,485,+473.1,1633,,,,,
,,,,,,,,,,486,+439.9,1627,,,,,
,,,,,,,,,,487,+389.9,1619,,,,,
,,,,,,,,,,488,+410.5,1623,,,,,
,,,,,,,,,,489,+435.3,1627,,,,,
,,,,,,,,,,490,+484.9,1636,,,,,
,,,,,,,,,,491,+511.8,1641,,,,,
,,,,,,,,,,492,+478.3,1635,,,,,
,,,,,,,,,,493,+432.6,1627,,,,,
,,,,,,,,,,494,+441.5,1629,,,,,
,,,,,,,,,,495,+447.0,1630,,,,,
,,,,,,,,,,496,+407.7,1623,,,,,
,,,,,,,,,,497,+477.4,1636,,,,,
,,,,,,,,,,498,+481.8,1636,,,,,
,,,,,,,,,,499,+481.8,1636,,,,,
,,,,,,,,,,500,+429.4,1627,,,,,
,,,,,,,,,,501,+471.6,1634,,,,,
,,,,,,,,,,502,+473.5,1634,,,,,
,,,,,,,,,,503,+477.6,1635,,,,,
,,,,,,,,,,504,+497.8,1638,,,,,
,,,,,,,,,,505,+495.4,1637,,,,,
,,,,,,,,,,506,+489.2,1636,,,,,
,,,,,,,,,,507,+488.3,1635,,,,,
,,,,,,,,,,508,+540.5,1644,,,,,
,,,,,,,,,,509,+505.7,1638,,,,,
,,,,,,,,,,510,+509.1,1639,,,,,
,,,,,,,,,,511,+496.8,1636,,,,,
,,,,,,,,,,512,+480.2,1634,,,,,
,,,,,,,,,,513,+531.1,1643,,,,,
,,,,,,,,,,514,+535.6,1644,,,,,
,,,,,,,,,,515,+494.9,1636,,,,,
,,,,,,,,,,516,+499.6,1637,,,,,
,,,,,,,,,,517,+481.8,1634,,,,,
,,,,,,,,,,518,+486.9,1634,,,,,
,,,,,,,,,,519,+497.9,1637,,,,,
,,,,,,,,,,520,+452.6,1629,,,,,
,,,,,,,,,,521,+453.3,1629,,,,,
,,,,,,,,,,522,+422.6,1623,,,,,
,,,,,,,,,,523,+365.0,1612,,,,,
,,,,,,,,,,524,+370.3,1613,,,,,
,,,,,,,,,,525,+417.4,1621,,,,,
,,,,,,,,,,526,+429.6,1624,,,,,
,,,,,,,,,,527,+379.6,1615,,,,,
,,,,,,,,,,528,+419.5,1622,,,,,
,,,,,,,,,,529,+414.1,1621,,,,,
,,,,,,,,,,530,+433.7,1625,,,,,
,,,,,,,,,,531,+415.0,1622,,,,,
,,,,,,,,,,532,+461.2,1630,,,,,
,,,,,,,,,,533,+464.9,1631,,,,,
,,,,,,,,,,534,+442.8,1626,,,,,
,,,,,,,,,,535,+475.0,1631,,,,,
,,,,,,,,,,536,+472.0,1630,,,,,
,,,,,,,,,,537,+476.4,1631,,,,,
,,,,,,,,,,538,+513.7,1638,,,,,
,,,,,,,,,,539,+533.2,1642,,,,,
,,,,,,,,,,540,+506.8,1637,,,,,
,,,,,,,,,,541,+461.1,1628,,,,,
,,,,,,,,,,542,+477.1,1631,,,,,
,,,,,,,,,,543,+442.2,1625,,,,,
,,,,,,,,,,544,+443.8,1626,,,,,
,,,,,,,,,,545,+443.3,1626,,,,,
,,,,,,,,,,546,+480.4,1632,,,,,
,,,,,,,,,,547,+431.4,1624,,,,,
,,,,,,,,,,548,+460.1,1629,,,,,
,,,,,,,,,,549,+409.6,1620,,,,,
,,,,,,,,,,550,+450.2,1627,,,,,
,,,,,,,,,,551,+438.0,1625,,,,,
,,,,,,,,,,552,+470.6,1631,,,,,
,,,,,,,,,,553,+485.1,1633,,,,,
,,,,,,,,,,554,+451.6,1627,,,,,
,,,,,,,,,,555,+476.5,1632,,,,,
,,,,,,,,,,556,+471.1,1631,,,,,
,,,,,,,,,,557,+453.6,1627,,,,,
,,,,,,,,,,558,+459.2,1628,,,,,
,,,,,,,,,,559,+468.9,1630,,,,,
,,,,,,,,,,560,+461.5,1629,,,,,
,,,,,,,,,,561,+485.9,1633,,,,,
,,,,,,,,,,562,+439.9,1625,,,,,
,,,,,,,,,,563,+408.8,1619,,,,,
,,,,,,,,,,564,+390.2,1616,,,,,
,,,,,,,,,,565,+392.8,1617,,,,,
,,,,,,,,,,566,+421.2,1621,,,,,
,,,,,,,,,,567,+378.2,1613,,,,,
,,,,,,,,,,568,+402.6,1618,,,,,
,,,,,,,,,,569,+368.0,1612,,,,,
,,,,,,,,,,570,+328.5,1605,,,,,
,,,,,,,,,,571,+379.1,1613,,,,,
,,,,,,,,,,572,+382.8,1614,,,,,
,,,,,,,,,,573,+377.5,1613,,,,,
,,,,,,,,,,574,+355.9,1609,,,,,
,,,,,,,,,,575,+357.1,1610,,,,,
,,,,,,,,,,576,+326.6,1605,,,,,
,,,,,,,,,,577,+325.2,1605,,,,,
,,,,,,,,,,578,+376.3,1614,,,,,
,,,,,,,,,,579,+369.2,1613,,,,,
,,,,,,,,,,580,+393.2,1618,,,,,
,,,,,,,,,,581,+352.8,1611,,,,,
,,,,,,,,,,582,+404.6,1621,,,,,
,,,,,,,,,,583,+451.0,1629,,,,,
,,,,,,,,,,584,+482.7,1635,,,,,
,,,,,,,,,,585,+482.7,1635,,,,,
,,,,,,,,,,586,+553.7,1648,,,,,
,,,,,,,,,,587,+552.5,1648,,,,,
,,,,,,,,,,588,+558.3,1648,,,,,
,,,,,,,,,,589,+567.5,1650,,,,,
,,,,,,,,,,590,+516.3,1640,,,,,
,,,,,,,,,,591,+543.2,1645,,,,,
,,,,,,,,,,592,+490.0,1635,,,,,
,,,,,,,,,,593,+550.3,1646,,,,,
,,,,,,,,,,594,+550.3,1645,,,,,
,,,,,,,,,,595,+562.6,1647,,,,,
,,,,,,,,,,596,+505.8,1637,,,,,
,,,,,,,,,,597,+585.8,1651,,,,,
,,,,,,,,,,598,+585.0,1650,,,,,
,,,,,,,,,,599,+535.1,1641,,,,,
,,,,,,,,,,600,+479.7,1631,,,,,
,,,,,,,,,,601,+513.8,1637,,,,,
,,,,,,,,,,602,+457.6,1626,,,,,
,,,,,,,,,,603,+501.2,1633,,,,,
,,,,,,,,,,604,+500.2,1633,,,,,
,,,,,,,,,,605,+537.3,1639,,,,,
,,,,,,,,,,606,+588.4,1648,,,,,
,,,,,,,,,,607,+526.2,1636,,,,,
,,,,,,,,,,608,+479.4,1628,,,,,
,,,,,,,,,,609,+473.2,1627,,,,,
,,,,,,,,,,610,+561.2,1642,,,,,
,,,,,,,,,,611,+591.8,1648,,,,,
,,,,,,,,,,612,+581.6,1646,,,,,
,,,,,,,,,,613,+610.4,1651,,,,,
,,,,,,,,,,614,+604.2,1649,,,,,
,,,,,,,,,,615,+553.3,1640,,,,,
,,,,,,,,,,616,+588.5,1646,,,,,
,,,,,,,,,,617,+561.7,1641,,,,,
,,,,,,,,,,618,+502.9,1630,,,,,
,,,,,,,,,,619,+445.1,1620,,,,,
,,,,,,,,,,620,+384.4,1609,,,,,
,,,,,,,,,,621,+384.4,1609,,,,,
,,,,,,,,,,622,+429.6,1616,,,,,
,,,,,,,,,,623,+474.3,1624,,,,,
,,,,,,,,,,624,+521.5,1632,,,,,
,,,,,,,,,,625,+462.1,1621,,,,,
,,,,,,,,,,626,+462.1,1621,,,,,
,,,,,,,,,,627,+461.4,1620,,,,,
,,,,,,,,,,628,+427.5,1614,,,,,
,,,,,,,,,,629,+486.4,1624,,,,,
,,,,,,,,,,630,+495.1,1626,,,,,
,,,,,,,,,,631,+566.2,1639,,,,,
,,,,,,,,,,632,+594.5,1644,,,,,
,,,,,,,,,,633,+599.2,1645,,,,,
,,,,,,,,,,634,+541.3,1635,,,,,
,,,,,,,,,,635,+533.9,1634,,,,,
,,,,,,,,,,636,+475.7,1623,,,,,
,,,,,,,,,,637,+456.4,1620,,,,,
,,,,,,,,,,638,+423.1,1614,,,,,
,,,,,,,,,,639,+427.4,1616,,,,,
,,,,,,,,,,640,+398.5,1611,,,,,
,,,,,,,,,,641,+342.4,1601,,,,,
,,,,,,,,,,642,+373.2,1607,,,,,
,,,,,,,,,,643,+414.7,1615,,,,,
,,,,,,,,,,644,+355.8,1604,,,,,
,,,,,,,,,,645,+313.9,1597,,,,,
,,,,,,,,,,646,+373.0,1608,,,,,
,,,,,,,,,,647,+302.0,1596,,,,,
,,,,,,,,,,648,+244.0,1585,,,,,
,,,,,,,,,,649,+288.3,1592,,,,,
,,,,,,,,,,650,+309.9,1596,,,,,
,,,,,,,,,,651,+352.4,1604,,,,,
,,,,,,,,,,652,+383.7,1610,,,,,
,,,,,,,,,,653,+342.5,1602,,,,,
,,,,,,,,,,654,+287.5,1592,,,,,
,,,,,,,,,,655,+272.8,1590,,,,,
,,,,,,,,,,656,+246.8,1585,,,,,
,,,,,,,,,,657,+236.1,1583,,,,,
,,,,,,,,,,658,+229.7,1582,,,,,
,,,,,,,,,,659,+234.2,1584,,,,,
,,,,,,,,,,660,+181.4,1574,,,,,
,,,,,,,,,,661,+190.3,1576,,,,,
,,,,,,,,,,662,+163.8,1572,,,,,
,,,,,,,,,,663,+170.4,1573,,,,,
,,,,,,,,,,664,+114.6,1564,,,,,
,,,,,,,,,,665,+155.2,1572,,,,,
,,,,,,,,,,666,+191.3,1579,,,,,
,,,,,,,,,,667,+190.4,1579,,,,,
,,,,,,,,,,668,+219.6,1585,,,,,
,,,,,,,,,,669,+269.2,1594,,,,,
,,,,,,,,,,670,+209.3,1583,,,,,
,,,,,,,,,,671,+247.7,1591,,,,,
,,,,,,,,,,672,+267.2,1594,,,,,
,,,,,,,,,,673,+302.8,1601,,,,,
,,,,,,,,,,674,+269.6,1595,,,,,
,,,,,,,,,,675,+364.6,1612,,,,,
,,,,,,,,,,676,+348.0,1609,,,,,
,,,,,,,,,,677,+317.9,1603,,,,,
,,,,,,,,,,678,+365.4,1612,,,,,
,,,,,,,,,,679,+330.2,1605,,,,,
,,,,,,,,,,680,+421.2,1622,,,,,
,,,,,,,,,,681,+491.2,1634,,,,,
,,,,,,,,,,682,+465.3,1629,,,,,
,,,,,,,,,,683,+407.1,1619,,,,,
,,,,,,,,,,684,+454.6,1627,,,,,
,,,,,,,,,,685,+459.9,1628,,,,,
,,,,,,,,,,686,+493.2,1634,,,,,
,,,,,,,,,,687,+533.9,1641,,,,,
,,,,,,,,,,688,+469.4,1629,,,,,
,,,,,,,,,,689,+500.1,1635,,,,,
,,,,,,,,,,690,+458.4,1627,,,,,
,,,,,,,,,,691,+390.4,1615,,,,,
,,,,,,,,,,692,+456.4,1627,,,,,
,,,,,,,,,,693,+410.4,1618,,,,,
,,,,,,,,,,694,+417.7,1619,,,,,
,,,,,,,,,,695,+475.5,1630,,,,,
,,,,,,,,,,696,+419.9,1620,,,,,
,,,,,,,,,,697,+411.2,1618,,,,,
,,,,,,,,,,698,+419.1,1619,,,,,
