名前,ただ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,481,-1103.8,1492,,,,,
,,,,,,,,,,482,-1082.9,1497,,,,,
,,,,,,,,,,483,-1092.7,1497,,,,,
,,,,,,,,,,484,-1099.6,1496,,,,,
,,,,,,,,,,485,-1094.4,1498,,,,,
,,,,,,,,,,486,-1029.3,1509,,,,,
,,,,,,,,,,487,-1020.6,1511,,,,,
,,,,,,,,,,488,-1031.1,1510,,,,,
,,,,,,,,,,489,-1030.7,1511,,,,,
,,,,,,,,,,490,-1047.8,1508,,,,,
,,,,,,,,,,491,-1091.2,1501,,,,,
,,,,,,,,,,492,-1074.3,1504,,,,,
,,,,,,,,,,493,-1041.9,1510,,,,,
,,,,,,,,,,494,-1061.6,1507,,,,,
,,,,,,,,,,495,-1036.7,1512,,,,,
,,,,,,,,,,496,-996.1,1520,,,,,
,,,,,,,,,,497,-957.0,1528,,,,,
,,,,,,,,,,498,-914.5,1536,,,,,
,,,,,,,,,,499,-914.2,1536,,,,,
,,,,,,,,,,500,-897.3,1540,,,,,
,,,,,,,,,,501,-931.8,1534,,,,,
,,,,,,,,,,502,-957.4,1529,,,,,
,,,,,,,,,,503,-972.8,1527,,,,,
,,,,,,,,,,504,-980.2,1526,,,,,
,,,,,,,,,,505,-912.0,1539,,,,,
,,,,,,,,,,506,-939.0,1535,,,,,
,,,,,,,,,,507,-971.3,1530,,,,,
,,,,,,,,,,508,-1021.4,1522,,,,,
,,,,,,,,,,509,-1053.1,1517,,,,,
,,,,,,,,,,510,-1110.2,1507,,,,,
,,,,,,,,,,511,-1163.2,1498,,,,,
,,,,,,,,,,512,-1108.8,1508,,,,,
,,,,,,,,,,513,-1100.2,1511,,,,,
,,,,,,,,,,514,-1093.0,1513,,,,,
,,,,,,,,,,515,-1101.2,1512,,,,,
,,,,,,,,,,516,-1088.7,1515,,,,,
,,,,,,,,,,517,-1043.6,1524,,,,,
,,,,,,,,,,518,-1022.6,1529,,,,,
,,,,,,,,,,519,-1045.9,1524,,,,,
,,,,,,,,,,520,-1085.0,1517,,,,,
,,,,,,,,,,521,-1033.1,1527,,,,,
,,,,,,,,,,522,-1026.0,1529,,,,,
,,,,,,,,,,523,-1047.8,1526,,,,,
,,,,,,,,,,524,-1006.9,1534,,,,,
,,,,,,,,,,525,-1021.4,1532,,,,,
,,,,,,,,,,526,-1018.6,1533,,,,,
,,,,,,,,,,527,-1064.1,1526,,,,,
,,,,,,,,,,528,-1048.8,1529,,,,,
,,,,,,,,,,529,-1029.3,1533,,,,,
,,,,,,,,,,530,-1038.2,1531,,,,,
,,,,,,,,,,531,-1042.9,1531,,,,,
,,,,,,,,,,532,-1084.5,1524,,,,,
,,,,,,,,,,533,-1120.7,1519,,,,,
,,,,,,,,,,534,-1161.5,1511,,,,,
,,,,,,,,,,535,-1160.5,1511,,,,,
,,,,,,,,,,536,-1179.8,1508,,,,,
,,,,,,,,,,537,-1222.3,1501,,,,,
,,,,,,,,,,538,-1218.2,1503,,,,,
,,,,,,,,,,539,-1189.7,1509,,,,,
,,,,,,,,,,540,-1196.1,1508,,,,,
,,,,,,,,,,541,-1202.8,1508,,,,,
,,,,,,,,,,542,-1178.4,1513,,,,,
,,,,,,,,,,543,-1133.5,1522,,,,,
,,,,,,,,,,544,-1133.7,1523,,,,,
,,,,,,,,,,545,-1180.5,1515,,,,,
,,,,,,,,,,546,-1173.4,1517,,,,,
,,,,,,,,,,547,-1161.8,1520,,,,,
,,,,,,,,,,548,-1130.5,1526,,,,,
,,,,,,,,,,549,-1124.2,1527,,,,,
,,,,,,,,,,550,-1097.6,1533,,,,,
,,,,,,,,,,551,-1125.6,1528,,,,,
,,,,,,,,,,552,-1147.0,1525,,,,,
,,,,,,,,,,553,-1147.5,1525,,,,,
,,,,,,,,,,554,-1171.9,1521,,,,,
,,,,,,,,,,555,-1163.7,1522,,,,,
,,,,,,,,,,556,-1164.2,1523,,,,,
,,,,,,,,,,557,-1171.1,1522,,,,,
,,,,,,,,,,558,-1171.8,1522,,,,,
,,,,,,,,,,559,-1221.9,1514,,,,,
,,,,,,,,,,560,-1193.6,1519,,,,,
,,,,,,,,,,561,-1150.9,1527,,,,,
,,,,,,,,,,562,-1108.9,1535,,,,,
,,,,,,,,,,563,-1162.9,1526,,,,,
,,,,,,,,,,564,-1195.7,1520,,,,,
,,,,,,,,,,565,-1164.9,1526,,,,,
,,,,,,,,,,566,-1136.6,1532,,,,,
,,,,,,,,,,567,-1107.2,1538,,,,,
,,,,,,,,,,568,-1070.4,1545,,,,,
,,,,,,,,,,569,-1048.3,1550,,,,,
,,,,,,,,,,570,-974.5,1563,,,,,
,,,,,,,,,,571,-943.3,1569,,,,,
,,,,,,,,,,572,-883.0,1580,,,,,
,,,,,,,,,,573,-923.3,1573,,,,,
,,,,,,,,,,574,-946.7,1569,,,,,
,,,,,,,,,,575,-971.6,1565,,,,,
,,,,,,,,,,576,-920.8,1574,,,,,
,,,,,,,,,,577,-876.2,1583,,,,,
,,,,,,,,,,578,-879.5,1582,,,,,
,,,,,,,,,,579,-849.4,1588,,,,,
,,,,,,,,,,580,-852.7,1587,,,,,
,,,,,,,,,,581,-828.8,1592,,,,,
,,,,,,,,,,582,-838.8,1590,,,,,
,,,,,,,,,,583,-838.3,1590,,,,,
,,,,,,,,,,584,-843.4,1590,,,,,
,,,,,,,,,,585,-802.9,1597,,,,,
,,,,,,,,,,586,-856.1,1588,,,,,
,,,,,,,,,,587,-886.9,1582,,,,,
,,,,,,,,,,588,-939.8,1573,,,,,
,,,,,,,,,,589,-939.3,1573,,,,,
