名前,全体,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
副露アガリ点,7666,11131600,,31,国士無双,23 回,0.47%,5 位,,23,-3.0,,れんたろう,+1.63,542 回,882.3
平均放銃点,-8528,-25602200,,12,河底撈魚,18 回,0.37%,7 位,,24,±0,,ほたに,+1.18,56 回,66
最大ドラ数,10 個,,,32,四暗刻,14 回,0.29%,4 位,,25,-41.0,,いっしー,+0.50,178 回,89.1
最大点数,124700,,,23,小三元,13 回,0.27%,5 位,,26,+11.5,,やがさき,-3.50,78 回,-273
チョンボ,51 回,0.3%,,26,二盃口,12 回,0.25%,4 位,,27,±0,,だいち,-14.41,1076 回,-15506.4
new局数,16374 回,,,29,流し満貫,9 回,0.18%,4 位,,28,-31.5,,あさひ,-18.17,18 回,-327
newアガリ,4871 回,,,27,純チャン,8 回,0.16%,4 位,,29,+36.7,,かわたつ,-19.95,2 回,-39.9
,,,,34,大三元,4 回,0.08%,3 位,,30,±0,,,,,
,,,,40,九蓮宝燈,2 回,0.04%,2 位,,31,+18.3,,,,,
,,,,45,四暗刻単騎,2 回,0.04%,3 位,,32,+8.6,,,,,
,,,,19,三色同刻,1 回,0.02%,2 位,,33,+0.0,,,,,
,,,,36,小四喜,1 回,0.02%,2 位,,34,+12.8,,,,,
,,,,14,槍槓,0 回,0.00%,1 位,,35,+36.4,,,,,
,,,,21,三槓子,0 回,0.00%,1 位,,36,+0.0,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,37,+57.0,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,38,+32.6,,,,,
,,,,37,緑一色,0 回,0.00%,1 位,,39,+0.0,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,40,-44.0,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,41,+22.0,,,,,
,,,,41,天和,0 回,0.00%,1 位,,42,+0.0,,,,,
,,,,42,地和,0 回,0.00%,1 位,,43,-37.0,,,,,
