名前,ぱぱ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,62,-592.4,1418,,,,,
,,,,,,,,,,63,-651.0,1408,,,,,
,,,,,,,,,,64,-552.7,1426,,,,,
,,,,,,,,,,65,-551.8,1426,,,,,
,,,,,,,,,,66,-559.7,1425,,,,,
,,,,,,,,,,67,-504.6,1435,,,,,
,,,,,,,,,,68,-552.2,1428,,,,,
,,,,,,,,,,69,-616.7,1417,,,,,
,,,,,,,,,,70,-676.1,1407,,,,,
,,,,,,,,,,71,-676.1,1408,,,,,
,,,,,,,,,,72,-666.9,1410,,,,,
,,,,,,,,,,73,-715.7,1402,,,,,
,,,,,,,,,,74,-645.5,1415,,,,,
,,,,,,,,,,75,-647.2,1416,,,,,
,,,,,,,,,,76,-639.7,1418,,,,,
,,,,,,,,,,77,-600.2,1425,,,,,
,,,,,,,,,,78,-587.8,1427,,,,,
,,,,,,,,,,79,-566.3,1431,,,,,
,,,,,,,,,,80,-592.7,1427,,,,,
,,,,,,,,,,81,-591.1,1428,,,,,
,,,,,,,,,,82,-574.2,1431,,,,,
,,,,,,,,,,83,-552.9,1434,,,,,
,,,,,,,,,,84,-589.6,1429,,,,,
,,,,,,,,,,85,-637.6,1421,,,,,
,,,,,,,,,,86,-639.0,1421,,,,,
,,,,,,,,,,87,-665.8,1416,,,,,
,,,,,,,,,,88,-642.0,1421,,,,,
,,,,,,,,,,89,-687.4,1413,,,,,
,,,,,,,,,,90,-665.9,1417,,,,,
,,,,,,,,,,91,-691.0,1413,,,,,
,,,,,,,,,,92,-707.0,1412,,,,,
,,,,,,,,,,93,-748.7,1405,,,,,
,,,,,,,,,,94,-751.1,1405,,,,,
,,,,,,,,,,95,-729.2,1409,,,,,
,,,,,,,,,,96,-688.4,1417,,,,,
,,,,,,,,,,97,-713.5,1413,,,,,
,,,,,,,,,,98,-761.4,1405,,,,,
,,,,,,,,,,99,-745.6,1409,,,,,
,,,,,,,,,,100,-792.2,1401,,,,,
,,,,,,,,,,101,-845.3,1392,,,,,
,,,,,,,,,,102,-844.5,1394,,,,,
,,,,,,,,,,103,-822.1,1399,,,,,
,,,,,,,,,,104,-793.1,1404,,,,,
,,,,,,,,,,105,-812.4,1402,,,,,
,,,,,,,,,,106,-854.2,1395,,,,,
,,,,,,,,,,107,-910.0,1385,,,,,
,,,,,,,,,,108,-917.4,1384,,,,,
,,,,,,,,,,109,-973.6,1375,,,,,
,,,,,,,,,,110,-1000.9,1372,,,,,
,,,,,,,,,,111,-1010.4,1371,,,,,
,,,,,,,,,,112,-1035.6,1369,,,,,
,,,,,,,,,,113,-1037.9,1370,,,,,
,,,,,,,,,,114,-1015.9,1376,,,,,
,,,,,,,,,,115,-945.9,1390,,,,,
,,,,,,,,,,116,-977.8,1386,,,,,
,,,,,,,,,,117,-992.9,1385,,,,,
,,,,,,,,,,118,-1015.2,1382,,,,,
,,,,,,,,,,119,-976.9,1390,,,,,
,,,,,,,,,,120,-938.9,1398,,,,,
,,,,,,,,,,121,-949.1,1398,,,,,
,,,,,,,,,,122,-1006.0,1389,,,,,
,,,,,,,,,,123,-1035.0,1384,,,,,
,,,,,,,,,,124,-907.3,1409,,,,,
,,,,,,,,,,125,-895.5,1412,,,,,
,,,,,,,,,,126,-892.4,1413,,,,,
,,,,,,,,,,127,-936.8,1406,,,,,
,,,,,,,,,,128,-946.4,1406,,,,,
,,,,,,,,,,129,-971.4,1402,,,,,
,,,,,,,,,,130,-969.8,1403,,,,,
,,,,,,,,,,131,-918.8,1413,,,,,
,,,,,,,,,,132,-965.0,1406,,,,,
,,,,,,,,,,133,-896.0,1419,,,,,
,,,,,,,,,,134,-861.2,1426,,,,,
,,,,,,,,,,135,-793.7,1440,,,,,
,,,,,,,,,,136,-818.2,1436,,,,,
,,,,,,,,,,137,-818.3,1437,,,,,
,,,,,,,,,,138,-863.8,1430,,,,,
,,,,,,,,,,139,-896.6,1425,,,,,
,,,,,,,,,,140,-927.2,1421,,,,,
,,,,,,,,,,141,-932.3,1421,,,,,
,,,,,,,,,,142,-966.6,1416,,,,,
,,,,,,,,,,143,-969.4,1417,,,,,
,,,,,,,,,,144,-903.3,1430,,,,,
,,,,,,,,,,145,-888.4,1433,,,,,
,,,,,,,,,,146,-913.3,1430,,,,,
,,,,,,,,,,147,-889.9,1435,,,,,
