名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,58,+225.2,1536,,,,,
,,,,,,,,,,59,+230.5,1537,,,,,
,,,,,,,,,,60,+184.4,1528,,,,,
,,,,,,,,,,61,+205.5,1532,,,,,
,,,,,,,,,,62,+139.5,1520,,,,,
,,,,,,,,,,63,+134.5,1519,,,,,
,,,,,,,,,,64,+135.5,1519,,,,,
,,,,,,,,,,65,+167.1,1525,,,,,
,,,,,,,,,,66,+148.1,1521,,,,,
,,,,,,,,,,67,+138.2,1519,,,,,
,,,,,,,,,,68,+139.1,1519,,,,,
,,,,,,,,,,69,+171.4,1525,,,,,
,,,,,,,,,,70,+199.8,1530,,,,,
,,,,,,,,,,71,+192.4,1529,,,,,
,,,,,,,,,,72,+210.7,1532,,,,,
,,,,,,,,,,73,+196.8,1529,,,,,
,,,,,,,,,,74,+236.8,1536,,,,,
,,,,,,,,,,75,+242.0,1537,,,,,
,,,,,,,,,,76,+228.3,1534,,,,,
,,,,,,,,,,77,+233.4,1535,,,,,
,,,,,,,,,,78,+265.3,1541,,,,,
,,,,,,,,,,79,+305.3,1548,,,,,
,,,,,,,,,,80,+327.8,1551,,,,,
,,,,,,,,,,81,+359.3,1557,,,,,
,,,,,,,,,,82,+419.1,1567,,,,,
,,,,,,,,,,83,+430.2,1569,,,,,
,,,,,,,,,,84,+431.8,1569,,,,,
,,,,,,,,,,85,+410.4,1564,,,,,
,,,,,,,,,,86,+413.9,1565,,,,,
,,,,,,,,,,87,+368.4,1556,,,,,
,,,,,,,,,,88,+367.8,1555,,,,,
,,,,,,,,,,89,+394.2,1560,,,,,
,,,,,,,,,,90,+403.9,1561,,,,,
,,,,,,,,,,91,+425.0,1565,,,,,
,,,,,,,,,,92,+468.1,1572,,,,,
,,,,,,,,,,93,+462.1,1571,,,,,
,,,,,,,,,,94,+424.6,1563,,,,,
,,,,,,,,,,95,+385.1,1556,,,,,
,,,,,,,,,,96,+396.2,1558,,,,,
,,,,,,,,,,97,+394.2,1557,,,,,
,,,,,,,,,,98,+437.7,1565,,,,,
,,,,,,,,,,99,+432.1,1563,,,,,
,,,,,,,,,,100,+424.7,1562,,,,,
,,,,,,,,,,101,+386.7,1555,,,,,
,,,,,,,,,,102,+367.9,1551,,,,,
,,,,,,,,,,103,+394.9,1556,,,,,
,,,,,,,,,,104,+439.5,1563,,,,,
,,,,,,,,,,105,+446.5,1564,,,,,
,,,,,,,,,,106,+435.2,1561,,,,,
,,,,,,,,,,107,+419.7,1558,,,,,
,,,,,,,,,,108,+400.4,1554,,,,,
,,,,,,,,,,109,+424.4,1558,,,,,
,,,,,,,,,,110,+443.9,1561,,,,,
,,,,,,,,,,111,+438.5,1560,,,,,
,,,,,,,,,,112,+494.5,1570,,,,,
,,,,,,,,,,113,+511.6,1573,,,,,
,,,,,,,,,,114,+473.6,1565,,,,,
,,,,,,,,,,115,+490.1,1568,,,,,
,,,,,,,,,,116,+505.4,1570,,,,,
,,,,,,,,,,117,+517.0,1572,,,,,
,,,,,,,,,,118,+533.9,1575,,,,,
,,,,,,,,,,119,+496.4,1567,,,,,
,,,,,,,,,,120,+534.9,1574,,,,,
,,,,,,,,,,121,+488.4,1565,,,,,
,,,,,,,,,,122,+501.6,1567,,,,,
,,,,,,,,,,123,+482.1,1563,,,,,
,,,,,,,,,,124,+523.5,1571,,,,,
,,,,,,,,,,125,+550.6,1575,,,,,
,,,,,,,,,,126,+559.1,1576,,,,,
,,,,,,,,,,127,+602.4,1583,,,,,
,,,,,,,,,,128,+628.4,1588,,,,,
,,,,,,,,,,129,+639.4,1589,,,,,
,,,,,,,,,,130,+680.4,1596,,,,,
,,,,,,,,,,131,+660.6,1592,,,,,
,,,,,,,,,,132,+698.2,1598,,,,,
,,,,,,,,,,133,+706.0,1599,,,,,
,,,,,,,,,,134,+774.1,1611,,,,,
,,,,,,,,,,135,+779.3,1611,,,,,
,,,,,,,,,,136,+795.5,1613,,,,,
,,,,,,,,,,137,+819.7,1617,,,,,
,,,,,,,,,,138,+840.3,1620,,,,,
,,,,,,,,,,139,+847.6,1621,,,,,
,,,,,,,,,,140,+852.4,1621,,,,,
,,,,,,,,,,141,+856.5,1621,,,,,
,,,,,,,,,,142,+844.5,1619,,,,,
,,,,,,,,,,143,+857.0,1620,,,,,
,,,,,,,,,,144,+844.1,1617,,,,,
,,,,,,,,,,145,+859.7,1620,,,,,
,,,,,,,,,,146,+875.3,1622,,,,,
,,,,,,,,,,147,+839.3,1616,,,,,
,,,,,,,,,,148,+809.7,1610,,,,,
,,,,,,,,,,149,+816.5,1611,,,,,
,,,,,,,,,,150,+802.5,1608,,,,,
,,,,,,,,,,151,+792.5,1605,,,,,
,,,,,,,,,,152,+837.1,1613,,,,,
,,,,,,,,,,153,+832.4,1612,,,,,
,,,,,,,,,,154,+846.8,1614,,,,,
,,,,,,,,,,155,+832.8,1611,,,,,
,,,,,,,,,,156,+839.9,1612,,,,,
,,,,,,,,,,157,+859.6,1615,,,,,
,,,,,,,,,,158,+883.4,1619,,,,,
,,,,,,,,,,159,+878.6,1617,,,,,
,,,,,,,,,,160,+911.1,1623,,,,,
,,,,,,,,,,161,+928.2,1625,,,,,
,,,,,,,,,,162,+940.5,1627,,,,,
,,,,,,,,,,163,+964.8,1631,,,,,
,,,,,,,,,,164,+952.6,1628,,,,,
,,,,,,,,,,165,+950.6,1627,,,,,
,,,,,,,,,,166,+910.0,1619,,,,,
,,,,,,,,,,167,+931.7,1622,,,,,
,,,,,,,,,,168,+972.4,1629,,,,,
,,,,,,,,,,169,+980.4,1630,,,,,
,,,,,,,,,,170,+988.1,1631,,,,,
,,,,,,,,,,171,+919.1,1618,,,,,
,,,,,,,,,,172,+916.1,1617,,,,,
,,,,,,,,,,173,+913.5,1616,,,,,
,,,,,,,,,,174,+972.5,1626,,,,,
,,,,,,,,,,175,+972.5,1625,,,,,
,,,,,,,,,,176,+952.0,1621,,,,,
,,,,,,,,,,177,+948.6,1620,,,,,
,,,,,,,,,,178,+988.1,1626,,,,,
,,,,,,,,,,179,+1049.1,1637,,,,,
,,,,,,,,,,180,+1060.8,1638,,,,,
,,,,,,,,,,181,+1076.9,1641,,,,,
