d,対戦数,,通算スコア,,平均スコア,,バランス,,平均順位,,トップ率,,ラス率,,連対率,,アガリ率,,放銃率,,平均アガリ点,,平均放銃点,,リーチ率,,副露率,,リーチ成功率,,副露成功率,,ツモ率,,最高点,
相関,―,,,,,,―,,―,,―,,―,,―,,―,,―,,―,,―,,―,,―,,―,,―,,―,,―,
1位,全体,8 回,てんちゃん,+94.1,てんちゃん,+11.76,てんちゃん,+2.64,てんちゃん,2.25 位,だいち,42.9%,てんちゃん,12.5%,わさび,66.7%,ただ,25.4%,てんちゃん,10.1%,てんちゃん,6850,ただ,-4936,ただ,28.4%,りくと,22.5%,てんちゃん,75.0%,だいち,63.6%,だいち,50.0%,全体,53600
2位,りくと,8 回,だいち,+48.9,だいち,+6.99,全体,-0.31,わさび,2.33 位,わさび,33.3%,全体,25.0%,てんちゃん,62.5%,わさび,22.9%,だいち,11.8%,だいち,6593,りくと,-5050,りくと,20.2%,ただ,22.4%,ただ,57.9%,わさび,60.0%,りくと,35.7%,だいち,53600
3位,てんちゃん,8 回,わさび,-3.3,全体,-0.31,わさび,-0.82,だいち,2.43 位,全体,25.0%,りくと,25.0%,全体,50.0%,てんちゃん,22.5%,全体,14.9%,りくと,6021,てんちゃん,-5122,全体,18.8%,全体,19.1%,全体,52.2%,てんちゃん,41.2%,全体,27.4%,てんちゃん,47800
4位,だいち,7 回,全体,-10.0,わさび,-1.10,だいち,-2.52,全体,2.50 位,りくと,25.0%,だいち,28.6%,ただ,50.0%,全体,20.5%,ただ,16.4%,全体,5895,全体,-5221,てんちゃん,18.0%,てんちゃん,19.1%,わさび,50.0%,全体,39.7%,わさび,25.0%,りくと,44700
5位,ただ,6 回,りくと,-62.6,りくと,-7.83,りくと,-3.44,りくと,2.63 位,てんちゃん,25.0%,ただ,33.3%,だいち,42.9%,だいち,18.4%,わさび,17.1%,ただ,5429,だいち,-5233,だいち,13.2%,だいち,14.5%,りくと,38.9%,りくと,30.0%,ただ,17.6%,ただ,36600
6位,わさび,3 回,ただ,-87.1,ただ,-14.52,ただ,-13.97,ただ,2.83 位,ただ,0.0%,わさび,33.3%,りくと,37.5%,りくと,15.7%,りくと,20.2%,わさび,3050,わさび,-6383,わさび,11.4%,わさび,14.3%,だいち,30.0%,ただ,26.7%,てんちゃん,15.0%,わさび,34700
