名前,ただ,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,5 回,,,01,立直,11 回,68.75%,2 位,,0,±0,,東1局,-3840,5 回,-19200
総局数,54 回,,,03,ドラ,8 回,50.00%,3 位,,1,+16.6,,東2局,+1080,5 回,5400
通算スコア,-47.5,,,52,赤ドラ,6 回,37.50%,5 位,,2,+2.4,,東3局,+2700,5 回,13500
平均スコア,-9.50,,,02,一発,4 回,25.00%,2 位,,3,+4.4,,東4局,-2440,5 回,-12200
平均順位,2.60 位,,,07,平和,4 回,25.00%,2 位,,4,+17.2,,南1局,-1760,5 回,-8800
1位,0 回,0.0%,,10,役牌,4 回,25.00%,2 位,,5,-47.5,,南2局,-20,5 回,-100
2位,3 回,60.0%,,04,裏ドラ,3 回,18.75%,2 位,,,,,南3局,±0,5 回,0
3位,1 回,20.0%,,06,門前清自摸和,2 回,12.50%,5 位,,,,,南4局,+1780,5 回,8900
4位,1 回,20.0%,,08,一盃口,2 回,12.50%,2 位,,,,,,,,
連対,3 回,60.0%,,09,タンヤオ,1 回,6.25%,4 位,,,,,位置,スコア,回数,合計
1位スコア,±0,±0,,16,一気通貫,1 回,6.25%,2 位,,,,,東家,+12.80,1 回,12.8
2位スコア,+10.47,+31.40,,25,七対子,1 回,6.25%,2 位,,,,,南家,-14.20,1 回,-14.2
3位スコア,-14.20,-14.20,,28,混一色,1 回,6.25%,2 位,,,,,西家,±0,0 回,0
4位スコア,-64.70,-64.70,,11,海底摸月,0 回,0.00%,1 位,,,,,北家,-15.37,3 回,-46.1
バランス,-17.11,,,12,河底撈魚,0 回,0.00%,1 位,,,,,,,,
ふっとび,1 回,20.0%,,13,嶺上開花,0 回,0.00%,1 位,,,,,相手,スコア,回数,合計
リーチ,15 回,27.8%,,14,槍槓,0 回,0.00%,1 位,,,,,りくと,-5.52,5 回,-27.6
副露,11 回,20.4%,,15,ダブル立直,0 回,0.00%,1 位,,,,,てんちゃん,-13.76,5 回,-68.8
リーチ成功,11 回,73.3%,,17,チャンタ,0 回,0.00%,3 位,,,,,だいち,-16.72,5 回,-83.6
副露成功,3 回,27.3%,,18,三色同順,0 回,0.00%,3 位,,,,,,,,
アガリ,16 回,29.6%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
放銃,9 回,16.7%,,20,三暗刻,0 回,0.00%,3 位,,,,,,,,
ツモ,3 回,18.8%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
ロン,13 回,81.3%,,22,対々和,0 回,0.00%,1 位,,,,,,,,
リーチアガリ,11 回,68.8%,,23,小三元,0 回,0.00%,1 位,,,,,,,,
副露アガリ,3 回,18.8%,,24,混老頭,0 回,0.00%,1 位,,,,,,,,
ダマアガリ,2 回,12.5%,,26,二盃口,0 回,0.00%,1 位,,,,,,,,
平均アガリ点,5644,90300,,27,純チャン,0 回,0.00%,3 位,,,,,,,,
門前アガリ点,5323,69200,,30,清一色,0 回,0.00%,1 位,,,,,,,,
副露アガリ点,7033,21100,,31,国士無双,0 回,0.00%,1 位,,,,,,,,
平均放銃点,-5489,-49400,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,
連続アガリ,2 回,0 回,,33,字一色,0 回,0.00%,1 位,,,,,,,,
連続無放銃,16 回,4 回,,34,大三元,0 回,0.00%,1 位,,,,,,,,
最大ドラ数,4 個,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
最高点,36601,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
チョンボ,3 回,5.6%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
,1,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
翻数,回数,割合,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
1翻,0 回,0.0%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
2翻,0 回,0.0%,,41,天和,0 回,0.00%,1 位,,,,,,,,
3翻,0 回,0.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,
4翻,0 回,0.0%,,,,,,,,,,,,,,
5翻,0 回,0.0%,,,,,,,,,,,,,,
6翻,0 回,0.0%,,,,,,,,,,,,,,
7翻,0 回,0.0%,,,,,,,,,,,,,,
8翻,0 回,0.0%,,,,,,,,,,,,,,
9翻,0 回,0.0%,,,,,,,,,,,,,,
10翻,0 回,0.0%,,,,,,,,,,,,,,
11翻,0 回,0.0%,,,,,,,,,,,,,,
12翻,0 回,0.0%,,,,,,,,,,,,,,
13翻～,0 回,0.0%,,,,,,,,,,,,,,
