名前,のり,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,4 回,,,10,役牌,7 回,87.50%,#N/A,,0,±0,1348,,東1局,-6625,4 回,-26500
総局数,35 回,,,03,ドラ,6 回,75.00%,#N/A,,1,-38.0,1342,,東2局,-1125,4 回,-4500
通算スコア,-51.7,,,28,混一色,3 回,37.50%,#N/A,,2,-18.0,1347,,東3局,+6750,4 回,27000
平均スコア,-12.93,,,52,赤ドラ,3 回,37.50%,#N/A,,3,-14.9,1348,,南1局,-767,3 回,-2300
レーティング,1343,,,01,立直,2 回,25.00%,#N/A,,4,-51.7,1343,,南2局,-4000,3 回,-12000
平均順位,2.25 位,,,06,ツモ,2 回,25.00%,#N/A,,,,,,南3局,-7800,3 回,-23400
1位,1 回,25.0%,,02,一発,1 回,12.50%,#N/A,,,,,,,,,
2位,1 回,25.0%,,20,三暗刻,1 回,12.50%,#N/A,,,,,,起家,スコア,回数,合計
3位,2 回,50.0%,,22,対々和,1 回,12.50%,#N/A,,,,,,東家,±0,0 回,0
1位スコア,+20.00,+20.00,,04,裏ドラ,0 回,0.00%,#N/A,,,,,,南家,+20.00,1 回,20
2位スコア,+3.10,+3.10,,07,平和,0 回,0.00%,7 位,,,,,,西家,-23.90,3 回,-71.7
3位スコア,-37.40,-74.80,,08,一盃口,0 回,0.00%,7 位,,,,,,,,,
バランス,-4.77,,,09,タンヤオ,0 回,0.00%,7 位,,,,,,相手,スコア,回数,合計
ふっとび,0 回,0.0%,,11,海底摸月,0 回,0.00%,3 位,,,,,,いちかわ,+7.20,2 回,14.4
リーチ,9 回,25.7%,,12,河底撈魚,0 回,0.00%,1 位,,,,,,たか,-27.93,4 回,-111.7
副露,10 回,28.6%,,13,嶺上開花,0 回,0.00%,2 位,,,,,,だいち,-28.90,2 回,-57.8
リーチ成功,2 回,22.2%,,14,槍槓,0 回,0.00%,1 位,,,,,,,,,
副露成功,4 回,40.0%,,15,ダブル立直,0 回,0.00%,2 位,,,,,,,,,
アガリ,8 回,22.9%,,16,一気通貫,0 回,0.00%,5 位,,,,,,,,,
放銃,8 回,22.9%,,17,チャンタ,0 回,0.00%,3 位,,,,,,,,,
ツモ,2 回,25.0%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,,
ロン,6 回,75.0%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
リーチアガリ,2 回,25.0%,,23,小三元,0 回,0.00%,1 位,,,,,,,,,
副露アガリ,4 回,50.0%,,24,混老頭,0 回,0.00%,2 位,,,,,,,,,
ダマアガリ,2 回,25.0%,,25,七対子,0 回,0.00%,7 位,,,,,,,,,
平均アガリ点,8213,65700,,26,二盃口,0 回,0.00%,1 位,,,,,,,,,
門前アガリ点,7725,30900,,27,純チャン,0 回,0.00%,1 位,,,,,,,,,
副露アガリ点,8700,34800,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,,
平均放銃点,-9388,-75100,,30,清一色,0 回,0.00%,3 位,,,,,,,,,
連続アガリ,3 回,0 回,,31,国士無双,0 回,0.00%,2 位,,,,,,,,,
連続無放銃,12 回,0 回,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,,
最大ドラ数,3 個,,,33,字一色,0 回,0.00%,1 位,,,,,,,,,
最高点,45000,,,34,大三元,0 回,0.00%,1 位,,,,,,,,,
チョンボ,0 回,0.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,,
1翻,1 回,12.5%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
2翻,2 回,25.0%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
3翻,1 回,12.5%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,1 回,12.5%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
5翻,0 回,0.0%,,41,天和,0 回,0.00%,1 位,,,,,,,,,
6翻,2 回,25.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,1 回,12.5%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,,
10翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,3 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
